skill_id,domain,complexity,lines,examples,priority,status
jh_數學1上_IntegerAdditionOperation,arithmetic_basic,2,425,11,1,已驗證
jh_數學1上_CommonDivisibilityRules,arithmetic_basic,2,511,10,2,已驗證
jh_數學1上_FractionAdditionAndSubtraction,arithmetic_basic,2,504,8,3,已驗證
jh_數學1上_FractionMultiplication,arithmetic_basic,2,545,4,4,已驗證
jh_數學1上_FractionDivision,arithmetic_basic,2,469,3,5,已驗證
jh_數學2上_FourOperationsOfRadicals,radical_powers,3,864,14,6,優先
jh_數學2上_BasicPropertiesOfRadicalOperations,radical_powers,3,780,13,7,優先
jh_數學1下_DrawingGraphsOfTwoVariableLinearEquations,algebra,3,752,12,8,優先
jh_數學1下_RectangularCoordinatePlaneAndCoordinateRepresentation,algebra,2,301,12,9,優先
jh_數學2上_PolynomialAdditionAndSubtraction,algebra,3,647,10,10,優先
jh_數學2上_PolynomialMultiplication,algebra,3,685,9,11,優先
jh_數學2上_PolynomialDivision,algebra,3,737,11,12,優先
jh_數學2下_FunctionGraph,functions_sequences,3,794,43,13,金牌展示
jh_數學2下_FunctionValue,functions_sequences,3,638,23,14,金牌展示
jh_數學2下_NthTermOfGeometricSequence,functions_sequences,3,603,15,15,優先
jh_數學2下_GeometricSequence,functions_sequences,3,488,12,16,優先
jh_數學2下_GeometricMean,functions_sequences,3,678,11,17,優先
jh_數學2上_FactorizationByMultiplicationFormulas,factorization,3,571,4,18,優先
jh_數學2上_WordProblems,applications,2,414,11,19,優先
jh_數學2上_FourArithmeticOperationsOfIntegers,arithmetic_advanced,3,400,8,20,備選
