item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
ed6dab00-1f2d-479f-b391-798da5524f76,f9bbf55f-061a-4f5c-9299-2adf28477afa,1,[-77-92]÷-13×58+|9*-57+-78|,,1345,PASS,,1,7.5,7.5,20.0,10.0,10.0,11.67,5,2,2,2.67,31.67,0.0,0.0,True,8,0.0,8,0,327,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
230c1208-c624-4769-ad34-24906d1f6f0a,f9bbf55f-061a-4f5c-9299-2adf28477afa,2,[-60-71]÷-1×30+|-77×-68--13|,,9179,PASS,,1,7.5,7.5,20.0,10.0,10.0,14.33,5,3,3,3.33,34.33,0.0,0.0,True,10,0.0,10,0,327,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
e629cc0a-db29-44dd-98eb-256c634f749b,f9bbf55f-061a-4f5c-9299-2adf28477afa,3,[-93+-21]÷6×-91+|-84*67+-58|,,7415,PASS,,1,7.5,7.5,20.0,10.0,10.0,11.67,5,2,2,2.67,31.67,0.0,0.0,True,8,0.0,8,0,327,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
c17002c4-39aa-4b91-9983-ad2befb86f98,3e476241-94ad-4f8c-a5c0-a84885c2293a,1,,,,ERROR,RecursionError: maximum recursion depth exceeded,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
d428ee01-7e43-4afc-a64e-99a7aa8d5d94,3e476241-94ad-4f8c-a5c0-a84885c2293a,2,,,,ERROR,RecursionError: maximum recursion depth exceeded,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
c8bc4959-1627-4f19-b4d8-2142f35d16fb,3e476241-94ad-4f8c-a5c0-a84885c2293a,3,,,,ERROR,RecursionError: maximum recursion depth exceeded,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
eced1df0-bb9c-49f6-a8af-ce16e13f08ab,01ec6d20-da75-42d6-9c41-c180e5eb48bb,1,[-52×40]÷38×83 + |-63×-52 - 40|,,0,PASS,,1,7.5,7.5,13.0,10.0,3.0,16.0,5,3,5,3.0,29.0,0.0,0.0,False,15,0.0,9,0,199,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
3435928f-172c-445d-afc9-23b601a2b8a1,01ec6d20-da75-42d6-9c41-c180e5eb48bb,2,[97÷23]÷76×-56 + |79×97 - 23|,,0,PASS,,1,7.5,7.5,13.0,10.0,3.0,15.0,5,3,5,2.0,28.0,0.0,0.0,False,15,0.0,6,0,199,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
ac204487-851a-4dbc-9375-ebf92c92fc5c,01ec6d20-da75-42d6-9c41-c180e5eb48bb,3,[-9+-27]÷-72×-25 + |47×-9 - -27|,,0,PASS,,1,7.5,7.5,13.0,10.0,3.0,14.67,5,3,3,3.67,27.67,0.0,0.0,False,10,0.0,11,0,199,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
28bcc3cf-11ee-4acd-8283-88baf29a0656,7d198e7f-e526-4a5b-93b0-6aa3c257e29e,1,(-87*9)/|48-36|,,-65.25,PASS,,1,7.5,7.5,12.17,6.67,5.5,9.33,4,2,1,2.33,21.5,0.0,0.0,True,3,0.0,7,0,366,1,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.04
cd06e4d9-79ba-4441-9116-8cd5b88bdbf8,7d198e7f-e526-4a5b-93b0-6aa3c257e29e,2,(22/2)*|18/9|,,22.0,PASS,,1,7.5,7.5,12.17,6.67,5.5,9.0,5,2,1,1.0,21.17,0.0,0.0,True,3,0.0,3,0,366,1,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.04
15306e0d-6c41-4627-9c89-47d41efe26b9,7d198e7f-e526-4a5b-93b0-6aa3c257e29e,3,(49*-92)-|-49/1|,,-4557.0,PASS,,1,7.5,7.5,12.17,6.67,5.5,9.33,5,2,0,2.33,21.5,0.0,0.0,True,0,0.0,7,0,366,1,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.04
6a0475a9-18d1-4e7a-b3a3-666a442b3cb5,a2cff46d-30fd-4762-ac31-a4494ccbe210,1,計算 $$[((-8) \times 5) + (-2)] \div 7 + |(-3) \times 3 - 11|$$ 的值。,,14,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,15,5,3465,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
7a80a894-e3b8-4fe8-a4f1-5e4e9d410fdd,a2cff46d-30fd-4762-ac31-a4494ccbe210,2,計算 $$[((-11) \times 4) + (-12)] \div 8 + |(-3) \times (-10) - 18|$$ 的值。,,5,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,16,5,3465,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
dbee8be4-2bec-44d0-9ab0-149cf2634c47,a2cff46d-30fd-4762-ac31-a4494ccbe210,3,計算 $$[((-15) \times 4) + 8] \div 4 + |14 \times 1 - 16|$$ 的值。,,-11,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3465,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
b5ae6659-c2d1-40c5-8ad4-28cf8b7ba575,530f34b7-559b-4f1b-9f65-76f07cda71b8,1,計算 $$[(19 \times 3) + (-9)] \div 6 + |2 \times (-6) - 4|$$ 的值。,,24,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
