item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
b16a6aa9-d908-4bc6-8cad-48eca3ac6862,165e57cc-ff32-409f-aac8-d2c40a3c06cf,1,計算 [(-7)+(-21)]÷(-4)×(-3)+|(-6)×(-7)+19| 的值。,,40,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.0,5,3,5,3.0,36.0,0.0,0.0,True,15,0.0,9,0,340,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
1cef57b9-3494-4233-9685-21f855c9bc30,165e57cc-ff32-409f-aac8-d2c40a3c06cf,2,計算 [(-19)+61]÷6×(-7)+|5×(-7)-21| 的值。,,7,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.33,5,3,5,2.33,35.33,0.0,0.0,True,15,0.0,7,0,340,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
3c2c80d5-62da-4c13-8cd3-f3145957615a,165e57cc-ff32-409f-aac8-d2c40a3c06cf,3,計算 [(-28)+92]÷8×3+|7×0+22| 的值。,,46,PASS,,1,7.5,7.5,20.0,10.0,10.0,14.33,5,3,5,1.33,34.33,0.0,0.0,True,15,0.0,4,0,340,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
ede62f3b-9bab-46cf-b332-c6d1dc06a88c,30b1a215-d64a-417a-81f3-c3f0d615faa5,1,計算 [(-2)+(-5)]÷(-7)×(-10)+|(-8)×(-4)-(-16)| 的值。,,38,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.67,5,3,5,3.67,36.67,0.0,0.0,True,15,0.0,11,0,773,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
9504846a-c242-4d4b-95ed-9b45c2fcf4a9,30b1a215-d64a-417a-81f3-c3f0d615faa5,2,計算 10×(1-15)+12÷(-3)-|11| 的值。,,-155,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.33,5,3,5,2.33,35.33,0.0,0.0,True,15,0.0,7,0,773,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
8e8945b1-78ff-4614-9f17-1dcfa7c1b01f,30b1a215-d64a-417a-81f3-c3f0d615faa5,3,計算 9×(15-9)+(-42)÷(-6)-|(-8)| 的值。,,53,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.67,5,3,5,2.67,35.67,0.0,0.0,True,15,0.0,8,0,773,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
8927f6bd-bce9-4fc5-81a7-6a62447c2488,c3a74f8a-9fcb-48fa-b2e3-247d402ae4bd,1,計算 [7+(-5)]÷(-2)×(-9)+|6×(-3)+(-4)| 的值。,,31,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.67,5,3,5,2.67,35.67,0.0,0.0,True,15,0.0,8,0,357,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
315578e3-c76d-403c-b01d-cd714d57281e,c3a74f8a-9fcb-48fa-b2e3-247d402ae4bd,2,計算 [(-23)+133]÷(-11)×(-2)+|10×(-7)+16| 的值。,,74,PASS,,1,7.5,7.5,20.0,10.0,10.0,14.33,4,3,5,2.33,34.33,0.0,0.0,True,15,0.0,7,0,357,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
e474071e-4d58-4780-aef1-51851324da35,c3a74f8a-9fcb-48fa-b2e3-247d402ae4bd,3,計算 [(-7)+18]÷(-11)×10+|8×4+19| 的值。,,41,PASS,,1,7.5,7.5,20.0,10.0,10.0,14.67,5,3,5,1.67,34.67,0.0,0.0,True,15,0.0,5,0,357,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
10db4c9f-83ca-4f2f-8549-abdcbed98ed4,750cccf5-d5c8-4c73-9772-21dc97a32136,1,計算 [(-16)+52]÷4×(-3)+|-9×(-12)+(-13)| 的值。,,68,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.67,5,3,5,2.67,35.67,0.0,0.0,True,15,0.0,8,0,355,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
cb59b4f2-bafe-4118-9432-e265e37d663e,750cccf5-d5c8-4c73-9772-21dc97a32136,2,計算 [12+(-24)]÷(-6)×5-|0×6-(-27)| 的值。,,-17,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.0,5,3,5,3.0,36.0,0.0,0.0,True,15,0.0,9,0,355,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
e01fc200-5074-4068-8d1b-455dde3fb40f,750cccf5-d5c8-4c73-9772-21dc97a32136,3,計算 [(-9)+9]÷6×(-9)+|0×3+25| 的值。,,25,PASS,,1,7.5,7.5,20.0,10.0,10.0,14.67,5,3,5,1.67,34.67,0.0,0.0,True,15,0.0,5,0,355,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
ea6d729e-e510-4a26-8148-12293abd3c0d,2c64cf59-8946-4cb5-9980-78bbe8f1a3d1,1,計算 0×(-3)-[7×2÷(-2)+(-3)] 的值。,,10,PASS,,1,7.5,7.5,20.0,10.0,10.0,14.33,5,3,5,1.33,34.33,0.0,0.0,True,15,0.0,4,0,523,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
a6eae702-6e8a-48e5-889d-eca576144ee3,2c64cf59-8946-4cb5-9980-78bbe8f1a3d1,2,計算 [10+8]÷3×5+|(-3)×5-(-6)| 的值。,,39,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.0,5,3,5,2.0,35.0,0.0,0.0,True,15,0.0,6,0,523,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
a6dd652a-b771-4e40-b354-85a8fa470db9,2c64cf59-8946-4cb5-9980-78bbe8f1a3d1,3,計算 (-3)×(-8)-[(-4)×(-9)÷3+16] 的值。,,-4,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.0,5,3,5,2.0,35.0,0.0,0.0,True,15,0.0,6,0,523,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
c0fa75a0-ffce-4aed-b950-1a87b4b27473,de01225e-5991-48ba-a9a1-78de42e2a114,1,計算 $$[((-10) \times 5) + 11] \div 3 + |12 \times (-8) - 2|$$ 的值。,,85,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
09d9f4c3-bdff-42e5-bf32-be0407cec85d,de01225e-5991-48ba-a9a1-78de42e2a114,2,計算 $$[(22 \times 5) + 16] \div 9 + |(-5) \times 9 - 20|$$ 的值。,,79,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
c8f08e4d-753b-4b5f-a16e-4d5bbba4cc9c,de01225e-5991-48ba-a9a1-78de42e2a114,3,計算 $$[((-18) \times 3) + 14] \div 4 + |2 \times (-6) - 20|$$ 的值。,,22,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
ef940cbd-3d9d-424b-914c-be92fe21df17,5951435d-aab1-4048-9c65-e91589a2d174,1,計算 $$[(11 \times 5) + (-19)] \div 6 + |(-7) \times (-8) - 11|$$ 的值。,,51,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,15,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
4a2379f8-fa0a-423b-a4b0-dbc264f09ad9,5951435d-aab1-4048-9c65-e91589a2d174,2,計算 $$[(27 \times 2) + (-5)] \div 7 + |(-6) \times 7 - 9|$$ 的值。,,58,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
8f17ad32-e254-4247-a34a-7dc1aa869ea5,5951435d-aab1-4048-9c65-e91589a2d174,3,計算 $$[(18 \times 4) + 3] \div 5 + |7 \times (-4) - 6|$$ 的值。,,49,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
1be6400f-caab-42d6-a2fd-6c2440d4412e,e0358b93-e7b1-44fc-b8d3-27648af7a902,1,計算 $$[((-22) \times 3) + 17] \div 7 + |6 \times 1 - 1|$$ 的值。,,-2,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
2c6058ee-9a93-46c9-a753-a5dc29481491,e0358b93-e7b1-44fc-b8d3-27648af7a902,2,計算 $$[(35 \times 2) + (-10)] \div 6 + |8 \times (-5) - 10|$$ 的值。,,60,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
dfe766f0-b6f9-49d0-a47f-b3b149492bbd,e0358b93-e7b1-44fc-b8d3-27648af7a902,3,計算 $$[(5 \times 4) + 20] \div 5 + |(-6) \times 4 - 5|$$ 的值。,,37,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
8dd2781c-a532-4634-809f-23e86f9fc2ea,a5c67608-a568-4187-8acc-121aa159760c,1,計算 $$[((-17) \times 5) + 25] \div 5 + |(-3) \times 5 - 12|$$ 的值。,,15,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
416ed35d-6baf-47fd-b556-34086ae3d326,a5c67608-a568-4187-8acc-121aa159760c,2,計算 $$[(2 \times 4) + 8] \div 4 + |7 \times (-3) - 10|$$ 的值。,,35,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
c21a1c66-15c2-473f-961a-c0a36898e234,a5c67608-a568-4187-8acc-121aa159760c,3,計算 $$[(16 \times 3) + 0] \div 4 + |(-2) \times 2 - 13|$$ 的值。,,29,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.0,5,3,5,4.0,47.0,0.0,0.0,True,15,10.0,12,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
9e69ec7f-2a19-4d91-b018-74aa2626853d,5c25e01c-5c7a-4049-90cd-18c481ebe792,1,計算 $$[((-9) \times 2) + 6] \div 4 + |(-5) \times 8 - 2|$$ 的值。,,39,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
ef794f88-cb0c-4e65-8115-7aa66da18448,5c25e01c-5c7a-4049-90cd-18c481ebe792,2,計算 $$[((-6) \times 2) + 2] \div 2 + |12 \times 10 - 2|$$ 的值。,,113,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
dfcfa088-b0c3-42de-8bce-f5305cf5fa26,5c25e01c-5c7a-4049-90cd-18c481ebe792,3,計算 $$[(5 \times 4) + 20] \div 8 + |(-1) \times (-3) - 15|$$ 的值。,,17,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
3fe96dc5-261c-4eed-850a-7f61e264c0c3,6549c488-8851-4092-88f5-f1c0a1594f80,1,計算 $$[(3 \times 3) + (-1)] \div 4 + |10 \times 1 - 9|$$ 的值。,,3,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3567,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
