item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
3b58a7f8-21b7-4490-b7a7-d6b7b937862a,76753baa-2623-4697-8bc2-384722aea4ed,1,,,,ERROR,RecursionError: maximum recursion depth exceeded,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
769fd748-32ef-40de-925c-a46f945521b9,76753baa-2623-4697-8bc2-384722aea4ed,2,,,,ERROR,RecursionError: maximum recursion depth exceeded,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
4459ebcd-d395-4e91-9941-af85175a3626,76753baa-2623-4697-8bc2-384722aea4ed,3,,,,ERROR,RecursionError: maximum recursion depth exceeded,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
f74808a7-25a0-4c21-95b4-95743373d984,8961a6c9-40ec-4bb8-8ef5-4fa9dd1dad76,1,計算 $$[(33 \times 2) + (-6)] \div 10 + |10 \times (-10) - 1|$$ 的值。,,107,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
2f2b82da-3472-4ff4-aa4d-3935c448f0da,8961a6c9-40ec-4bb8-8ef5-4fa9dd1dad76,2,計算 $$[((-18) \times 2) + 6] \div 6 + |13 \times 2 - 17|$$ 的值。,,4,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
8e5d4fc0-a627-4db1-90e6-b7d2c3046d9d,8961a6c9-40ec-4bb8-8ef5-4fa9dd1dad76,3,計算 $$[((-9) \times 5) + 27] \div 2 + |3 \times 3 - 4|$$ 的值。,,-4,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
759cb8a3-7b45-465a-bf12-07bb7bba6b0c,9b71dcaa-d299-4e23-90b0-6abd0c5a748c,1,計算 $$[(1 \times 4) + 11] \div 3 + |1 \times (-10) - 15|$$ 的值。,,30,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
9a740c03-6993-48fa-aa14-596d10d780f8,9b71dcaa-d299-4e23-90b0-6abd0c5a748c,2,計算 $$[((-11) \times 3) + (-6)] \div 3 + |3 \times (-3) - 9|$$ 的值。,,5,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,15,5,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
4d01b92b-fd2e-4e74-a14e-7f4471432e4c,9b71dcaa-d299-4e23-90b0-6abd0c5a748c,3,計算 $$[(8 \times 2) + (-4)] \div 3 + |(-9) \times (-6) - 9|$$ 的值。,,49,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,15,5,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
025f5e87-c505-40fd-aad3-ca022722ecc8,7708bf9f-6187-4f12-8ec4-8dd88d02c634,1,計算 $$[((-15) \times 3) + 15] \div 2 + |(-7) \times 2 - 10|$$ 的值。,,9,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
52588358-1e4f-4ad4-99a9-151ea3cd893e,7708bf9f-6187-4f12-8ec4-8dd88d02c634,2,計算 $$[((-10) \times 4) + (-2)] \div 3 + |2 \times (-10) - 12|$$ 的值。,,18,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,15,5,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
2228f75a-5815-4708-abc6-68aefec5e4fd,7708bf9f-6187-4f12-8ec4-8dd88d02c634,3,計算 $$[((-20) \times 2) + 10] \div 2 + |13 \times (-8) - 3|$$ 的值。,,92,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
38691f77-c1ae-4b60-aaa7-730e29080630,94f3c861-f6a5-428b-9bdf-3dba99eb29b4,1,計算 $$[(35 \times 2) + (-7)] \div 7 + |9 \times (-9) - 14|$$ 的值。,,104,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
