run_id,timestamp,model_name,skill_name,ablation_id,sample_index,code_commit_hash,python_version,mcri_version,model_temperature,repetitions_planned,repetitions_completed,fail_count,pass_rate,avg_exec_time,score_l1_total,score_l1_1_syntax,score_l1_2_runtime,score_l2_total,score_l2_1_contract,score_l2_2_purity,avg_l3_total,avg_l3_1_internal,avg_l3_2_external,avg_l4_total,avg_l4_1_numeric,avg_l4_2_visual,avg_l4_3_artifacts,avg_complexity_math_ops,avg_complexity_inference_steps,avg_complexity_ast_nodes,avg_complexity_loop_depth,score_program_total,score_math_total,score_l5_architecture,avg_l4_4_mqi,avg_mcri_total,source_code_path,notes,batch_id,golden_prompt_path,prompt_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms,healer_applied,healer_fix_count
76753baa-2623-4697-8bc2-384722aea4ed,2026-02-18T16:32:14.525325+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,3.14.0,6.4,0.7,3,3,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,11.0,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_44b5c2bd.py,"L1: AST 解析成功; 發現禁用函數: eval; Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); Rep1 失敗: RecursionError; Rep2 失敗: RecursionError; Rep3 失敗: RecursionError; 成功 0/3 次 | Perf: 0.00s | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:1",,,,0,0,0,0,0,0
8961a6c9-40ec-4bb8-8ef5-4fa9dd1dad76,2026-02-18T17:27:14.204480+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.44,5.0,3.0,5.0,13.33,5.0,3522.0,1.0,47.0,47.44,17.0,4.44,94.44,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_bbf1774e.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:2",,,,0,0,0,0,1,1
9b71dcaa-d299-4e23-90b0-6abd0c5a748c,2026-02-18T17:28:13.665824+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.78,5.0,3.0,5.0,14.33,5.0,3522.0,1.0,47.0,47.78,17.0,4.78,94.78,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_592352b8.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:3",,,,0,0,0,0,1,1
7708bf9f-6187-4f12-8ec4-8dd88d02c634,2026-02-18T17:29:13.203588+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.78,5.0,3.0,5.0,14.33,5.0,3522.0,1.0,47.0,47.78,17.0,4.78,94.78,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_f2f904ac.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:4",,,,0,0,0,0,1,1
94f3c861-f6a5-428b-9bdf-3dba99eb29b4,2026-02-18T17:30:13.392429+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.67,5.0,3.0,5.0,14.0,5.0,3522.0,1.0,47.0,47.67,17.0,4.67,94.67,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_1b450f58.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:5",,,,0,0,0,0,1,1
4b412f92-9ae4-411b-ab8e-64552ab76df1,2026-02-18T17:31:08.340480+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.33,5.0,3.0,5.0,13.0,5.0,3516.0,1.0,50.0,47.33,20.0,4.33,97.33,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_0a8feacd.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=3) | GenRun:1",,,,0,0,0,0,1,3
39b0adf2-63ee-4d0d-9390-ae344b442134,2026-02-18T17:32:08.441370+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.56,5.0,3.0,5.0,13.67,5.0,3516.0,1.0,50.0,47.56,20.0,4.56,97.56,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_b8d7369e.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=6) | GenRun:2",,,,0,0,0,0,1,6
cc0840ff-9f8e-4959-b166-2668d47c4676,2026-02-18T17:33:08.550540+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.33,5.0,3.0,5.0,13.0,5.0,3516.0,1.0,50.0,47.33,20.0,4.33,97.33,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_2b870733.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=9) | GenRun:3",,,,0,0,0,0,1,9
1255b35b-ccb1-4b69-b7c7-37d5df22dead,2026-02-18T17:34:10.322912+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.67,5.0,3.0,5.0,14.0,5.0,3516.0,1.0,50.0,47.67,20.0,4.67,97.67,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_6df156f7.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=12) | GenRun:4",,,,0,0,0,0,1,12
f26d77c1-bd96-4482-a3df-35147bd94970,2026-02-18T17:35:13.802692+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.67,5.0,3.0,5.0,14.0,5.0,3516.0,1.0,50.0,47.67,20.0,4.67,97.67,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_942c1f4e.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=15) | GenRun:5",,,,0,0,0,0,1,15
337a25c0-08ee-4d9a-af5f-db9619429921,2026-02-18T17:35:51.737636+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,1,3,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,13.0,10.0,3.0,14.67,5.0,3.0,3.67,9.0,0.0,280.0,0.0,40.5,27.67,12.5,3.0,68.17,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_82d97faa.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:1",,,,0,0,0,0,0,0
