run_id,timestamp,model_name,skill_name,ablation_id,sample_index,code_commit_hash,python_version,mcri_version,model_temperature,repetitions_planned,repetitions_completed,fail_count,pass_rate,avg_exec_time,score_l1_total,score_l1_1_syntax,score_l1_2_runtime,score_l2_total,score_l2_1_contract,score_l2_2_purity,avg_l3_total,avg_l3_1_internal,avg_l3_2_external,avg_l4_total,avg_l4_1_numeric,avg_l4_2_visual,avg_l4_3_artifacts,avg_complexity_math_ops,avg_complexity_inference_steps,avg_complexity_ast_nodes,avg_complexity_loop_depth,score_program_total,score_math_total,score_l5_architecture,avg_l4_4_mqi,avg_mcri_total,source_code_path,notes,batch_id,golden_prompt_path,prompt_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms,healer_applied,healer_fix_count
f9bbf55f-061a-4f5c-9299-2adf28477afa,2026-02-18T23:46:56.433290+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,12.56,5.0,2.33,2.33,8.67,0.0,327.0,1.0,38.5,32.56,10.5,2.89,71.06,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_cd8b8647.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:2",,,,0,0,0,0,0,0
3e476241-94ad-4f8c-a5c0-a84885c2293a,2026-02-18T23:48:42.511167+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,3.14.0,6.4,0.7,3,3,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,9.0,0.0,12.0,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_26af7801.py,"L1: AST 解析成功; 發現禁用函數: eval; Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); Rep1 失敗: RecursionError; Rep2 失敗: RecursionError; Rep3 失敗: RecursionError; 成功 0/3 次 | Perf: 0.00s | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:3",,,,0,0,0,0,0,0
01ec6d20-da75-42d6-9c41-c180e5eb48bb,2026-02-18T23:50:13.799548+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,10.5,3.0,7.5,15.0,7.5,7.5,13.0,10.0,3.0,15.22,5.0,3.0,4.33,8.67,0.0,199.0,0.0,33.5,28.22,8.0,2.89,61.72,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_e4fa384a.py,"L1: AST 解析成功; 發現禁用函數: eval; Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:4",,,,0,0,0,0,0,0
7d198e7f-e526-4a5b-93b0-6aa3c257e29e,2026-02-18T23:58:29.147650+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,10.5,3.0,7.5,15.0,7.5,7.5,12.17,6.67,5.5,9.22,4.67,2.0,0.67,5.67,0.0,366.0,1.0,34.5,21.39,9.0,1.89,55.89,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_0c302597.py,"L1: AST 解析成功; 發現禁用函數: eval; Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:5",,,,0,0,0,0,0,0
a2cff46d-30fd-4762-ac31-a4494ccbe210,2026-02-18T23:58:50.633729+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.78,5.0,3.0,5.0,14.67,5.0,3465.0,1.0,47.0,47.78,17.0,4.78,94.78,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_9f308ff7.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:1",,,,0,0,0,0,1,1
530f34b7-559b-4f1b-9f65-76f07cda71b8,2026-02-18T23:59:16.608906+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.22,5.0,3.0,5.0,12.67,5.0,3522.0,1.0,47.0,47.22,17.0,4.22,94.22,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_8dbd173c.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:2",,,,0,0,0,0,1,1
d8d0b32c-f974-4f90-8c0c-6aacdce7a7f5,2026-02-18T23:59:41.902780+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.33,5.0,3.0,5.0,13.0,5.0,3522.0,1.0,47.0,47.33,17.0,4.33,94.33,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_44dd0025.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:3",,,,0,0,0,0,1,1
7355751a-69e3-486c-8db7-07110fddcb0e,2026-02-19T00:00:09.036649+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.44,5.0,3.0,5.0,13.33,5.0,3522.0,1.0,47.0,47.44,17.0,4.44,94.44,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_a409d06a.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:4",,,,0,0,0,0,1,1
e7f74f8a-3d0d-471a-9f9a-456eefc942dc,2026-02-19T00:00:39.068595+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.33,5.0,3.0,5.0,13.0,5.0,3522.0,1.0,47.0,47.33,17.0,4.33,94.33,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_c2ea1ed8.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:5",,,,0,0,0,0,1,1
14c92fe3-fe7d-402c-aa27-8bcc0df5df19,2026-02-19T00:01:04.827477+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.55,5.0,3.0,5.0,13.67,5.0,3516.0,1.0,50.0,47.55,20.0,4.55,97.55,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_8f9d984e.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=1) | GenRun:1",,,,0,0,0,0,1,2
f77e9186-5805-4c0f-b24d-c42523712305,2026-02-19T00:01:33.536285+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.78,5.0,3.0,5.0,14.33,5.0,3516.0,1.0,50.0,47.78,20.0,4.78,97.78,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_3273a539.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=4) | GenRun:2",,,,0,0,0,0,1,4
830eb9f3-2f4d-4654-9c01-c94e512abadb,2026-02-19T00:02:02.164660+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.56,5.0,3.0,5.0,13.67,5.0,3499.0,1.0,50.0,47.56,20.0,4.56,97.56,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_891d272c.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=7) | GenRun:3",,,,0,0,0,0,1,7
1c0bfb9b-787b-4eb4-80fd-823044e50d0b,2026-02-19T00:02:49.450313+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.78,5.0,3.0,5.0,14.33,5.0,3516.0,1.0,50.0,47.78,20.0,4.78,97.78,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_2b8b7f14.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=10) | GenRun:4",,,,0,0,0,0,1,10
b1585516-5450-4461-add8-3c86f7391f09,2026-02-19T00:03:33.718678+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.33,5.0,3.0,5.0,13.0,5.0,3516.0,1.0,50.0,47.33,20.0,4.33,97.33,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_853fd086.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=13) | GenRun:5",,,,0,0,0,0,1,13
134a396d-cc52-41fc-85c5-55e8b90e0ce9,2026-02-19T00:08:12.310703+00:00,Qwen3_8B,jh_數學1上_FourArithmeticOperationsOfIntegers,1,3,,3.14.0,6.4,0.7,3,3,3,0.0,0.0,13.0,5.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,10.5,0.0,23.5,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_a6e173cf.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:1",,,,0,0,0,0,0,0
