item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
5024873c-7228-4831-ab65-f84393104001,711e5fef-34e9-44ca-ab29-69af93e6db44,1,計算 [17+(-5)]÷6×(-1)-|9×(-3)+18| 的值。,,-11,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.67,5,3,5,2.67,35.67,0.0,0.0,True,15,0.0,8,0,376,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
c26e304a-c1f9-4911-b1f7-fb491f5d4d59,711e5fef-34e9-44ca-ab29-69af93e6db44,2,計算 [9+(-19)]÷10×(-10)-|(-6)×(-5)-12| 的值。,,-8,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.33,5,3,5,3.33,36.33,0.0,0.0,True,15,0.0,10,0,376,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
8d9729b9-282a-478d-8d7b-5ca6f7eea9e7,711e5fef-34e9-44ca-ab29-69af93e6db44,3,計算 [(-9)+81]÷(-9)×(-10)+|3×1+0| 的值。,,83,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.0,5,3,5,2.0,35.0,0.0,0.0,True,15,0.0,6,0,376,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
8c6c3dc2-dd76-43c5-b326-7c1010659495,cbb3c061-b6cf-4c17-aa23-50bc435376b3,1,計算 [(-12)+72]÷10×9-|(-10)×7-24| 的值。,,-40,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.67,5,3,5,2.67,35.67,0.0,0.0,True,15,0.0,8,0,335,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
e332e301-1ce6-487e-b4ff-5cee1ab697da,cbb3c061-b6cf-4c17-aa23-50bc435376b3,2,計算 [(-9)+1]÷(-4)×10+|7×(-7)+23| 的值。,,46,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.0,5,3,5,2.0,35.0,0.0,0.0,True,15,0.0,6,0,335,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
269c1b97-6ce0-4697-8adb-d867468d30f8,cbb3c061-b6cf-4c17-aa23-50bc435376b3,3,計算 [22+(-15)]÷7×8+|(-9)×(-5)+13| 的值。,,66,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.0,5,3,5,2.0,35.0,0.0,0.0,True,15,0.0,6,0,335,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
6967c41f-9561-409e-90f5-ac8dd5212cf8,e122b55a-0e42-45df-9641-30817f597fcc,1,計算 [27+(-135)]÷(-12)×9+|7×1-29| 的值。,,103,PASS,,1,7.5,7.5,20.0,10.0,10.0,14.0,4,3,5,2.0,34.0,0.0,0.0,True,15,0.0,6,0,322,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
cbc0b45b-0904-43b1-b45f-974dcfb50b75,e122b55a-0e42-45df-9641-30817f597fcc,2,計算 [(-17)+6]÷(-11)×(-8)-|1×(-7)-(-7)| 的值。,,-8,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.67,5,3,5,3.67,36.67,0.0,0.0,True,15,0.0,11,0,322,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
e9e4eaee-656b-4b8d-9cae-c4605e4c7d81,e122b55a-0e42-45df-9641-30817f597fcc,3,計算 [3+(-15)]÷(-4)×(-6)-|12×(-12)-(-6)| 的值。,,-156,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.67,5,3,5,3.67,36.67,0.0,0.0,True,15,0.0,11,0,322,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
dffe6e17-d8ae-49e3-80a4-c784a2ef2966,5e4a72b6-e6db-4c09-845f-3ca59c0ce862,1,計算 [5+31]÷(-9)×(-6)-|5×10-(-4)| 的值。,,-30,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.0,5,3,5,3.0,36.0,0.0,0.0,True,15,0.0,9,0,306,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
75671310-a296-4477-9123-1ceabf2acb0e,5e4a72b6-e6db-4c09-845f-3ca59c0ce862,2,計算 [13+11]÷8×1-|(-1)×7-7| 的值。,,-11,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.33,5,3,5,2.33,35.33,0.0,0.0,True,15,0.0,7,0,306,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
e0ef5e2c-d265-4274-996c-360a09e718c3,5e4a72b6-e6db-4c09-845f-3ca59c0ce862,3,計算 [(-2)+(-61)]÷7×4-|(-6)×(-5)-(-6)| 的值。,,-72,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.67,5,3,5,3.67,36.67,0.0,0.0,True,15,0.0,11,0,306,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
cc54240d-a8ac-4284-9e68-b1bb9f87cd63,215b4639-4b5a-4633-b5e2-73fe1ad88972,1,計算 [(-11)+15]÷(-1)×(-5)+|(-5)×(-5)-20| 的值。,,25,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.0,5,3,5,3.0,36.0,0.0,0.0,True,15,0.0,9,0,668,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
181143f7-600f-47d9-98f3-d157fb9464de,215b4639-4b5a-4633-b5e2-73fe1ad88972,2,計算 7×((-6)-9)+[(-70)+(8×8)]÷3 的值。,,-107,PASS,,1,7.5,7.5,20.0,10.0,10.0,14.33,5,3,5,1.33,34.33,0.0,0.0,True,15,0.0,4,0,668,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
4fa2141d-e512-41dd-bcc5-d6f39a21e1a2,215b4639-4b5a-4633-b5e2-73fe1ad88972,3,計算 |(-4)×3+2|-(10+7)×3 的值。,,-41,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.0,5,3,5,2.0,35.0,0.0,0.0,True,15,0.0,6,0,668,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
f5f0d0ae-bb47-450e-a92d-84ca53e4c2ae,9f9fe11e-404c-4261-8ddb-98d1c6443874,1,計算 $$[(23 \times 5) + 25] \div 10 + |4 \times (-4) - 19|$$ 的值。,,49,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
1231c74f-efa6-4dc9-8d46-4f4b6b1a2821,9f9fe11e-404c-4261-8ddb-98d1c6443874,2,計算 $$[(15 \times 4) + (-20)] \div 4 + |14 \times (-2) - 15|$$ 的值。,,53,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
177ab34c-7ade-470c-bbb9-1a51acf7a491,9f9fe11e-404c-4261-8ddb-98d1c6443874,3,計算 $$[((-58) \times 2) + 6] \div 10 + |1 \times (-5) - 3|$$ 的值。,,-3,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
2994f805-a949-4bbd-91f6-bd7ef89d9ce6,014d952b-3ced-4f49-a2c2-8b318517e106,1,計算 $$[((-14) \times 4) + (-16)] \div 6 + |(-5) \times (-8) - 15|$$ 的值。,,13,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,16,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
4b57c7c9-3d73-411f-b4b9-72848ee25bda,014d952b-3ced-4f49-a2c2-8b318517e106,2,計算 $$[(11 \times 5) + (-5)] \div 5 + |1 \times (-1) - 8|$$ 的值。,,19,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
10b6e23f-cdb0-41b0-bcaa-5bab68b1f8af,014d952b-3ced-4f49-a2c2-8b318517e106,3,計算 $$[(18 \times 5) + 27] \div 9 + |(-7) \times (-10) - 14|$$ 的值。,,69,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
d8b549dd-3335-420d-b444-b8f842052417,3230d668-d313-4d94-9601-8aa49e180f0b,1,計算 $$[((-13) \times 5) + 17] \div 4 + |2 \times (-9) - 10|$$ 的值。,,16,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
270ba747-8a64-4040-86da-576588f2483f,3230d668-d313-4d94-9601-8aa49e180f0b,2,計算 $$[(40 \times 3) + (-3)] \div 9 + |(-1) \times (-5) - 6|$$ 的值。,,14,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,15,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
00a29ef9-487b-4d2b-a1ac-c7c4a27d76c7,3230d668-d313-4d94-9601-8aa49e180f0b,3,計算 $$[((-26) \times 3) + 15] \div 7 + |14 \times 10 - 7|$$ 的值。,,124,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
