item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
175ca917-7fdc-4dd0-a30a-09d4cf5a56f2,07637ccb-becd-4e95-bade-b082f9cf4b04,1,計算 $$[(1 \times 5) + (-23)] \div 9 + |(-3) \times (-5) - 9|$$ 的值。,,4,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,15,5,3550,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
16adacb0-504f-420c-b243-dfd835babed7,07637ccb-becd-4e95-bade-b082f9cf4b04,2,計算 $$[(7 \times 4) + 4] \div 4 + |(-4) \times (-4) - 19|$$ 的值。,,11,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3550,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
0d0bfa38-226a-4205-87b7-cdf286e99b2d,07637ccb-becd-4e95-bade-b082f9cf4b04,3,計算 $$[(3 \times 3) + 17] \div 2 + |(-2) \times 7 - 1|$$ 的值。,,28,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3550,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
77e7cd27-1d93-4a86-a88a-14b4f9cd2b58,39de35bb-02b8-4314-9989-fe7e8579c6b6,1,計算 $$[((-42) \times 4) + 18] \div 10 + |14 \times (-8) - 6|$$ 的值。,,103,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3567,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
65f003d9-0c84-4f1d-81f5-a72c2f01745a,39de35bb-02b8-4314-9989-fe7e8579c6b6,2,計算 $$[((-10) \times 2) + 5] \div 5 + |(-3) \times (-3) - 9|$$ 的值。,,-3,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,15,5,3567,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
f6a78c29-e2ac-4bfc-b321-c775db73f329,39de35bb-02b8-4314-9989-fe7e8579c6b6,3,計算 $$[(2 \times 5) + 25] \div 7 + |13 \times 7 - 6|$$ 的值。,,90,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.0,5,3,5,4.0,47.0,0.0,0.0,True,15,10.0,12,5,3567,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
6947eaa3-782d-47db-a534-5d71d7b5bdd8,1c5b4e56-ebf4-413c-879e-b20c8a8950c8,1,計算 $$[((-29) \times 2) + 2] \div 8 + |3 \times 7 - 9|$$ 的值。,,5,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3567,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
655c1680-b37a-47da-954c-205c2fe86e2b,1c5b4e56-ebf4-413c-879e-b20c8a8950c8,2,計算 $$[((-28) \times 2) + (-4)] \div 4 + |4 \times (-9) - 1|$$ 的值。,,22,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,15,5,3567,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
29a3e91e-2958-4292-b22b-82f1afe63f6a,1c5b4e56-ebf4-413c-879e-b20c8a8950c8,3,計算 $$[(17 \times 3) + 12] \div 9 + |5 \times (-9) - 2|$$ 的值。,,54,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3567,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
e7ff184a-a01c-498f-906d-56f9fd6ae746,1f579465-54a9-4c02-b98a-a08584a66cc7,1,計算 $$[(7 \times 4) + (-26)] \div 2 - |14 \times 3 - 15 + 7| + ((-6) \times 3 - 3)$$ 的值。,,-54,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,16,6,3561,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
e393ce66-fa32-4208-9e52-496388f94dda,1f579465-54a9-4c02-b98a-a08584a66cc7,2,計算 $$[(26 \times 4) + 0] \div 8 - |(-6) \times (-7) - 16 + (-5)| + (4 \times 2 - 7)$$ 的值。,,-7,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,17,6,3561,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
9b3945bf-2221-4f27-9361-c5a6bcfa1707,1f579465-54a9-4c02-b98a-a08584a66cc7,3,計算 $$[(54 \times 2) + 4] \div 14 - |1 \times 8 - 12 + (-6)| + ((-7) \times 3 - 2)$$ 的值。,,-25,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,16,6,3561,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
726ea4a5-90f3-473c-9ed1-a227b4bfddee,795a6745-0d54-41fc-a9b3-4958a7197bdd,1,計算 $$[(46 \times 3) + (-5)] \div 19 - |13 \times 7 - 13 + (-1)| + ((-9) \times 4 - 6)$$ 的值。,,-112,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,17,6,3567,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
b709e98d-5be7-418c-9943-ea2e9c2f2428,795a6745-0d54-41fc-a9b3-4958a7197bdd,2,計算 $$[(14 \times 3) + (-4)] \div 19 - |(-9) \times (-5) - 11 + 6| + ((-9) \times 4 - 6)$$ 的值。,,-80,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,18,6,3567,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
aa9d8266-e897-4f79-ab3e-35b172281f3d,795a6745-0d54-41fc-a9b3-4958a7197bdd,3,計算 $$[(20 \times 3) + 12] \div 9 - |(-3) \times (-8) - 9 + (-2)| + (3 \times 3 - 1)$$ 的值。,,3,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,17,6,3567,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
2096128b-be75-4eab-921b-76acf623ab4e,3aa90a71-2b3b-4786-8fa8-5d697aa300ab,1,計算 $$[(15 \times 2) + 6] \div 3 - |(-1) \times 3 - 3 + 1| + ((-10) \times 2 - 3)$$ 的值。,,-16,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,16,6,3567,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
c2a77770-6407-458d-8843-1c6163aa0b32,3aa90a71-2b3b-4786-8fa8-5d697aa300ab,2,計算 $$[((-23) \times 4) + 2] \div 9 - |10 \times 4 - 18 + 8| + ((-3) \times 4 - 1)$$ 的值。,,-53,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,16,6,3567,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
21ddb5aa-228c-4fa7-b963-3802baabd8b6,3aa90a71-2b3b-4786-8fa8-5d697aa300ab,3,計算 $$[(23 \times 5) + (-13)] \div 17 - |5 \times (-4) - 17 + (-3)| + (9 \times 3 - 6)$$ 的值。,,-13,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,17,6,3567,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
d9f29688-c94c-44f6-a0e6-d2df0dabd597,b8469f1e-0918-4e5e-b62f-2f85fd6498be,1,計算 $$- [(6 \times 5) + (-10)] \div 20 + |8 \times (-7) - 8 + 10| - (8 \times 2 - 8) + 3$$ 的值。,,48,PASS,,1,7.5,7.5,20.0,10.0,10.0,28.0,5,3,5,5.0,48.0,0.0,0.0,True,15,10.0,17,5,3567,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
