run_id,timestamp,model_name,skill_name,ablation_id,sample_index,code_commit_hash,python_version,mcri_version,model_temperature,repetitions_planned,repetitions_completed,fail_count,pass_rate,avg_exec_time,score_l1_total,score_l1_1_syntax,score_l1_2_runtime,score_l2_total,score_l2_1_contract,score_l2_2_purity,avg_l3_total,avg_l3_1_internal,avg_l3_2_external,avg_l4_total,avg_l4_1_numeric,avg_l4_2_visual,avg_l4_3_artifacts,avg_complexity_math_ops,avg_complexity_inference_steps,avg_complexity_ast_nodes,avg_complexity_loop_depth,score_program_total,score_math_total,score_l5_architecture,avg_l4_4_mqi,avg_mcri_total,source_code_path,notes,batch_id,golden_prompt_path,prompt_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms,healer_applied,healer_fix_count,healer_fixes_basic,healer_fixes_regex,healer_fixes_ast
09ff48e5-0734-498a-a79c-941c94b2f817,2026-02-24T00:15:29.274784,qwen3-8b,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,,,0,3,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfIntegers\qwen3_8b\gen_code\temp_gen_c33b5b59.py,Load Failed (SyntaxError or Import Error),,,,508,8192,8700,125945,0,0,0,0,0
23d321f4-3435-4c2b-9136-13b24749ea9d,2026-02-23T16:16:43.783356+00:00,qwen3-8b,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,3.14.0,6.4,0.7,3,3,0,0.0,0.0,13.0,5.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,11.0,0.0,24.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfIntegers\qwen3_8b\gen_code\temp_gen_6e05d6f9.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 72.53s | Tokens: In=508, Out=4994 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:2",,,,508,4994,5502,72533,0,0,0,0,0
d56d12b7-1d82-4e41-aa96-2adc811ef473,2026-02-23T16:16:55.541529+00:00,qwen3-8b,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,10.5,3.0,7.5,14.0,6.5,7.5,15.33,10.0,5.33,13.33,5.0,3.0,5.0,1.0,0.0,508.0,0.0,32.5,28.67,8.0,0.33,61.17,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfIntegers\qwen3_8b\gen_code\temp_gen_af1a6340.py,"L1: AST 解析成功; 發現禁用函數: eval; Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 9.38s | Tokens: In=508, Out=676 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:3",,,,508,676,1184,9385,0,0,0,0,0
dcc5f852-aa25-4ba0-9544-3a9898f4bc7b,2026-02-24T00:19:01.569069,qwen3-8b,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,,,0,3,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfIntegers\qwen3_8b\gen_code\temp_gen_6262fe3b.py,Load Failed (SyntaxError or Import Error),,,,508,8192,8700,123168,0,0,0,0,0
3aa2e7c1-43d3-4178-9806-e52e42b2d16c,2026-02-24T00:21:06.962488,qwen3-8b,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,,,0,3,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfIntegers\qwen3_8b\gen_code\temp_gen_b50b45d9.py,Load Failed (SyntaxError or Import Error),,,,508,8192,8700,123017,0,0,0,0,0
4ca7c499-507b-4baf-b01f-decc0bc140c8,2026-02-23T16:21:20.990332+00:00,qwen3-8b,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.56,5.0,3.0,5.0,13.67,5.0,3571.0,1.0,47.0,47.56,17.0,4.56,94.56,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfIntegers\qwen3_8b\gen_code\temp_gen_cc01ad86.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 12.07s | Tokens: In=1717, Out=810 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:1",,,,1717,810,2527,12073,1,1,0,0,0
38770f40-1f8a-4649-8471-4f57d642796f,2026-02-23T16:21:35.096934+00:00,qwen3-8b,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.67,5.0,3.0,5.0,14.0,5.0,3571.0,1.0,47.0,47.67,17.0,4.67,94.67,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfIntegers\qwen3_8b\gen_code\temp_gen_c77073c7.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 11.64s | Tokens: In=1717, Out=810 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:2",,,,1717,810,2527,11637,1,1,0,0,0
82e620b8-1890-4eb6-92b4-f5073acd6c97,2026-02-23T16:21:49.197413+00:00,qwen3-8b,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.44,5.0,3.0,5.0,13.33,5.0,3571.0,1.0,47.0,47.44,17.0,4.44,94.44,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfIntegers\qwen3_8b\gen_code\temp_gen_ec6adc7b.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 11.68s | Tokens: In=1717, Out=810 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:3",,,,1717,810,2527,11676,1,1,0,0,0
4d88ac36-f7b5-48ac-be45-862871778dcb,2026-02-23T16:22:03.353466+00:00,qwen3-8b,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.44,5.0,3.0,5.0,13.33,5.0,3571.0,1.0,47.0,47.44,17.0,4.44,94.44,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfIntegers\qwen3_8b\gen_code\temp_gen_0791b0db.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 11.68s | Tokens: In=1717, Out=810 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:4",,,,1717,810,2527,11683,1,1,0,0,0
13dd51a3-35d0-488d-b880-4b1030cd1373,2026-02-23T16:22:17.379522+00:00,qwen3-8b,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.11,5.0,3.0,5.0,12.33,5.0,3571.0,1.0,47.0,47.11,17.0,4.11,94.11,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfIntegers\qwen3_8b\gen_code\temp_gen_a2c52da3.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 11.64s | Tokens: In=1717, Out=810 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:5",,,,1717,810,2527,11645,1,1,0,0,0
