item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
66628021-7a1f-4839-bf12-5b004e4ca436,40c4e1b3-bdea-4fcc-8787-1650f12e2414,1,計算 $$[(21 \times 3) + 0] \div 9 + |4 \times 10 - 6|$$ 的值。,,41,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.45,5,3,5,2.2,41.45,0.0,0.0,True,15,6.25,11,5,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
32b97aeb-5434-407e-903b-2ad8e3373583,40c4e1b3-bdea-4fcc-8787-1650f12e2414,2,計算 $$[(11 \times 3) + 9] \div 7 + |2 \times (-3) - 17|$$ 的值。,,29,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.85,5,3,5,2.6,41.85,0.0,0.0,True,15,6.25,13,5,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
6a0d5c49-b904-4d8f-adfa-ebe9cf0fd7e5,40c4e1b3-bdea-4fcc-8787-1650f12e2414,3,計算 $$[((-10) \times 2) + (-8)] \div 4 + |(-10) \times (-9) - 8|$$ 的值。,,75,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.45,5,3,5,3.2,42.45,0.0,0.0,True,15,6.25,16,5,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
8fb236d3-2c22-4b09-bfae-f7296ec6e9ca,8d99a7f5-f953-4e36-8a84-af23321978bb,1,計算 $$[(8 \times 4) + (-12)] \div 5 + |(-2) \times (-9) - 10|$$ 的值。,,12,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
fc7a0646-681f-4dc0-a117-e8aa8ccb0dfb,8d99a7f5-f953-4e36-8a84-af23321978bb,2,計算 $$[((-1) \times 5) + 11] \div 2 + |14 \times (-10) - 17|$$ 的值。,,160,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
df7055de-118a-4f85-a757-d866c019b4e0,8d99a7f5-f953-4e36-8a84-af23321978bb,3,計算 $$[(4 \times 4) + 2] \div 2 + |1 \times 5 - 9|$$ 的值。,,13,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.65,5,3,5,2.4,41.65,0.0,0.0,True,15,6.25,12,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
e40006dc-c01a-4fa7-aa39-6c41f3d49110,df5524f2-2aea-4d5a-8a09-ef4a7e090b21,1,計算 $$[((-20) \times 3) + (-12)] \div 8 + |(-2) \times (-10) - 8|$$ 的值。,,3,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.45,5,3,5,3.2,42.45,0.0,0.0,True,15,6.25,16,5,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
8e99296d-2e50-4ece-87ab-f2e44bba0dda,df5524f2-2aea-4d5a-8a09-ef4a7e090b21,2,計算 $$[((-2) \times 4) + (-12)] \div 10 + |3 \times 1 - 12|$$ 的值。,,7,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
3d46c3a8-43a1-4e37-8214-5e9ed8f67f9c,df5524f2-2aea-4d5a-8a09-ef4a7e090b21,3,計算 $$[(7 \times 3) + 12] \div 3 + |9 \times (-3) - 18|$$ 的值。,,56,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.85,5,3,5,2.6,41.85,0.0,0.0,True,15,6.25,13,5,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
ed1d1562-19d3-48f4-ae58-da3f07cc96fd,1215bf33-7ced-4098-a478-5a1dd8792715,1,計算 $$[(30 \times 4) + (-3)] \div 13 - |4 \times (-6) - 2 + (-3)| + (15 \times 2 - 2)$$ 的值。,,8,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.9,5,3,5,3.4,43.9,0.0,0.0,True,15,7.5,17,6,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
2ea8203f-297a-48b5-9362-457160fd5ec8,1215bf33-7ced-4098-a478-5a1dd8792715,2,計算 $$[((-12) \times 4) + (-18)] \div 11 - |15 \times (-4) - 10 + 1| + (12 \times 5 - 6)$$ 的值。,,-21,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.1,5,3,5,3.6,44.1,0.0,0.0,True,15,7.5,18,6,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
