item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
1b6eab4a-0431-4613-a607-cbdde451a35a,b0f17a3c-ee9f-4980-92d9-06053b26ac05,1,計算 $$[((-7) \times 5) + 14] \div 3 + |15 \times (-7) - 20|$$ 的值。,,118,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
52f9a76d-f472-4915-a15f-883c2b29bf6f,b0f17a3c-ee9f-4980-92d9-06053b26ac05,2,計算 $$[((-6) \times 4) + 6] \div 6 + |(-2) \times (-4) - 9|$$ 的值。,,-2,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
845b69ae-b36a-4446-b60b-af5357be8806,b0f17a3c-ee9f-4980-92d9-06053b26ac05,3,計算 $$[((-7) \times 5) + 21] \div 7 + |6 \times 3 - 16|$$ 的值。,,0,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.85,5,3,5,2.6,41.85,0.0,0.0,True,15,6.25,13,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
5fa664da-f794-4121-a834-8011901a7d03,c10df831-04df-481a-b519-f72ee2fcd6d2,1,計算 $$[((-2) \times 5) + (-17)] \div 3 + |1 \times 2 - 4|$$ 的值。,,-7,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
85a66903-275d-4ed5-ab2a-8945f255de54,c10df831-04df-481a-b519-f72ee2fcd6d2,2,計算 $$[(8 \times 4) + (-5)] \div 3 + |2 \times 4 - 20|$$ 的值。,,21,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.85,5,3,5,2.6,41.85,0.0,0.0,True,15,6.25,13,5,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
57d605b0-5435-41e5-af05-1cc356bd9a9f,c10df831-04df-481a-b519-f72ee2fcd6d2,3,計算 $$[((-2) \times 5) + (-20)] \div 6 + |4 \times (-7) - 4|$$ 的值。,,27,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
ecd4c526-9ffb-42c9-8b1e-85e71231bfb9,af0b3405-a2b1-4acd-8286-0ac57d77ed99,1,計算 $$[((-23) \times 2) + (-3)] \div 7 + |11 \times (-2) - 18|$$ 的值。,,33,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
5a505361-3a1e-4bb4-9f3d-da7acf33a299,af0b3405-a2b1-4acd-8286-0ac57d77ed99,2,計算 $$[((-37) \times 3) + (-9)] \div 8 + |(-6) \times (-4) - 17|$$ 的值。,,-8,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.45,5,3,5,3.2,42.45,0.0,0.0,True,15,6.25,16,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
c6b385bf-24b1-4dee-a3e5-2c5d40cf113f,af0b3405-a2b1-4acd-8286-0ac57d77ed99,3,計算 $$[(12 \times 2) + 6] \div 6 + |3 \times 10 - 15|$$ 的值。,,20,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.65,5,3,5,2.4,41.65,0.0,0.0,True,15,6.25,12,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
5b6dcf7f-fedc-4f6c-94fd-b55f68bfd1d7,22aa7d67-0ec1-4630-811b-9e4912777b31,1,計算 $$[(1 \times 4) + (-14)] \div 10 - |3 \times (-6) - 12 + 7| + (11 \times 2 - 10)$$ 的值。,,-12,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.7,5,3,5,3.2,43.7,0.0,0.0,True,15,7.5,16,6,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
d67d4f5b-ddcb-4826-843f-d5f4ffb9618d,22aa7d67-0ec1-4630-811b-9e4912777b31,2,計算 $$[(7 \times 4) + 20] \div 4 - |(-4) \times 1 - 1 + 9| + ((-7) \times 4 - 7)$$ 的值。,,-27,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.7,5,3,5,3.2,43.7,0.0,0.0,True,15,7.5,16,6,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
ecedc96f-0b05-4e46-8f71-319979dee19d,22aa7d67-0ec1-4630-811b-9e4912777b31,3,計算 $$[(10 \times 5) + 5] \div 5 - |14 \times (-9) - 6 + 2| + (8 \times 3 - 8)$$ 的值。,,-103,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.5,5,3,5,3.0,43.5,0.0,0.0,True,15,7.5,15,6,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
4187a370-2b4b-41bc-b5f4-d2310ef2efbf,67199fff-b4b0-4338-831a-f7671bf15a8d,1,計算 $$[((-9) \times 3) + (-11)] \div 19 - |1 \times 9 - 17| + ((-13) \times 3 - 6)$$ 的值。,,-55,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.1,5,3,5,3.6,44.1,0.0,0.0,True,15,7.5,18,6,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
0cbe89ba-9e60-4137-8bdf-6cf235c66a58,67199fff-b4b0-4338-831a-f7671bf15a8d,2,計算 $$[(63 \times 3) + 3] \div 16 - |(-9) \times 2 - 6| + (4 \times 2 - 10)$$ 的值。,,-14,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.5,5,3,5,3.0,43.5,0.0,0.0,True,15,7.5,15,6,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
6099cba7-34d3-46bb-9252-1f526bf88888,67199fff-b4b0-4338-831a-f7671bf15a8d,3,計算 $$[(41 \times 4) + 16] \div 20 - |3 \times 10 - 1| + ((-2) \times 3 - 1)$$ 的值。,,-27,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.5,5,3,5,3.0,43.5,0.0,0.0,True,15,7.5,15,6,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
7bd75398-e159-44e2-9b87-edb29224f127,886ff216-6dbd-4a50-a5ad-faac6d2cea5b,1,計算 $$[((-40) \times 5) + 5] \div 13 - |(-5) \times (-10) - 7 + 2| + (16 \times 5 - 8)$$ 的值。,,12,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.9,5,3,5,3.4,43.9,0.0,0.0,True,15,7.5,17,6,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
918858b9-9a31-4347-8396-98a7a2f120bb,886ff216-6dbd-4a50-a5ad-faac6d2cea5b,2,計算 $$[(1 \times 3) + (-8)] \div 5 - |(-3) \times (-8) - 5 + (-3)| + ((-9) \times 2 - 1)$$ 的值。,,-36,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.5,5,3,5,4.0,44.5,0.0,0.0,True,15,7.5,20,6,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
48ff321b-41e9-493a-add7-378ae02ce091,886ff216-6dbd-4a50-a5ad-faac6d2cea5b,3,計算 $$[((-42) \times 4) + (-14)] \div 14 - |4 \times 7 - 6 + (-6)| + ((-10) \times 5 - 1)$$ 的值。,,-80,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.3,5,3,5,3.8,44.3,0.0,0.0,True,15,7.5,19,6,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
483e689b-7a3c-4006-bf37-fd21b7bda15a,f9c99693-8209-4eb5-86ee-db22bd14ab41,1,計算 $$- [((-13) \times 2) + 8] \div 6 + |(-10) \times 6 - 12 + (-8)| - ((-13) \times 3 - 6) + 4$$ 的值。,,132,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.05,5,3,5,3.8,43.05,0.0,0.0,True,15,6.25,19,5,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
