item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
8490f885-1e2e-4abf-bca5-9d7019935b14,837c017e-ba43-4acb-9d34-b8f2c438ba9f,1,計算 $$[(17 \times 3) + (-15)] \div 4 + |(-5) \times (-2) - 3|$$ 的值。,,16,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
dea16d61-c178-4332-bc94-0e5f7cd350b6,837c017e-ba43-4acb-9d34-b8f2c438ba9f,2,計算 $$[((-17) \times 5) + 7] \div 6 + |(-2) \times 2 - 9|$$ 的值。,,0,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
5f34c639-0f63-4126-b91b-8c940efc3b32,837c017e-ba43-4acb-9d34-b8f2c438ba9f,3,計算 $$[(1 \times 4) + (-19)] \div 5 + |(-5) \times 9 - 4|$$ 的值。,,46,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
401fdeed-b958-4e3b-b079-929b31c20438,d0619f51-1176-4404-8db2-544042038daa,1,計算 $$[((-7) \times 4) + 14] \div 7 + |(-7) \times (-9) - 7|$$ 的值。,,54,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
319f8ade-5b7b-407e-9743-2a280e9a512c,d0619f51-1176-4404-8db2-544042038daa,2,計算 $$[(8 \times 4) + 23] \div 5 + |1 \times (-1) - 16|$$ 的值。,,28,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.65,5,3,5,2.4,41.65,0.0,0.0,True,15,6.25,12,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
99ca90f6-84cb-4758-9dea-15d209700233,d0619f51-1176-4404-8db2-544042038daa,3,計算 $$[((-8) \times 3) + 15] \div 9 + |4 \times (-4) - 17|$$ 的值。,,32,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
bf0dbb25-2166-4818-a540-9d5dbad40c59,22ee63e5-e1e6-46c6-a1c5-4cc0709bfa9b,1,計算 $$[(3 \times 5) + (-25)] \div 2 + |(-6) \times (-1) - 12|$$ 的值。,,1,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
3affe787-f91f-4a43-97d3-fc9a7d05a196,22ee63e5-e1e6-46c6-a1c5-4cc0709bfa9b,2,計算 $$[(8 \times 4) + (-16)] \div 2 + |(-10) \times (-4) - 8|$$ 的值。,,40,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
081547dc-2aba-48b9-b915-dd0d4473b0b2,22ee63e5-e1e6-46c6-a1c5-4cc0709bfa9b,3,計算 $$[(21 \times 5) + (-25)] \div 10 + |(-2) \times 6 - 4|$$ 的值。,,24,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
b08fe128-2111-495c-87ea-d9427b94dcb7,209bf294-f0c7-4a04-b431-fcb4228a7039,1,計算 $$[((-26) \times 5) + (-13)] \div 13 - |(-3) \times 10 - 7 + (-9)| + ((-5) \times 3 - 7)$$ 的值。,,-79,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.5,5,3,5,4.0,44.5,0.0,0.0,True,15,7.5,20,6,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
4086dc89-696c-429d-9744-0b1911c9cbc7,209bf294-f0c7-4a04-b431-fcb4228a7039,2,計算 $$[(3 \times 5) + (-17)] \div 2 - |(-3) \times (-8) - 9 + 10| + (2 \times 3 - 4)$$ 的值。,,-24,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.9,5,3,5,3.4,43.9,0.0,0.0,True,15,7.5,17,6,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
