item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
db66c8d7-a1a5-4a47-9004-f84616446152,b56edcc2-8504-4be0-b1c9-0ba7b711bd81,1,[(4+-5)×2/1]÷(2/5) + |3×(5/2) - -3|,,11/2,PASS,,1,7.5,7.5,20.0,10.0,10.0,10.33,5,3,0,2.33,30.33,0.0,0.0,True,0,0.0,7,0,345,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
9f537101-80e1-4bf3-8a69-47cc68fd9c5b,b56edcc2-8504-4be0-b1c9-0ba7b711bd81,2,[(-4+-1)×3/5]÷(2/2) + |1×(3/2) - 1|,,-13/10,PASS,,1,7.5,7.5,13.0,10.0,3.0,10.67,5,3,0,2.67,23.67,0.0,0.0,False,0,0.0,8,0,345,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
7a140cc8-5062-4e60-be45-70c45189c3e0,b56edcc2-8504-4be0-b1c9-0ba7b711bd81,3,[(-1+-3)×1/2]÷(-4/4) + |-1×(2/2) - 1|,,4,PASS,,1,7.5,7.5,20.0,10.0,10.0,10.67,5,3,0,2.67,30.67,0.0,0.0,True,0,0.0,8,0,345,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
9a434a9d-2652-4748-bd46-88153471d254,a2950a63-2a0a-46c6-9c81-8dd3d92a78a2,1,[(1+2)×1/3]÷(1/9) + |0×(7/2)-1|,,10,PASS,,1,7.5,7.5,20.0,10.0,10.0,10.33,5,3,1,1.33,30.33,0.0,0.0,True,5,0.0,4,0,407,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
fdced772-7258-42de-84dd-9b7b9d50f2c0,a2950a63-2a0a-46c6-9c81-8dd3d92a78a2,2,[(-3+-1)×6/10]÷(6/4) + |-2×(3/4)-5|,,49/10,PASS,,1,7.5,7.5,20.0,10.0,10.0,10.67,5,3,0,2.67,30.67,0.0,0.0,True,0,0.0,8,0,407,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
9fd150e3-4839-4dd2-962d-9be5686dccf7,a2950a63-2a0a-46c6-9c81-8dd3d92a78a2,3,[(-1+2)×3/3]÷(1/6) + |3×(2/1)-4|,,8,PASS,,1,7.5,7.5,20.0,10.0,10.0,10.67,5,3,1,1.67,30.67,0.0,0.0,True,5,0.0,5,0,407,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
66a4e9a8-85ec-4d01-b3da-a7e159cbe706,2a220a4c-8bc2-4788-8177-07d6ea3f2d4b,1,[(4 - 3) × 3/5] ÷ -9/9 + |5 × (-1/4) - 8|,,None,PASS,,1,7.5,7.5,8.17,6.67,1.5,11.67,5,3,1,2.67,19.83,0.0,0.0,False,5,0.0,8,0,389,0,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.04
db7e225c-cc5c-4d03-a141-02a9a189ffc1,2a220a4c-8bc2-4788-8177-07d6ea3f2d4b,2,[(9 × 2) × 2/10] ÷ -1/8 + |9 × (-4/4) - 5|,,None,PASS,,1,7.5,7.5,8.17,6.67,1.5,11.33,5,3,1,2.33,19.5,0.0,0.0,False,5,0.0,7,0,389,0,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.03
503e3fc1-de96-4898-bba8-55876ed9173d,2a220a4c-8bc2-4788-8177-07d6ea3f2d4b,3,[(8 × 8) × 10/1] ÷ 2/3 + |5 ÷ (-10/2) - 7|,,None,PASS,,1,7.5,7.5,8.17,6.67,1.5,11.0,5,3,1,2.0,19.17,0.0,0.0,False,5,0.0,6,0,389,0,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.03
a53284a9-7810-4ba6-8649-60969968b5f5,7c607522-b066-4ed5-ba2a-afff992ed85b,1,[(-1+1)×2/1]÷-1/5 + |4×3/5-2|,,2/5,PASS,,1,7.5,7.5,20.0,10.0,10.0,11.33,5,3,1,2.33,31.33,0.0,0.0,True,5,0.0,7,0,349,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
