run_id,timestamp,model_name,skill_name,ablation_id,sample_index,code_commit_hash,python_version,mcri_version,model_temperature,repetitions_planned,repetitions_completed,fail_count,pass_rate,avg_exec_time,score_l1_total,score_l1_1_syntax,score_l1_2_runtime,score_l2_total,score_l2_1_contract,score_l2_2_purity,avg_l3_total,avg_l3_1_internal,avg_l3_2_external,avg_l4_total,avg_l4_1_numeric,avg_l4_2_visual,avg_l4_3_artifacts,avg_complexity_math_ops,avg_complexity_inference_steps,avg_complexity_ast_nodes,avg_complexity_loop_depth,score_program_total,score_math_total,score_l5_architecture,avg_l4_4_mqi,avg_mcri_total,source_code_path,notes,batch_id,golden_prompt_path,prompt_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms,healer_applied,healer_fix_count,healer_fixes_basic,healer_fixes_regex,healer_fixes_ast
c027f595-f416-44e6-8452-8e4d473ef56f,2026-02-22T17:35:39.506719+00:00,gemini-3-flash,jh_數學1上_FourArithmeticOperationsOfNumbers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,14.83,10.0,4.83,10.89,5.0,3.0,1.0,5.67,0.0,384.0,0.0,37.5,25.72,9.5,1.89,63.22,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfNumbers\gen_code\temp_gen_e6423ae2.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 38.07s | Tokens: In=471, Out=507 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:1",,,,471,507,6891,38066,0,0,0,0,0
05a06dbe-5ebe-41b3-a029-1adb00a44cd7,2026-02-22T17:40:37.891176+00:00,gemini-3-flash,jh_數學1上_FourArithmeticOperationsOfNumbers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,17.17,10.0,7.17,11.67,5.0,3.0,1.0,8.0,0.0,504.0,0.0,39.0,28.83,11.0,2.67,67.83,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfNumbers\gen_code\temp_gen_799bf0a6.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 295.99s | Tokens: In=471, Out=629 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:2",,,,471,629,64012,295991,0,0,0,0,0
27a0faaa-e82a-4480-ac0d-d596c98dffb3,2026-02-22T17:46:35.251035+00:00,gemini-3-flash,jh_數學1上_FourArithmeticOperationsOfNumbers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,18.5,10.0,8.5,11.33,5.0,3.0,1.0,7.0,0.0,571.0,1.0,40.0,29.83,12.0,2.33,69.83,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfNumbers\gen_code\temp_gen_df85dc3a.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 49.92s | Tokens: In=471, Out=727 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:3",,,,471,727,9414,49924,0,0,0,0,0
bf26ec78-0287-4940-84dc-945ec7a12b99,2026-02-22T17:52:12.047858+00:00,gemini-3-flash,jh_數學1上_FourArithmeticOperationsOfNumbers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,16.67,10.0,6.67,10.22,5.0,3.0,1.0,3.67,0.0,746.0,0.0,37.5,26.89,9.5,1.22,64.39,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfNumbers\gen_code\temp_gen_7dbf5e2d.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 29.36s | Tokens: In=471, Out=1048 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:4",,,,471,1048,5540,29363,0,0,0,0,0
73fe23ca-54f8-418c-80e0-28512f3bc16d,2026-02-22T18:02:16.936850+00:00,gemini-3-flash,jh_數學1上_FourArithmeticOperationsOfNumbers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,19.0,10.0,9.0,11.56,5.0,3.0,1.0,7.67,0.0,359.0,1.0,38.5,30.56,10.5,2.56,69.06,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfNumbers\gen_code\temp_gen_c03c2c28.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 297.50s | Tokens: In=471, Out=490 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:5",,,,471,490,63871,297496,0,0,0,0,0
b0fb4571-52d4-4f41-be84-60203c74b4eb,2026-02-22T18:02:25.372100+00:00,gemini-3-flash,jh_數學1上_FourArithmeticOperationsOfNumbers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.33,10.0,8.33,29.0,5.0,4.0,5.0,32.67,9.67,3843.0,1.0,47.0,47.33,17.0,5.0,94.33,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfNumbers\gen_code\temp_gen_1a68b3fc.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 6.10s | Tokens: In=2598, Out=964 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:1",,,,2598,964,3562,6097,1,1,0,0,0
21782995-8fb4-4735-8a95-93a9968cb901,2026-02-22T18:02:33.661804+00:00,gemini-3-flash,jh_數學1上_FourArithmeticOperationsOfNumbers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.33,10.0,8.33,29.0,5.0,4.0,5.0,31.67,9.33,3843.0,1.0,47.0,47.33,17.0,5.0,94.33,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfNumbers\gen_code\temp_gen_58022ac9.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 5.90s | Tokens: In=2598, Out=960 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:2",,,,2598,960,3558,5900,1,1,0,0,0
4c0352da-1912-4ffc-aee2-0c9b82d6e3d6,2026-02-22T18:02:42.263895+00:00,gemini-3-flash,jh_數學1上_FourArithmeticOperationsOfNumbers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,19.0,10.0,9.0,29.0,5.0,4.0,5.0,32.0,9.67,3843.0,1.0,47.0,48.0,17.0,5.0,95.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfNumbers\gen_code\temp_gen_106cb84e.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 6.18s | Tokens: In=2598, Out=960 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:3",,,,2598,960,3558,6177,1,1,0,0,0
9adaa70c-f76b-4fcf-97d7-4b73a74f54c9,2026-02-22T18:02:50.290594+00:00,gemini-3-flash,jh_數學1上_FourArithmeticOperationsOfNumbers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,31.0,9.33,3803.0,1.0,47.0,47.0,17.0,5.0,94.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfNumbers\gen_code\temp_gen_99183b5e.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 5.63s | Tokens: In=2598, Out=891 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:4",,,,2598,891,3489,5628,1,1,0,0,0
fa25bd65-c551-4a33-b1e8-ca259c51b3a7,2026-02-22T18:02:58.276469+00:00,gemini-3-flash,jh_數學1上_FourArithmeticOperationsOfNumbers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.67,10.0,8.67,29.0,5.0,4.0,5.0,30.67,9.0,3803.0,1.0,47.0,47.67,17.0,5.0,94.67,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學1上_FourArithmeticOperationsOfNumbers\gen_code\temp_gen_0a245a4b.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 5.55s | Tokens: In=2598, Out=891 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:5",,,,2598,891,3489,5554,1,1,0,0,0
