item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
5faf9f45-1c00-43cc-b709-5ca731879651,63594680-44ae-4092-9e25-cdc59f4aa245,1,[(0 + 10) × 5] ÷ 8/9 + |-5/3 × 1 - -1/3|,,691/12,PASS,,1,7.5,7.5,13.0,10.0,3.0,10.33,5,3,0,2.33,23.33,0.0,0.0,False,0,0.0,7,0,348,1,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.04
128bf5c1-4395-4a12-baf0-d6bf3a717732,63594680-44ae-4092-9e25-cdc59f4aa245,2,[(5/4 + 3/7) × -2] ÷ 3 + |1/4 × 2/3 - -7/5|,,47/105,PASS,,1,7.5,7.5,18.5,10.0,8.5,10.33,5,3,0,2.33,28.83,0.0,0.0,True,0,0.0,7,0,348,1,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.04
c73ee062-e8a7-42ba-bb46-f82aef8c6817,63594680-44ae-4092-9e25-cdc59f4aa245,3,[(-1/8 + 3/2) × 9] ÷ -7/3 + |-9/2 × 7/5 - 5/4|,,629/280,PASS,,1,7.5,7.5,13.0,10.0,3.0,11.67,5,3,1,2.67,24.67,0.0,0.0,False,5,0.0,8,0,348,1,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.04
eca3b0ea-c20f-4ed9-8b87-436834a39e87,1a8aeb9e-a9f5-4674-9b3d-3b2f54aaac30,1,,,,ERROR,ValueError: Division by zero,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
eb97deab-ddec-4317-9dfc-32fac1b0d7ed,1a8aeb9e-a9f5-4674-9b3d-3b2f54aaac30,2,計算 `(8/6+-1/3)×-2/3÷(3/4) + |2/7×6/5-6/2|` 的值。,,557/315,PASS,,1,7.5,7.5,18.5,10.0,8.5,10.33,5,3,0,2.33,28.83,0.0,0.0,True,0,0.0,7,0,797,1,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.01
b08800a5-5232-49f3-a992-abc0a9098aae,1a8aeb9e-a9f5-4674-9b3d-3b2f54aaac30,3,計算 `(-9/5+2/6)×3÷(-6/2) + |-2/2×-3/10-3/10|` 的值。,,22/15,PASS,,1,7.5,7.5,18.5,10.0,8.5,12.0,5,3,1,3.0,30.5,0.0,0.0,True,5,0.0,9,0,797,1,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.02
b35f4598-b957-4690-b439-29bc88c9f889,294cbfac-71f3-4e45-ae93-1a370dd074c4,1,計算 $(10/2-4/10)×10/2-4/10 + |10/2+10/2|$ 的值,,無解,PASS,,1,7.5,7.5,8.17,6.67,1.5,11.0,5,3,1,2.0,19.17,0.0,0.0,False,5,0.0,6,0,334,1,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.08
7d925b15-3259-4071-acf1-9041f2dcd5a2,294cbfac-71f3-4e45-ae93-1a370dd074c4,2,計算 $(3/9÷8/10)+3/9×3/9 + |3/9-3/9|$ 的值,,無解,PASS,,1,7.5,7.5,8.17,6.67,1.5,10.67,5,3,1,1.67,18.83,0.0,0.0,False,5,0.0,5,0,334,1,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.05
526dc463-76f1-498d-947d-325681aba0bc,294cbfac-71f3-4e45-ae93-1a370dd074c4,3,計算 $(9/7÷9/7)÷-8/6+-8/6 + |9/7--8/6|$ 的值,,無解,PASS,,1,7.5,7.5,8.17,6.67,1.5,10.67,5,3,0,2.67,18.83,0.0,0.0,False,0,0.0,8,0,334,1,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.05
230f532b-5892-444f-934d-7c948dbbe2bb,76c68dcb-d294-49c6-b87c-6e986f182851,1,計算 $(-7/4÷-2/8)÷1/10 + |1/10-6/3|$ 的值,,錯誤,PASS,,1,7.5,7.5,8.17,6.67,1.5,11.33,5,3,1,2.33,19.5,0.0,0.0,False,5,0.0,7,0,338,1,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.07
48484f77-b024-4064-859d-02c9c6f3a64e,76c68dcb-d294-49c6-b87c-6e986f182851,2,計算 $(8/9+8/9)÷-3/2 + |-3/2+-6/8|$ 的值,,錯誤,PASS,,1,7.5,7.5,8.17,6.67,1.5,10.33,5,3,0,2.33,18.5,0.0,0.0,False,0,0.0,7,0,338,1,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.05
9d4e7a60-489e-421d-9758-e21c0faedda5,76c68dcb-d294-49c6-b87c-6e986f182851,3,計算 $(5/7+-2/5)÷-1/8 + |7/9×-1/8|$ 的值,,錯誤,PASS,,1,7.5,7.5,8.17,6.67,1.5,10.33,5,3,0,2.33,18.5,0.0,0.0,False,0,0.0,7,0,338,1,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.05
88f2eb10-6a8f-41ca-b72a-bec7478c0b0a,712426f6-6ff0-42d0-a40b-00e218400c2f,1,計算 $$   \left[(2+1) \times \frac{1}{4}\right] \div \left(-1\frac{1}{2}\right) + \left|-3 \times -1 - 2\right|   $$ 的值。,,1/2,PASS,,1,7.5,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,30,9,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
059a225a-6d94-4f9c-980d-c29515dfb2e6,712426f6-6ff0-42d0-a40b-00e218400c2f,2,計算 $$   \left[(0+5) \times \frac{4}{5}\right] \div \left(-\frac{1}{2}\right) + \left|0 \times -2\frac{1}{2} - 6\right|   $$ 的值。,,-2,PASS,,1,7.5,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,30,9,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
20979d79-149c-463d-b16b-c64c956826c1,712426f6-6ff0-42d0-a40b-00e218400c2f,3,計算 $$   \left[(-5+5) \times 1\frac{1}{3}\right] \div \left(-\frac{3}{5}\right) + \left|-1 \times -1 - 4\right|   $$ 的值。,,3,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.0,5,4,5,5.0,47.0,0.0,0.0,True,15,8.0,22,4,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
b76a54db-6714-43c9-93ef-fea16b4002fe,f90ead7e-e4ca-40df-ac34-89ebbdb92b6e,1,計算 $$   \left[(1+4) \times 1\frac{1}{4}\right] \div \left(-1\frac{1}{2}\right) + \left|-2 \times -\frac{1}{2} - 4\right|   $$ 的值。,,-7/6,PASS,,1,7.5,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,34,10,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
dc9709f3-7ba7-47f1-9b48-6e6df69a7365,f90ead7e-e4ca-40df-ac34-89ebbdb92b6e,2,計算 $$   \left[(1+5) \times 1\right] \div \left(-1\right) + \left|-1 \times -1\frac{2}{3} - 3\right|   $$ 的值。,,-14/3,PASS,,1,7.5,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,27,9,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
a2bd34cd-d8c8-4638-acc2-a69b149f665c,f90ead7e-e4ca-40df-ac34-89ebbdb92b6e,3,計算 $$   \left[(-3+1) \times 1\right] \div \left(-1\frac{1}{2}\right) + \left|-3 \times -1 - 4\right|   $$ 的值。,,7/3,PASS,,1,7.5,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,28,8,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
13c03762-c8ae-4e24-ac0f-e0153827f808,de11d71d-8715-4114-b26a-cf941d9085d7,1,計算 $$   \left[(1+3) \times 2\right] \div \left(-3\right) + \left|1 \times -2\frac{1}{2} - 2\right|   $$ 的值。,,11/6,PASS,,1,7.5,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,25,9,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
