run_id,timestamp,model_name,skill_name,ablation_id,sample_index,code_commit_hash,python_version,mcri_version,model_temperature,repetitions_planned,repetitions_completed,fail_count,pass_rate,avg_exec_time,score_l1_total,score_l1_1_syntax,score_l1_2_runtime,score_l2_total,score_l2_1_contract,score_l2_2_purity,avg_l3_total,avg_l3_1_internal,avg_l3_2_external,avg_l4_total,avg_l4_1_numeric,avg_l4_2_visual,avg_l4_3_artifacts,avg_complexity_math_ops,avg_complexity_inference_steps,avg_complexity_ast_nodes,avg_complexity_loop_depth,score_program_total,score_math_total,score_l5_architecture,avg_l4_4_mqi,avg_mcri_total,source_code_path,notes,batch_id,golden_prompt_path,prompt_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms,healer_applied,healer_fix_count,healer_fixes_basic,healer_fixes_regex,healer_fixes_ast
51025d44-5241-400a-ae30-058738e77fae,2026-02-19T11:33:10.917142,unknown,jh_數學1上_FourArithmeticOperationsOfNumbers,1,0,,,,0,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Exception: AI request timed out after 180 seconds,,,,0,0,0,0,0,0,0,0,0
457d4d63-5079-4be8-976a-1f6f02df0aa0,2026-02-19T03:34:47.378163+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfNumbers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,18.5,10.0,8.5,11.11,5.0,3.0,0.33,8.33,0.0,370.0,0.0,37.5,29.61,9.5,2.78,67.11,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_e72bfe7f.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 93.90s | Tokens: In=514, Out=5998 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:2",,,,514,5998,6512,93900,0,0,0,0,0
4310a477-feff-44b1-97d3-aeefdb854fb1,2026-02-19T03:40:38.390499+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfNumbers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,19.5,10.0,9.5,10.33,5.0,3.0,0.33,6.0,0.0,341.0,0.0,39.0,29.83,11.0,2.0,68.83,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_ffa3a013.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 163.10s | Tokens: In=514, Out=5410 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:3",,,,514,5410,5924,163100,0,0,0,0,0
7bf5591a-47f6-4384-8b28-8d544898bf38,2026-02-19T03:49:49.995556+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfNumbers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,17.67,10.0,7.67,10.89,5.0,3.0,0.33,7.67,0.0,352.0,0.0,39.0,28.55,11.0,2.55,67.55,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_3fd410c3.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 178.55s | Tokens: In=514, Out=6510 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:4",,,,514,6510,7024,178550,0,0,0,0,0
d4dad6a3-5db7-41d9-a52e-a6b2d669fc51,2026-02-19T03:59:00.865772+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfNumbers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,17.17,10.0,7.17,10.89,5.0,3.0,0.67,6.67,0.0,390.0,0.0,39.0,28.05,11.0,2.22,67.05,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_42c83f83.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 177.56s | Tokens: In=514, Out=4080 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:5",,,,514,4080,4594,177560,0,0,0,0,0
755a1755-396d-41b4-94ec-fc001317ae15,2026-02-19T04:01:57.138407+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfNumbers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,29.0,5.0,4.0,5.0,29.0,8.0,3725.0,1.0,47.0,49.0,17.0,5.0,96.0,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_e6b855e6.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 172.96s | Tokens: In=2600, Out=1130 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:1",,,,2600,1130,3730,172960,1,1,0,0,0
81e1fc78-6ac5-4423-adca-fd6d2b208f18,2026-02-19T04:02:58.479818+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfNumbers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,29.0,5.0,4.0,5.0,30.33,9.0,3725.0,1.0,47.0,49.0,17.0,5.0,96.0,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_f125c932.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 58.21s | Tokens: In=2600, Out=1346 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:2",,,,2600,1346,3946,58210,1,1,0,0,0
b88938a5-6915-4c7a-911a-bf90f9e05d0a,2026-02-19T04:04:14.692044+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfNumbers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,29.0,5.0,4.0,5.0,29.67,9.0,3725.0,1.0,47.0,49.0,17.0,5.0,96.0,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_54f17edd.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 73.19s | Tokens: In=2600, Out=1228 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:3",,,,2600,1228,3828,73190,1,1,0,0,0
6b2ed71d-8f43-482f-9606-f91b5cd218cd,2026-02-19T04:06:14.953793+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfNumbers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,29.0,5.0,4.0,5.0,29.67,8.0,3725.0,1.0,47.0,49.0,17.0,5.0,96.0,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_55b2b25c.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 117.18s | Tokens: In=2600, Out=1135 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:4",,,,2600,1135,3735,117180,1,1,0,0,0
ecd275cf-f355-4652-9430-c65e9bad0bd6,2026-02-19T04:07:10.393789+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfNumbers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.67,5.0,4.0,5.0,25.33,6.0,3725.0,1.0,47.0,47.67,17.0,5.0,94.67,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_b854610c.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 52.34s | Tokens: In=2600, Out=1328 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:5",,,,2600,1328,3928,52340,1,1,0,0,0
