summary_id,skill_name,ablation_id,model_name,sample_count,total_runs,mean_mcri_total,std_mcri_total,ci95_lower,ci95_upper,mean_l3_external,mean_l4_numeric,mean_program_total,mean_math_total,mean_l5_architecture,mean_l4_mqi,p_value_vs_ab1,notes
8bffce2b-a031-444b-92bf-51bb83143bf6,gh_ApplicationsOfDerivatives,1,qwen3-14b-nothink,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-
68f75a17-5f72-4c9d-947b-11d897d21b20,gh_ApplicationsOfDerivatives,2,qwen3-14b-nothink,1,3,35.0,0.0,35.0,35.0,0.0,0.0,35.0,0.0,20.0,0.0,nan,Ab2 vs Ab1: p=nan (無顯著差異)
52364dec-dfaf-4366-a576-301da55af49b,gh_ApplicationsOfDerivatives,3,qwen3-14b-nothink,3,6,23.33,20.21,-26.86,73.53,0.0,0.0,23.33,0.0,13.33,0.0,0.42265,Ab3 vs Ab1: p=0.423 (無顯著差異)
502e430f-49b2-4f02-8f65-6f32822cc163,jh_數學1上_FourArithmeticOperationsOfIntegers,1,unknown,3,3,4.17,7.22,-13.76,22.09,0.0,0.0,4.17,0.0,3.17,0.0,,-
74b866ad-8532-413e-95b4-78b1e7746591,jh_數學1上_FourArithmeticOperationsOfIntegers,2,unknown,3,9,94.89,0.11,94.62,95.16,10.0,5.0,47.0,47.89,17.0,4.89,2.6e-05,Ab2 vs Ab1: p<0.001 (高度顯著)
506ee300-e446-4233-b0ad-63d3ed2c7e60,jh_數學1上_FourArithmeticOperationsOfIntegers,3,unknown,3,9,97.81,0.32,97.01,98.62,10.0,5.0,50.0,47.81,20.0,4.81,2.3e-05,Ab3 vs Ab1: p<0.001 (高度顯著)
c989a294-8dba-479e-9951-9415f12597bf,jh_數學1上_FourArithmeticOperationsOfNumbers,1,unknown,17,33,38.91,31.85,22.54,55.29,3.77,2.94,23.26,15.65,6.76,1.4,,-
dc6f14fa-476c-40ab-940c-96c69e9dc882,jh_數學1上_FourArithmeticOperationsOfNumbers,2,unknown,18,54,95.93,0.31,95.77,96.08,10.0,5.0,47.0,48.93,17.0,5.0,0.0,Ab2 vs Ab1: p<0.001 (高度顯著)
210c55b1-cd8c-446c-8a96-248d739d46bf,jh_數學1上_FourArithmeticOperationsOfNumbers,3,unknown,17,51,98.92,0.32,98.76,99.09,10.0,5.0,50.0,48.92,20.0,5.0,0.0,Ab3 vs Ab1: p<0.001 (高度顯著)
80916867-7963-4543-8275-09b9d48f85a3,jh_數學2上_FourOperationsOfRadicals,1,unknown,2,6,50.75,49.14,-390.79,492.29,4.0,2.5,27.25,23.5,10.5,2.5,,-
4dfaf5de-1a47-41d9-ad0c-6489ca1422d0,jh_數學2上_FourOperationsOfRadicals,2,unknown,3,9,94.0,0.0,nan,nan,8.0,5.0,47.0,47.0,17.0,5.0,0.193549,Ab2 vs Ab1: p=0.194 (無顯著差異)
0fee4753-0bd3-4555-8a20-880cd2fd8603,jh_數學2上_FourOperationsOfRadicals,3,unknown,3,9,97.0,0.0,nan,nan,8.0,5.0,50.0,47.0,20.0,5.0,0.172141,Ab3 vs Ab1: p=0.172 (無顯著差異)
