item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
1a45e3a5-cf4b-41bb-ad42-36e51247688a,9250bb67-d61a-4856-96cf-0191ef025a5d,1,計算 $(-x^{2} - 5x - 3) + (5x^{2} + 3x + 4)$。,,4x^2-2x+1,PASS,,1,7.5,7.5,13.0,10.0,3.0,19.67,5,4,5,1.67,32.67,0.0,0.0,False,15,4.0,5,2,4415,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
11bfbffd-2b50-4ad0-9473-0dbe9421ad95,9250bb67-d61a-4856-96cf-0191ef025a5d,2,計算 $(a^{3} + 2a^{2} - 3a - 3) - (-a^{3} - 3a - 5)$。,,2a^3+2a^2+2,PASS,,1,7.5,7.5,13.0,10.0,3.0,20.67,5,4,5,2.67,33.67,0.0,0.0,False,15,4.0,8,2,4415,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
30755d9e-8529-401d-8e93-e3f258be6def,9250bb67-d61a-4856-96cf-0191ef025a5d,3,計算 $(-4y^{3} - 2y^{2} + 2y - 5) + (-3y^{2} + y - 1)$。,,-4y^3-5y^2+3y-6,PASS,,1,7.5,7.5,13.0,10.0,3.0,16.0,5,4,5,2.0,29.0,0.0,0.0,False,15,0.0,6,0,4415,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
d4e6bf25-530d-47be-ba0a-61e028ca6c04,b979a993-d683-4091-ba44-8364b0f970c3,1,計算 $(5y^{2} + 5y + 4) - (3y^{2} + 4y + 3)$。,,2y^2+y+1,PASS,,1,7.5,7.5,13.0,10.0,3.0,14.33,5,4,5,0.33,27.33,0.0,0.0,False,15,0.0,1,0,4415,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
4afa21c8-dd54-4eba-9044-594d5bc560b2,b979a993-d683-4091-ba44-8364b0f970c3,2,計算 $(-2y^{3} - 4y^{2} + 3y - 1) + (-5y^{2} - 2y - 1)$。,,-2y^3-9y^2+y-2,PASS,,1,7.5,7.5,13.0,10.0,3.0,16.33,5,4,5,2.33,29.33,0.0,0.0,False,15,0.0,7,0,4415,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
ef7f470a-7ee6-41a1-879e-e1c50c68ee30,b979a993-d683-4091-ba44-8364b0f970c3,3,計算 $(-5a^{3} - 2) + (a^{3} + a^{2} + 3a + 1)$。,,-4a^3+a^2+3a-1,PASS,,1,7.5,7.5,13.0,10.0,3.0,19.67,5,4,5,1.67,32.67,0.0,0.0,False,15,4.0,5,2,4415,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
62098f1e-52d0-450a-bf8f-896a47085377,89a649db-9fa3-4698-a6a2-48c08a1652e3,1,展開 $(-x)(3x^{2} - 4x + 1)$。,,-3x^3+4x^2-x,PASS,,1,7.5,7.5,13.0,10.0,3.0,22.0,5,4,5,2.0,35.0,0.0,0.0,False,15,6.0,6,3,4415,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
ca968edc-e2eb-4883-ae75-528ad3bef79f,89a649db-9fa3-4698-a6a2-48c08a1652e3,2,展開 $(5m - 5)(-5m^{2} + 4m - 3)$。,,-25m^3+45m^2-35m+15,PASS,,1,7.5,7.5,13.0,10.0,3.0,15.0,5,4,5,1.0,28.0,0.0,0.0,False,15,0.0,3,0,4415,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
6462ad26-b949-4023-8a35-c51c475297ff,89a649db-9fa3-4698-a6a2-48c08a1652e3,3,展開 $(2a - 2)(-a^{2} + a + 4)$。,,-2a^3+4a^2+6a-8,PASS,,1,7.5,7.5,13.0,10.0,3.0,26.0,5,4,5,2.0,39.0,0.0,0.0,False,15,10.0,6,5,4415,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
b7472544-04f4-4a66-bc0b-741ed34fd64e,7829e87e-9f9b-476a-91d1-dc465af0393d,1,展開 $(-m + 3)(4m^{2} + 4m - 5)$。,,-4m^3+8m^2+17m-15,PASS,,1,7.5,7.5,13.0,10.0,3.0,15.0,5,4,5,1.0,28.0,0.0,0.0,False,15,0.0,3,0,4415,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
2a32b907-1327-4d18-bb4d-b2e5b93a192c,7829e87e-9f9b-476a-91d1-dc465af0393d,2,展開 $(2m + 4)(-m^{2} - 4m + 5)$。,,-2m^3-12m^2-6m+20,PASS,,1,7.5,7.5,13.0,10.0,3.0,15.0,5,4,5,1.0,28.0,0.0,0.0,False,15,0.0,3,0,4415,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
