item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
48fa673f-bc43-4bdb-b1e1-c5a68e40adf7,2f949526-29aa-4b81-a5bf-61cc44099668,1,計算 $(3x^{2} + 5x - 1) - (x^{2} - 4x - 3)$。,,2x^2+9x+2,PASS,,1,7.5,7.5,13.0,10.0,3.0,20.0,5,4,5,2.0,33.0,0.0,0.0,False,15,4.0,6,2,4348,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
0abde514-e076-4cfb-9c49-d9efea8fd6c2,2f949526-29aa-4b81-a5bf-61cc44099668,2,計算 $(-3b^{2} - 5b - 5) + (2b^{2} - b + 4)$。,,-b^2-6b-1,PASS,,1,7.5,7.5,13.0,10.0,3.0,20.33,5,4,5,2.33,33.33,0.0,0.0,False,15,4.0,7,2,4348,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
cdd38adb-1af9-444a-abf8-2807b2a91f95,2f949526-29aa-4b81-a5bf-61cc44099668,3,計算 $(3x^{2} + 4) - (x^{3} - x^{2} - 2x + 3)$。,,-x^3+4x^2+2x+1,PASS,,1,7.5,7.5,13.0,10.0,3.0,19.67,5,4,5,1.67,32.67,0.0,0.0,False,15,4.0,5,2,4348,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
2fc56b31-ee45-4689-9328-088b05e33868,bb64985b-d1da-4936-8b70-c1e0f40f52cf,1,計算 $(-5x - 2) - (3x^{2} - 5x + 4)$。,,-3x^2-6,PASS,,1,7.5,7.5,13.0,10.0,3.0,20.33,5,4,5,2.33,33.33,0.0,0.0,False,15,4.0,7,2,4348,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
7d0f8ed6-0e26-4f9a-80f3-093f0573abad,bb64985b-d1da-4936-8b70-c1e0f40f52cf,2,計算 $(b - 1) + (-b - 4)$。,,-5,PASS,,1,7.5,7.5,20.0,10.0,10.0,14.33,5,3,5,1.33,34.33,0.0,0.0,True,15,0.0,4,0,4348,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
6fc37482-9674-46b2-a0b4-66212733b203,bb64985b-d1da-4936-8b70-c1e0f40f52cf,3,計算 $(x^{2} + x - 2) - (3x^{2} + 5x + 1)$。,,-2x^2-4x-3,PASS,,1,7.5,7.5,13.0,10.0,3.0,19.67,5,4,5,1.67,32.67,0.0,0.0,False,15,4.0,5,2,4348,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
6d46d259-bc48-42ae-b6a1-ad720e9a894d,8b2b311d-618e-40a0-9f2e-2ba3ffb94c91,1,展開並化簡 $(5x - 3)(-x)$。,,-5x^2+3x,PASS,,1,7.5,7.5,13.0,10.0,3.0,21.0,5,3,5,2.0,34.0,0.0,0.0,False,15,6.0,6,3,4348,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
02fbfdaf-6a34-41ec-b019-2ab40c646089,8b2b311d-618e-40a0-9f2e-2ba3ffb94c91,2,展開並化簡 $(4b - 5)(3b^{2} - 4b + 1)$。,,12b^3-31b^2+24b-5,PASS,,1,7.5,7.5,13.0,10.0,3.0,26.33,5,4,5,2.33,39.33,0.0,0.0,False,15,10.0,7,5,4348,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
ea768c87-5313-43d8-ada0-ec8b3066d35c,8b2b311d-618e-40a0-9f2e-2ba3ffb94c91,3,展開並化簡 $(-2b + 4)(3b^{2} + 4b + 2)$。,,-6b^3+4b^2+12b+8,PASS,,1,7.5,7.5,13.0,10.0,3.0,26.0,5,4,5,2.0,39.0,0.0,0.0,False,15,10.0,6,5,4348,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
56a6a448-3c12-495b-a51d-77eb6c6ee299,4ed220b0-2584-4627-af11-b97dcff4ac8f,1,展開並化簡 $(-4a - 2)(5a^{2} + 4a + 3)$。,,-20a^3-26a^2-20a-6,PASS,,1,7.5,7.5,13.0,10.0,3.0,26.67,5,4,5,2.67,39.67,0.0,0.0,False,15,10.0,8,5,4348,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
d2cbf18e-4209-4bb4-bb72-075192ae7577,4ed220b0-2584-4627-af11-b97dcff4ac8f,2,展開並化簡 $(-3b - 2)(3b + 4)$。,,-9b^2-18b-8,PASS,,1,7.5,7.5,13.0,10.0,3.0,25.67,5,3,5,2.67,38.67,0.0,0.0,False,15,10.0,8,5,4348,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
