item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
4c5f5313-9e7c-43a0-bf37-387da062746a,1dbcdf15-06e6-4840-96e7-c8cd967721ec,1,計算 $(-2a^{2} + 4a + 4) + (a^{2} - a - 4)$。,,-a^2+3a,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.0,5,4,5,1.0,35.0,0.0,0.0,True,15,0.0,3,0,4399,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
1074ae98-aebc-4ce6-a2fa-2265e929295c,1dbcdf15-06e6-4840-96e7-c8cd967721ec,2,計算 $(-4x^{2} - 3x - 3) - (-4x^{2} - 4x - 4)$。,,x+1,PASS,,1,7.5,7.5,20.0,10.0,10.0,18.67,5,4,5,2.67,38.67,0.0,0.0,True,15,2.0,8,1,4399,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
98a4b7c8-d16c-4d61-8c13-2cc5675752de,1dbcdf15-06e6-4840-96e7-c8cd967721ec,3,計算 $(-2x^{3} - 3x^{2} + 3x + 4) + (-x^{2} + 5x - 2)$。,,-2x^3-4x^2+8x+2,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.0,5,4,5,2.0,40.0,0.0,0.0,True,15,4.0,6,2,4399,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
d9502640-8be7-4048-82a4-8e487fcb8b96,44534fb6-a78e-4a55-824e-186534f3d5e2,1,計算 $(-3b + 1) - (3b^{2} + 5b - 2)$。,,-3b^2-8b+3,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.67,5,4,5,1.67,39.67,0.0,0.0,True,15,4.0,5,2,4393,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
95665658-80f6-41d4-89a0-e6036a1def21,44534fb6-a78e-4a55-824e-186534f3d5e2,2,計算 $(-2x - 1) - (-5x^{2} + x - 3)$。,,5x^2-3x+2,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.33,5,4,5,2.33,40.33,0.0,0.0,True,15,4.0,7,2,4393,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
b86ea2ff-9595-48f9-b36a-c765ba882efd,44534fb6-a78e-4a55-824e-186534f3d5e2,3,計算 $(-3x^{2} + 2x - 4) - (-2x^{2} - 2x + 5)$。,,-x^2+4x-9,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.33,5,4,5,2.33,40.33,0.0,0.0,True,15,4.0,7,2,4393,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
3b2e788e-7a64-4947-930e-6a08a348ed74,91855a97-df07-486e-bea4-7a68190e6101,1,展開並化簡 $(5a + 4)(5a - 2)$。,,25a^2+10a-8,PASS,,1,7.5,7.5,20.0,10.0,10.0,25.0,5,3,5,2.0,45.0,0.0,0.0,True,15,10.0,6,5,4399,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
6a7a3f7a-b40c-44e9-a85f-66e62fb918b1,91855a97-df07-486e-bea4-7a68190e6101,2,展開並化簡 $(-5a - 1)(-a + 5)$。,,5a^2-24a-5,PASS,,1,7.5,7.5,20.0,10.0,10.0,25.67,5,3,5,2.67,45.67,0.0,0.0,True,15,10.0,8,5,4399,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
d9c1e03d-5871-4cac-b471-db8793f5a408,91855a97-df07-486e-bea4-7a68190e6101,3,展開並化簡 $(a + 3)(-4a)$。,,-4a^2-12a,PASS,,1,7.5,7.5,20.0,10.0,10.0,18.67,5,3,5,1.67,38.67,0.0,0.0,True,15,4.0,5,2,4399,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
6f0dbbee-e73b-4bc1-b643-8c3c9b22e2ed,44565b07-b5b0-4471-8693-3cb7fbf98460,1,展開並化簡 $(4x^{2} - 5x + 1)(3x^{2} + 3)$。,,12x^4-15x^3+15x^2-15x+3,PASS,,1,7.5,7.5,20.0,10.0,10.0,26.0,5,4,5,2.0,46.0,0.0,0.0,True,15,10.0,6,5,4399,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
01721f10-9b52-4ef7-8be5-e3499fc350c5,44565b07-b5b0-4471-8693-3cb7fbf98460,2,展開並化簡 $(-3a^{2} - 4a - 1)(4a^{2} + 5a - 2)$。,,-12a^4-31a^3-18a^2+3a+2,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,4,5,3.33,47.33,0.0,0.0,True,15,10.0,10,5,4399,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
bc6dfbf4-cc36-4964-826b-eae348ae643d,44565b07-b5b0-4471-8693-3cb7fbf98460,3,展開並化簡 $(-b^{2} + b - 2)(-b - 2)$。,,b^3+b^2+4,PASS,,1,7.5,7.5,20.0,10.0,10.0,22.33,5,4,5,2.33,42.33,0.0,0.0,True,15,6.0,7,3,4399,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
609b2e50-7c12-4e6f-8bb3-66f940914b08,3f8121d9-e8da-4428-9ebe-1b8a573ceaee,1,"若 $(3x - 3) - P = -x^{3} + 4x + 5$,求多項式 $P$。",,x^3-x-8,PASS,,1,7.5,7.5,13.0,10.0,3.0,15.67,5,4,5,1.67,28.67,0.0,0.0,False,15,0.0,5,0,4399,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
