item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
dd9535c4-84de-44f1-8521-8a9982c65ec8,10da3363-aa59-4e9d-8d1e-cbf7b28ef8c4,1,計算 $(-x^{2}+5x+2) - (x-5)$,,-x^2+4x+7,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.67,5,4,5,1.67,39.67,0.0,0.0,True,15,4.0,5,2,955,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
4d24b72f-dca6-4e95-a2e8-ac32eee939a8,10da3363-aa59-4e9d-8d1e-cbf7b28ef8c4,2,計算 $(-4x^{2}-x-1) - (-2x+5)$,,-4x^2+x-6,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.67,5,4,5,2.67,40.67,0.0,0.0,True,15,4.0,8,2,955,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
05393e6d-8e98-4bed-bb41-9d6f5cbd88da,10da3363-aa59-4e9d-8d1e-cbf7b28ef8c4,3,計算 $(3x^{2}-5x) + (4x+2)$,,3x^2-x+2,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.0,5,4,5,1.0,39.0,0.0,0.0,True,15,4.0,3,2,955,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
59376c9b-c4ab-4bee-96d4-e8f01414fc50,bca43360-22b8-4b6f-bb9f-8acb32444d70,1,Calculate $(-2x^{2}-4x+8) - (9x^{2}+3x)$,,-11x^2-7x+8,PASS,,1,7.5,7.5,13.0,10.0,3.0,27.33,5,4,5,3.33,40.33,0.0,0.0,False,15,10.0,10,6,693,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
f7c4a90d-5f97-4eea-b70a-a0771e2c1509,bca43360-22b8-4b6f-bb9f-8acb32444d70,2,Calculate $(-9x^{2}+7x-8) - (4x^{2}-8x+7)$,,-13x^2+15x-15,PASS,,1,7.5,7.5,13.0,10.0,3.0,27.67,5,4,5,3.67,40.67,0.0,0.0,False,15,10.0,11,5,693,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
dd48b3f8-5825-471f-a880-eaf1a8d02f49,bca43360-22b8-4b6f-bb9f-8acb32444d70,3,Calculate $(-5x^{2}+8x+3) - (-2x^{2}+2x+8)$,,-3x^2+6x-5,PASS,,1,7.5,7.5,13.0,10.0,3.0,27.67,5,4,5,3.67,40.67,0.0,0.0,False,15,10.0,11,6,693,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
c64afec5-8255-4416-ab9e-75ae0ba0aafa,540185cd-c949-497d-8a24-cd43ce1153d5,1,計算 $(5x - 1) + (x^{2} + x + 3)$。,,x^2+6x+2,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.0,5,4,5,1.0,39.0,0.0,0.0,True,15,4.0,3,2,4339,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
86f5619e-d9ea-4d05-8c43-c7fc4a064c78,540185cd-c949-497d-8a24-cd43ce1153d5,2,計算 $(5x^{2} - 5x - 2) + (4x + 5)$。,,5x^2-x+3,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.33,5,4,5,1.33,39.33,0.0,0.0,True,15,4.0,4,2,4339,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
d7b42207-4368-4c99-84d1-1bf6fb3f07bb,540185cd-c949-497d-8a24-cd43ce1153d5,3,計算 $(5x^{2} + 4x) + (4x^{2} + 3x)$。,,9x^2+7x,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.33,5,4,5,0.33,36.33,0.0,0.0,True,15,2.0,1,1,4339,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
e38004d6-bbe8-4759-9fbd-987a41ba9acf,5b411a5e-d00e-46d7-84df-5271efca5623,1,計算 $(-3x^{2} - 2x + 5) - (5x^{2} - 5x)$。,,-8x^2+3x+5,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.0,5,4,5,2.0,40.0,0.0,0.0,True,15,4.0,6,2,4339,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
a2ce0a18-4370-4df8-a65d-a862b77fa9c9,5b411a5e-d00e-46d7-84df-5271efca5623,2,計算 $(4x^{2} + 1) + (-2x^{2} + x - 3)$。,,2x^2+x-2,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.33,5,4,5,1.33,39.33,0.0,0.0,True,15,4.0,4,2,4339,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
95a81cb7-3bac-4ae8-a234-f6426b239965,5b411a5e-d00e-46d7-84df-5271efca5623,3,計算 $(3x^{2} - 2x + 3) - (3x^{2} + 3x + 2)$。,,-5x+1,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.33,5,4,5,1.33,39.33,0.0,0.0,True,15,4.0,4,2,4339,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
e9492c7e-47e1-4b01-9cf8-b252fc1c895e,ed9cdb4c-aaf6-4ff7-80b5-d9137d342e12,1,計算 $(-5x - 1) - (-2x - 3)$。,,-3x+2,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.33,5,3,5,2.33,39.33,0.0,0.0,True,15,4.0,7,2,4339,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
bbbf8ee4-f608-48c6-bb10-8c857a900166,ed9cdb4c-aaf6-4ff7-80b5-d9137d342e12,2,計算 $(x - 3) - (2x - 3)$。,,-x,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.33,5,3,5,1.33,36.33,0.0,0.0,True,15,2.0,4,1,4339,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
8aa10bf1-ff7a-45cf-9d9b-30410b88c8c0,ed9cdb4c-aaf6-4ff7-80b5-d9137d342e12,3,計算 $(-2x - 2) - (-2x^{2} - 4x)$。,,2x^2+2x-2,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.33,5,4,5,2.33,40.33,0.0,0.0,True,15,4.0,7,2,4339,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
3b4ee195-2cbc-4ecf-aaea-d4a02b9f1ff0,d06fe6eb-8184-4623-b96d-0c0aa498554f,1,計算 $(5x^{2} + 3x + 4) - (-2x + 3)$。,,5x^2+5x+1,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.33,5,4,5,1.33,39.33,0.0,0.0,True,15,4.0,4,2,4339,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
7dd38763-4abf-4ef0-ac0b-ebec6a310bb9,d06fe6eb-8184-4623-b96d-0c0aa498554f,2,計算 $(-x - 1) - (-4x + 1)$。,,3x-2,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.0,5,3,5,2.0,39.0,0.0,0.0,True,15,4.0,6,2,4339,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
2a3c820c-7700-4bef-9af7-6de56a932abf,d06fe6eb-8184-4623-b96d-0c0aa498554f,3,計算 $(2x - 3) + (-x + 1)$。,,x-2,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.0,5,3,5,1.0,36.0,0.0,0.0,True,15,2.0,3,1,4339,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
51281aa8-ae65-46f8-b39b-e4aa738716e4,7385dab7-de79-400d-ac32-e3b4618dee99,1,計算 $(4x - 3) + (x^{2} - 2x + 3)$。,,x^2+2x,PASS,,1,7.5,7.5,20.0,10.0,10.0,17.0,5,4,5,1.0,37.0,0.0,0.0,True,15,2.0,3,1,4339,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
