item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
42892cd2-359d-43f1-9956-49d254641290,6dae300e-9924-426a-b491-19f95c8cf458,1,計算 $(-5a^{3} + 4) - (-4a^{3} - 5a^{2} - 4a)$。,,-a^3+5a^2+4a+4,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.33,5,4,5,2.33,40.33,0.0,0.0,True,15,4.0,7,2,4280,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
742396cd-0a3b-4293-9574-2a2dcccf551e,6dae300e-9924-426a-b491-19f95c8cf458,2,計算 $(5a^{3} - 5a^{2} + a + 1) - (-2a^{3} - 4a^{2} + 2a + 4)$。,,7a^3-a^2-a-3,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.0,5,4,5,2.0,40.0,0.0,0.0,True,15,4.0,6,2,4280,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
f7eafea0-4cfe-449e-9c12-d7f5ad0e8e0d,6dae300e-9924-426a-b491-19f95c8cf458,3,計算 $(-x^{3} + 5x^{2} + x + 5) - (-4x^{3} - x + 5)$。,,3x^3+5x^2+2x,PASS,,1,7.5,7.5,20.0,10.0,10.0,17.67,5,4,5,1.67,37.67,0.0,0.0,True,15,2.0,5,1,4280,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
e22adaef-c64e-4b2f-a486-6c63ce566640,de90ed74-75cd-4a1c-8e27-107c2b32c06b,1,計算 $(2x^{3} - 2x^{2} + 4x - 3) - (4x^{3} - 5x^{2} - 1)$。,,-2x^3+3x^2+4x-2,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.33,5,4,5,2.33,40.33,0.0,0.0,True,15,4.0,7,2,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
4492f0de-c203-49eb-8cf9-07e7a3cb56f3,de90ed74-75cd-4a1c-8e27-107c2b32c06b,2,計算 $(-3b^{2} - 3b - 5) + (-3b^{3} - 5b^{2} + 3b)$。,,-3b^3-8b^2-5,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.67,5,4,5,2.67,40.67,0.0,0.0,True,15,4.0,8,2,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
4ccd999f-250a-4f87-b822-9908776549d3,de90ed74-75cd-4a1c-8e27-107c2b32c06b,3,計算 $(a^{2} + 3a - 4) + (-2a^{2} - 5a - 3)$。,,-a^2-2a-7,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.33,5,4,5,2.33,40.33,0.0,0.0,True,15,4.0,7,2,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
9dd4bacf-7a21-465c-869c-1fd7e5c8fa14,da99391c-d08a-4f94-9791-35939777a8ed,1,展開並化簡 $(-3x + 2)(x^{2} - 4)$。,,-3x^3+2x^2+12x-8,PASS,,1,7.5,7.5,20.0,10.0,10.0,26.33,5,4,5,2.33,46.33,0.0,0.0,True,15,10.0,7,5,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
6ef36b03-3cf0-45c2-9370-0f5bd17ea173,da99391c-d08a-4f94-9791-35939777a8ed,2,展開並化簡 $(4b)(-2b^{2} - 5b)$。,,-8b^3-20b^2,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.67,5,4,5,1.67,39.67,0.0,0.0,True,15,4.0,5,2,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
160403b6-7d59-4247-9b62-c578743ebd5c,da99391c-d08a-4f94-9791-35939777a8ed,3,展開並化簡 $(-x - 1)(2x^{2} - 2x + 3)$。,,-2x^3-x-3,PASS,,1,7.5,7.5,20.0,10.0,10.0,26.67,5,4,5,2.67,46.67,0.0,0.0,True,15,10.0,8,5,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
bfc2b68f-c311-4038-9746-578fcb7b8abe,cb112623-3809-4eae-a5f7-da1f7d352537,1,展開並化簡 $(-5x - 2)(-2x^{2} + 4x - 5)$。,,10x^3-16x^2+17x+10,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.0,5,4,5,2.0,40.0,0.0,0.0,True,15,4.0,6,2,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
3b8c842c-539a-45d5-adf0-d53bf3164bb6,cb112623-3809-4eae-a5f7-da1f7d352537,2,展開並化簡 $(-2x + 5)(5x^{2} - x - 5)$。,,-10x^3+27x^2+5x-25,PASS,,1,7.5,7.5,20.0,10.0,10.0,26.67,5,4,5,2.67,46.67,0.0,0.0,True,15,10.0,8,5,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
