item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
77d21637-959e-4498-9922-d547f717cbd3,a8f8879f-2bcc-4636-9bdc-15f361d5fde3,1,Calculate -5x - 4 - 1,,-5x - 5,PASS,,1,7.5,7.5,13.0,10.0,3.0,23.67,5,3,5,2.67,36.67,0.0,0.0,False,15,8.0,8,4,687,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
30f0f35a-1809-4623-a505-436cc406bae5,a8f8879f-2bcc-4636-9bdc-15f361d5fde3,2,Expand and simplify -2x - 2(-2x - 3),,4x^2 + 10x + 6,PASS,,1,7.5,7.5,13.0,10.0,3.0,24.33,5,3,5,3.33,37.33,0.0,0.0,False,15,8.0,10,4,687,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
957e43ae-3bd8-4cf9-8755-8cb775b64915,a8f8879f-2bcc-4636-9bdc-15f361d5fde3,3,Calculate 4x - 2 + 2x + 4,,6x + 2,PASS,,1,7.5,7.5,13.0,10.0,3.0,23.67,5,3,5,2.67,36.67,0.0,0.0,False,15,8.0,8,4,687,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
e6500f83-5458-4162-9214-f1ad5724bb61,07005d72-a7bf-4bb2-8b94-2dade070bb27,1,計算 $(-4x^{3} - x^{2} + 5x - 4) + (2x^{3} - 4x^{2} + 4x - 1)$。,,-2x^3-5x^2+9x-5,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.67,5,4,5,2.67,40.67,0.0,0.0,True,15,4.0,8,2,4323,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
a507f5d1-ae58-497b-b36f-7d3cbb0807c4,07005d72-a7bf-4bb2-8b94-2dade070bb27,2,計算 $(2a^{2} + 2) + (-3a^{3} + 4a^{2} + 4a - 5)$。,,-3a^3+6a^2+4a-3,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.33,5,4,5,1.33,39.33,0.0,0.0,True,15,4.0,4,2,4323,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
1651b796-5b1f-440b-accf-ce66ab9238f9,07005d72-a7bf-4bb2-8b94-2dade070bb27,3,計算 $(-3b^{3} + 4b^{2} + 1) + (-5b^{2} + b)$。,,-3b^3-b^2+b+1,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.33,5,4,5,1.33,39.33,0.0,0.0,True,15,4.0,4,2,4323,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
30096de6-8625-49ce-9df7-7a50def73769,c4be2690-84f6-44dd-bd74-d528af3f182d,1,計算 $(-5a^{3} - 4a^{2} + 2a - 5) + (2a^{3} - 5a^{2} + a + 4)$。,,-3a^3-9a^2+3a-1,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.33,5,4,5,2.33,40.33,0.0,0.0,True,15,4.0,7,2,4321,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
97f8ec52-7168-445d-8711-0644d49d2f97,c4be2690-84f6-44dd-bd74-d528af3f182d,2,計算 $(2b^{3} - 2b - 5) + (-2b^{2} - b - 3)$。,,2b^3-2b^2-3b-8,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.33,5,4,5,2.33,40.33,0.0,0.0,True,15,4.0,7,2,4321,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
ba3fba46-7feb-43b3-879d-45378d1ca820,c4be2690-84f6-44dd-bd74-d528af3f182d,3,計算 $(-4a^{2} - 2) - (a^{2} + 4a)$。,,-5a^2-4a-2,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.0,5,4,5,2.0,40.0,0.0,0.0,True,15,4.0,6,2,4321,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
e2c4128d-7de1-47d3-90a9-b24a5e550946,d1018c94-2877-4216-b7f7-6ab99e506329,1,展開並化簡 $(3x - 2)(-4x^{2} - 5x - 3)$。,,-12x^3-7x^2+x+6,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,4,5,3.33,47.33,0.0,0.0,True,15,10.0,10,5,4323,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
cba7c46d-3f9b-4441-b6d2-793c8be37425,d1018c94-2877-4216-b7f7-6ab99e506329,2,展開並化簡 $(3b + 1)(-3b^{2} - 4b + 4)$。,,-9b^3-15b^2+8b+4,PASS,,1,7.5,7.5,20.0,10.0,10.0,26.33,5,4,5,2.33,46.33,0.0,0.0,True,15,10.0,7,5,4323,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
7e3aafd0-777f-4f40-9169-3275e9d5b4af,d1018c94-2877-4216-b7f7-6ab99e506329,3,展開並化簡 $(-3a + 3)(-a^{2} - a - 4)$。,,3a^3+9a-12,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,4,5,3.33,47.33,0.0,0.0,True,15,10.0,10,5,4323,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
815e16b6-1181-4cc5-96a9-1f8a1099f7ef,a721e7ed-f3fb-4beb-86a1-abaf3104635a,1,展開並化簡 $(-4a - 3)(-a^{2} + 2a - 4)$。,,4a^3-5a^2+10a+12,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.0,5,4,5,2.0,40.0,0.0,0.0,True,15,4.0,6,2,4321,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
176df184-dd81-425c-a6e8-7ea145d579d7,a721e7ed-f3fb-4beb-86a1-abaf3104635a,2,展開並化簡 $(2x - 5)(-3x^{2} - x + 2)$。,,-6x^3+13x^2+9x-10,PASS,,1,7.5,7.5,20.0,10.0,10.0,26.67,5,4,5,2.67,46.67,0.0,0.0,True,15,10.0,8,5,4321,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
28524152-a279-4422-aea2-d2e86e0bbafc,a721e7ed-f3fb-4beb-86a1-abaf3104635a,3,展開並化簡 $(-4x - 2)(-4x^{2} + 4x - 2)$。,,16x^3-8x^2+4,PASS,,1,7.5,7.5,20.0,10.0,10.0,22.67,5,4,5,2.67,42.67,0.0,0.0,True,15,6.0,8,3,4321,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
de02ce5f-c12e-4ecb-b698-269c82ee217e,6d0bd43d-b500-47c1-a628-0c780953f283,1,"若 $(4x + 4) - P = -x^{3} - 3x^{2} - 4x - 5$,求多項式 $P$。",,x^3+3x^2+8x+9,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.0,5,4,5,2.0,36.0,0.0,0.0,True,15,0.0,6,0,4323,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
738d20dc-446c-47e4-9c51-4b7d4fdc71be,6d0bd43d-b500-47c1-a628-0c780953f283,2,"若 $P - (-5a^{2} + 3a + 1) = 4a^{2} + 2a + 1$,求多項式 $P$。",,-a^2+5a+2,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.33,5,4,5,1.33,39.33,0.0,0.0,True,15,4.0,4,2,4323,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
a831480f-8a24-4ed0-8dca-5235cf66021c,6d0bd43d-b500-47c1-a628-0c780953f283,3,"若 $(-3x^{2} + 2x - 4) - P = -x^{3} + 2x^{2} + 2x - 4$,求多項式 $P$。",,x^3-5x^2,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.67,5,4,5,2.67,36.67,0.0,0.0,True,15,0.0,8,0,4323,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
24c0baf9-ae93-4e37-8d17-321fd225734c,4506accb-7e35-428c-ab26-3f34d5748585,1,"若 $P - (2a^{2} + 5) = 3a^{3} + a^{2} + 2a - 1$,求多項式 $P$。",,3a^3+3a^2+2a+4,PASS,,1,7.5,7.5,20.0,10.0,10.0,19.67,5,4,5,1.67,39.67,0.0,0.0,True,15,4.0,5,2,4321,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
95ce3d0b-2328-46d5-9b9b-5288b8321927,4506accb-7e35-428c-ab26-3f34d5748585,2,"若 $(-2x^{2} - 2x - 1) - P = -2x^{3} - 3x^{2} + 2x + 3$,求多項式 $P$。",,2x^3+x^2-4x-4,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.67,5,4,5,2.67,36.67,0.0,0.0,True,15,0.0,8,0,4321,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
f3e253cf-e9e6-4870-a913-5a5415b9220b,4506accb-7e35-428c-ab26-3f34d5748585,3,"若 $(4b - 4) - P = -b^{2} - 5b + 2$,求多項式 $P$。",,b^2+9b-6,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.67,5,4,5,1.67,35.67,0.0,0.0,True,15,0.0,5,0,4321,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
