item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
5183d4fb-fde3-48b4-a0a0-5a48224e52a2,0bfef0f2-40a0-4726-b4be-f00f24fc2564,1,$2\sqrt{96} - 2\sqrt{45} + 2\sqrt{45}$,,8\sqrt{6},PASS,,1,7.5,7.5,13.0,10.0,3.0,22.33,5,4,5,4.33,35.33,0.0,0.0,False,15,4.0,13,2,1148,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
99d67d26-1146-4a48-95f1-931dfbc85a8d,0bfef0f2-40a0-4726-b4be-f00f24fc2564,2,$2\sqrt{96} - 2\sqrt{8} + \sqrt{63}$,,-4\sqrt{2} + 8\sqrt{6} + 3\sqrt{7},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,21,7,1148,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
81123d08-6711-45d8-bd10-bbc24a0f401a,0bfef0f2-40a0-4726-b4be-f00f24fc2564,3,$1 - \sqrt{112} + 2\sqrt{54}$,,1 + 6\sqrt{6} - 4\sqrt{7},PASS,,1,7.5,7.5,13.0,10.0,3.0,29.0,5,4,5,5.0,42.0,0.0,0.0,False,15,10.0,15,5,1148,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
c60194e1-b5bb-4868-b31d-397566752af8,3d9b50c6-192c-4267-95f9-04b227f2d053,1,Simplify $-\sqrt{12} - 2\sqrt{3} + \sqrt{3}$,,-3\sqrt{3},PASS,,1,7.5,7.5,13.0,10.0,3.0,23.0,5,4,5,5.0,36.0,0.0,0.0,False,15,4.0,15,2,1086,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
9beba2cb-d379-4ba5-a8f6-b80cb937de8c,3d9b50c6-192c-4267-95f9-04b227f2d053,2,Simplify $-3\sqrt{40} + 2\sqrt{3} - 3\sqrt{40}$,,2\sqrt{3} - 12\sqrt{10},PASS,,1,7.5,7.5,13.0,10.0,3.0,29.0,5,4,5,5.0,42.0,0.0,0.0,False,15,10.0,18,5,1086,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
bfc1d4e1-a8f7-4c1a-8f46-b2f2efcd9890,3d9b50c6-192c-4267-95f9-04b227f2d053,3,Simplify $\sqrt{63} - \sqrt{40} - 2\sqrt{10}$,,3\sqrt{7} - 4\sqrt{10},PASS,,1,7.5,7.5,13.0,10.0,3.0,29.0,5,4,5,5.0,42.0,0.0,0.0,False,15,10.0,18,5,1086,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
c652e00b-e0ac-4978-8151-269ed4ea3fcc,0118c4d4-54a4-4495-9977-2017671ad945,1,Simplify $\sqrt{10} - \sqrt{2} + \sqrt{5}$,,-\sqrt{2} + \sqrt{5} + \sqrt{10},PASS,,1,7.5,7.5,13.0,10.0,3.0,29.0,5,4,5,5.0,42.0,0.0,0.0,False,15,10.0,18,5,995,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
019b5d53-4756-4399-aa92-450101cafaf4,0118c4d4-54a4-4495-9977-2017671ad945,2,Simplify $-2\sqrt{50} - \sqrt{48} - 2\sqrt{7}$,,-10\sqrt{2} - 4\sqrt{3} - 2\sqrt{7},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,24,7,995,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
83adab4c-51b4-4e5c-ac25-03996e7978e1,0118c4d4-54a4-4495-9977-2017671ad945,3,Simplify $-\sqrt{50} + \sqrt{48} - \sqrt{27}$,,-5\sqrt{2} + \sqrt{3},PASS,,1,7.5,7.5,13.0,10.0,3.0,27.0,5,4,5,5.0,40.0,0.0,0.0,False,15,8.0,17,4,995,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
915f15bd-99c0-4f81-b376-5e8abfd1184f,77392144-0384-420c-a09e-9c625eec9c9e,1,Simplify $3\sqrt{30}-3\sqrt{4}-2\sqrt{16}$,,-14+3\sqrt{30},PASS,,1,7.5,7.5,13.0,10.0,3.0,25.0,5,4,5,5.0,38.0,0.0,0.0,False,15,6.0,15,3,835,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
