run_id,timestamp,model_name,skill_name,ablation_id,sample_index,code_commit_hash,python_version,mcri_version,model_temperature,repetitions_planned,repetitions_completed,fail_count,pass_rate,avg_exec_time,score_l1_total,score_l1_1_syntax,score_l1_2_runtime,score_l2_total,score_l2_1_contract,score_l2_2_purity,avg_l3_total,avg_l3_1_internal,avg_l3_2_external,avg_l4_total,avg_l4_1_numeric,avg_l4_2_visual,avg_l4_3_artifacts,avg_complexity_math_ops,avg_complexity_inference_steps,avg_complexity_ast_nodes,avg_complexity_loop_depth,score_program_total,score_math_total,score_l5_architecture,avg_l4_4_mqi,avg_mcri_total,source_code_path,notes,batch_id,golden_prompt_path,prompt_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms,healer_applied,healer_fix_count,healer_fixes_basic,healer_fixes_regex,healer_fixes_ast
0bfef0f2-40a0-4726-b4be-f00f24fc2564,2026-02-23T02:30:47.685289+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,14.67,10.0,4.67,26.78,5.0,4.0,5.0,16.33,4.67,1148.0,2.0,38.5,41.44,10.5,4.78,79.94,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_f8b55087.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 90.37s | Tokens: In=586, Out=1453 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:1",,,,586,1453,15497,90366,0,0,0,0,0
825ad8e5-d9ea-4d70-80df-4c067257354e,2026-02-23T10:45:58.156694,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,1,0,,,,0,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Exception: AI request timed out after 300 seconds,,,,0,0,0,0,0,0,0,0,0
3d9b50c6-192c-4267-95f9-04b227f2d053,2026-02-23T03:00:50.576629+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,13.0,10.0,3.0,27.0,5.0,4.0,5.0,17.0,4.0,1086.0,2.0,38.5,40.0,10.5,5.0,78.5,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_1c8ff9d0.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 280.35s | Tokens: In=586, Out=1342 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:3",,,,586,1342,64840,280348,0,0,0,0,0
0118c4d4-54a4-4495-9977-2017671ad945,2026-02-23T03:12:24.659711+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,14.67,10.0,4.67,28.33,5.0,4.0,5.0,19.67,5.33,995.0,2.0,38.5,43.0,10.5,5.0,81.5,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_0fa9b1e5.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 81.58s | Tokens: In=586, Out=1342 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:4",,,,586,1342,15956,81583,0,0,0,0,0
77392144-0384-420c-a09e-9c625eec9c9e,2026-02-23T03:17:24.158632+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,13.0,10.0,3.0,27.67,5.0,4.0,5.0,17.0,4.67,835.0,2.0,38.5,40.67,10.5,5.0,79.17,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_fe9d2a5c.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 297.04s | Tokens: In=586, Out=971 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:5",,,,586,971,64469,297038,0,0,0,0,0
c48d6782-5b14-415a-8c34-3ae2b5f31fdf,2026-02-23T03:17:33.683094+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,13.0,10.0,3.0,28.67,5.0,4.0,5.0,14.0,5.0,4410.0,2.0,47.0,41.67,17.0,4.67,88.67,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_f7e1d2f7.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 7.09s | Tokens: In=1894, Out=1107 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:1",,,,1894,1107,3001,7094,1,1,0,0,0
1ca98dde-8651-4043-a7d5-1dd0257d5e58,2026-02-23T03:17:42.795594+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,13.0,10.0,3.0,28.67,5.0,4.0,5.0,14.0,5.0,4438.0,2.0,47.0,41.67,17.0,4.67,88.67,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_5e95c8bb.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 6.62s | Tokens: In=1894, Out=1147 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:2",,,,1894,1147,3041,6625,1,1,0,0,0
ed337942-3c46-45e0-bc2a-4c9139b628a2,2026-02-23T03:17:51.537584+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,13.0,10.0,3.0,26.11,5.0,4.0,5.0,12.67,4.0,4417.0,2.0,47.0,39.11,17.0,4.11,86.11,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_d5a26898.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 6.37s | Tokens: In=1894, Out=1103 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:3",,,,1894,1103,2997,6366,1,1,0,0,0
6b168de2-35ac-4681-ad18-7722ea735227,2026-02-23T03:18:04.437366+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,13.0,10.0,3.0,28.67,5.0,4.0,5.0,14.33,5.0,4566.0,2.0,47.0,41.67,17.0,4.67,88.67,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_a5e40758.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 10.39s | Tokens: In=1894, Out=1534 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:4",,,,1894,1534,3428,10389,1,1,0,0,0
0a74fab0-a4f1-4499-83df-50bca8f149c6,2026-02-23T03:18:13.959180+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,13.0,10.0,3.0,28.44,5.0,4.0,5.0,13.33,5.0,4503.0,2.0,47.0,41.44,17.0,4.44,88.44,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_bbe3d8a2.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 7.16s | Tokens: In=1894, Out=1249 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:5",,,,1894,1249,3143,7164,1,1,0,0,0
