item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
706f4fa4-7beb-46e5-bab8-ba7f4adc71bb,419e67c2-f253-42f8-8a83-79cf03f0e093,1,Simplify $4\sqrt{3} + 3\sqrt{45} + 3\sqrt{3}$,,7\sqrt{3} + 9\sqrt{5},PASS,,1,7.5,7.5,13.0,10.0,3.0,29.0,5,4,5,5.0,42.0,0.0,0.0,False,15,10.0,16,5,869,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
60e18367-d7a4-4cf2-8018-5a57b1a434d2,419e67c2-f253-42f8-8a83-79cf03f0e093,2,Simplify $-4\sqrt{54} + 4\sqrt{18} + \sqrt{2}$,,13\sqrt{2} - 12\sqrt{6},PASS,,1,7.5,7.5,13.0,10.0,3.0,29.0,5,4,5,5.0,42.0,0.0,0.0,False,15,10.0,17,5,869,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
e125f91e-87a5-432a-9e28-dcef6b382778,419e67c2-f253-42f8-8a83-79cf03f0e093,3,Simplify $-3\sqrt{8} - 3\sqrt{18} - 2\sqrt{54}$,,-15\sqrt{2} - 6\sqrt{6},PASS,,1,7.5,7.5,13.0,10.0,3.0,29.0,5,4,5,5.0,42.0,0.0,0.0,False,15,10.0,20,5,869,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
718b388f-3c6d-4373-9309-458247b6291e,5b134492-0ee3-4145-90d9-1ff875a64cb5,1,$\sqrt{2}(\sqrt{3} + \sqrt{5})$,,\sqrt{6} + \sqrt{10},PASS,,1,7.5,7.5,13.0,10.0,3.0,29.0,5,4,5,5.0,42.0,0.0,0.0,False,15,10.0,17,5,624,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
686d91fe-6f23-434d-a10a-9b9d5242404a,5b134492-0ee3-4145-90d9-1ff875a64cb5,2,$(\sqrt{2} + \sqrt{5})(\sqrt{2} - \sqrt{5})$,,-3,PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,24,8,624,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
6ec6c35f-ec22-43e9-b08e-a402c09d3955,5b134492-0ee3-4145-90d9-1ff875a64cb5,3,$(\sqrt{5} + \sqrt{2})(\sqrt{5} - \sqrt{2})$,,3,PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,24,8,624,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
c5873d45-74c3-4fe2-8638-126c600fba51,fd5bc779-fc15-4f1a-98e2-1ab1c4aadc22,1,$(\sqrt{20} + 2\sqrt{80} - 2\sqrt{125})$,,0,PASS,,1,7.5,7.5,13.0,10.0,3.0,16.33,4,4,5,3.33,29.33,0.0,0.0,False,15,0.0,10,0,822,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
9034806f-362f-4a78-beb0-92bc73154f13,fd5bc779-fc15-4f1a-98e2-1ab1c4aadc22,2,$(\sqrt{45} + \sqrt{20} - \sqrt{80})$,,\sqrt{5},PASS,,1,7.5,7.5,13.0,10.0,3.0,20.0,5,4,5,4.0,33.0,0.0,0.0,False,15,2.0,12,1,822,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
14fc6e8e-a8ab-4f6b-a773-09b5c9631570,fd5bc779-fc15-4f1a-98e2-1ab1c4aadc22,3,$(\sqrt{5} + 2\sqrt{125} - \sqrt{20})$,,9\sqrt{5},PASS,,1,7.5,7.5,13.0,10.0,3.0,21.33,4,4,5,4.33,34.33,0.0,0.0,False,15,4.0,13,2,822,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
8ff6bb1f-bbeb-4b18-9b56-f6bfdb01eb34,c26889d2-b092-49bb-b2a4-f88d9c006591,1,化簡 $$(-5\sqrt{12}-\sqrt{32}-3\sqrt{20}) + 4(\sqrt{10} + \sqrt{2})$$,,-10\sqrt{3}-6\sqrt{5}+4\sqrt{10},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,29,7,3670,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
e21e2457-cfe4-4236-a564-1b11e2f45161,c26889d2-b092-49bb-b2a4-f88d9c006591,2,化簡 $$(-4\sqrt{12}+2\sqrt{20}+2\sqrt{12}+5\sqrt{18}) + 2(\sqrt{6} + \sqrt{3})$$,,15\sqrt{2}-2\sqrt{3}+4\sqrt{5}+2\sqrt{6},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,34,9,3670,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
652e18e3-949d-47b0-9669-62beb68cdcaf,c26889d2-b092-49bb-b2a4-f88d9c006591,3,化簡 $$(-5\sqrt{20}+4\sqrt{18}+5\sqrt{72}-3\sqrt{48}) + 4(\sqrt{2} + \sqrt{6})$$,,46\sqrt{2}-12\sqrt{3}-10\sqrt{5}+4\sqrt{6},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,35,9,3670,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
b202a49b-3bc1-49f4-9b11-9f2c1e96d707,30ea1f6e-030a-4e95-8831-263c772e6330,1,化簡 $$(-\sqrt{75}-4\sqrt{27}+3\sqrt{48}) + 3(\sqrt{5} + \sqrt{2})$$,,3\sqrt{2}-5\sqrt{3}+3\sqrt{5},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,28,7,3670,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
77dab91d-206c-46fa-8a27-6b002349e663,30ea1f6e-030a-4e95-8831-263c772e6330,2,化簡 $$(-2\sqrt{27}-\sqrt{20}+3\sqrt{20}-3\sqrt{27}) + 3(\sqrt{7} + \sqrt{3})$$,,-12\sqrt{3}+4\sqrt{5}+3\sqrt{7},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,32,7,3670,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
91f46b38-8f05-494e-bb77-5efc24b6f830,30ea1f6e-030a-4e95-8831-263c772e6330,3,化簡 $$(-2\sqrt{20}+4\sqrt{12}-3\sqrt{50}+3\sqrt{45}) + 3(\sqrt{7} + \sqrt{10})$$,,-15\sqrt{2}+8\sqrt{3}+5\sqrt{5}+3\sqrt{7}+3\sqrt{10},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,39,11,3670,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
3da51647-6bf2-4fe4-941c-1f6fa840be04,49113b7a-241c-4682-89ba-ac4a5c95a4d4,1,化簡 $$(4\sqrt{27}-5\sqrt{27}-\sqrt{12}-5\sqrt{27}) + 3(\sqrt{7} + \sqrt{5})$$,,-20\sqrt{3}+3\sqrt{5}+3\sqrt{7},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,32,7,3670,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
54e19bad-0406-446b-8ac9-ffa009530e76,49113b7a-241c-4682-89ba-ac4a5c95a4d4,2,化簡 $$(4\sqrt{20}-\sqrt{50}-3\sqrt{48}-3\sqrt{27}) + 2(\sqrt{5} + \sqrt{10})$$,,-5\sqrt{2}-21\sqrt{3}+10\sqrt{5}+2\sqrt{10},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,36,9,3670,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
ff76035e-d54c-4745-b15a-7c66e180f170,49113b7a-241c-4682-89ba-ac4a5c95a4d4,3,化簡 $$(4\sqrt{45}-\sqrt{50}-2\sqrt{32}+3\sqrt{20}) + 4(\sqrt{10} + \sqrt{5})$$,,-13\sqrt{2}+22\sqrt{5}+4\sqrt{10},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,31,7,3670,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
42fa1fb6-cfea-4363-b659-1f48f31b7479,060a1b09-0656-4812-a182-decb80d98e19,1,化簡 $$(3\sqrt{48}-5\sqrt{20}+5\sqrt{27}+\sqrt{32}) + 2(\sqrt{3} + \sqrt{7})$$,,4\sqrt{2}+29\sqrt{3}-10\sqrt{5}+2\sqrt{7},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,34,9,3670,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
