item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
01c211f2-518e-49b6-bb81-5a8595f6c92a,ca4ee20e-86e0-467d-97b2-9c85cd50f2a9,1,,,,ERROR,ValueError: invalid literal for int() with base 10: '3\\sqrt{2}',0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
13c05f7a-2de2-49c1-b597-4e0ca25f2717,ca4ee20e-86e0-467d-97b2-9c85cd50f2a9,2,,,,ERROR,ValueError: invalid literal for int() with base 10: '3\\sqrt{27}',0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
6b2fbe9c-b841-462b-bacb-1db6ec32e5da,ca4ee20e-86e0-467d-97b2-9c85cd50f2a9,3,,,,ERROR,ValueError: invalid literal for int() with base 10: '5\\sqrt{7}',0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
5b2e70e2-26db-4e9f-82d5-93580648ec79,edb4704c-0914-486c-b6e0-6ba16ebd0fb2,1,,,,ERROR,ValueError: invalid literal for int() with base 10: '4\\sqrt{10}',0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
4ec2e308-bc26-4b7a-b0cb-da0293f5d2fe,edb4704c-0914-486c-b6e0-6ba16ebd0fb2,2,,,,ERROR,ValueError: invalid literal for int() with base 10: '\\sqrt{8}',0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
a727fb48-1402-4456-b837-df6d3a53f463,edb4704c-0914-486c-b6e0-6ba16ebd0fb2,3,,,,ERROR,ValueError: invalid literal for int() with base 10: '4\\sqrt{20}',0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
b1b845f8-e7fc-499e-bf27-e8c6ffcd20b2,63e50f5f-5d91-4163-a3cd-c5252b299ef1,1,化簡 $$(5\sqrt{27}+\sqrt{10}) + 5(\sqrt{3} + \sqrt{7})$$,,10\sqrt{3}+5\sqrt{6}+10\sqrt{7}+5\sqrt{30},PASS,,1,6.0,7.5,18.0,10.0,8.0,25.9,5,4,5,4.4,43.9,0.0,0.0,False,15,7.5,22,6,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
76b57f8c-e89f-436c-b88c-e1c3b499d716,63e50f5f-5d91-4163-a3cd-c5252b299ef1,2,化簡 $$(2\sqrt{3}+3\sqrt{2}) + 3(\sqrt{3} + \sqrt{3})$$,,10\sqrt{2}+12\sqrt{3},PASS,,1,6.0,7.5,13.0,10.0,3.0,24.05,5,4,5,3.8,37.05,0.0,0.0,False,15,6.25,19,5,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
c09a723a-114e-4e22-9d9e-8805153e3a22,63e50f5f-5d91-4163-a3cd-c5252b299ef1,3,化簡 $$(4\sqrt{5}+5\sqrt{3}) + 3(\sqrt{5} + \sqrt{2})$$,,6\sqrt{2}+6\sqrt{3}+10\sqrt{6}+3\sqrt{10},PASS,,1,6.0,7.5,18.0,10.0,8.0,27.35,5,4,5,4.6,45.35,0.0,0.0,False,15,8.75,23,7,3571,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
0f07a35e-ccd8-4516-919d-904489e38250,12c3bb9c-74b0-49b2-916c-e74d83210213,1,,,,ERROR,ValueError: invalid literal for int() with base 10: '2\\sqrt{5}',0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
fd0c061f-8358-4323-918b-6167f383dfe0,12c3bb9c-74b0-49b2-916c-e74d83210213,2,,,,ERROR,ValueError: invalid literal for int() with base 10: '\\sqrt{3}',0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
d9b383ef-3690-44df-9d4d-85df3a8ae065,12c3bb9c-74b0-49b2-916c-e74d83210213,3,,,,ERROR,ValueError: invalid literal for int() with base 10: '5\\sqrt{5}',0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
2fa9002b-26f8-42dd-bf84-3d918ed942d8,55a7625d-d310-4474-95e5-9592b1ee090c,1,,,,ERROR,ValueError: invalid literal for int() with base 10: '3\\sqrt{7}',0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
