item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
10a01f1f-db4a-495b-9e8a-b41bc20f67c4,804316db-d6c2-468e-a5fe-83b401dcf802,1,化簡 $$(\sqrt{24}-2\sqrt{2}-2\sqrt{24}+3\sqrt{18}) + 5(\sqrt{5} + \sqrt{3})$$,,7\sqrt{2}+5\sqrt{3}+5\sqrt{5}-2\sqrt{6},PASS,,1,6.0,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,35,9,3599,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
d81ca6b7-254d-49a9-bbfb-b5aaa2f17299,804316db-d6c2-468e-a5fe-83b401dcf802,2,化簡 $$(\sqrt{24}+4\sqrt{12}-2\sqrt{6}) + 3(\sqrt{3} + \sqrt{3})$$,,14\sqrt{3},PASS,,1,6.0,7.5,13.0,10.0,3.0,20.3,5,4,5,3.8,33.3,0.0,0.0,False,15,2.5,19,2,3599,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
5fa56437-8141-4b92-9d0c-3a3e8fffef87,804316db-d6c2-468e-a5fe-83b401dcf802,3,化簡 $$(-4\sqrt{27}+\sqrt{24}-3\sqrt{3}+\sqrt{12}) + 3(\sqrt{5} + \sqrt{5})$$,,-13\sqrt{3}+6\sqrt{5}+2\sqrt{6},PASS,,1,6.0,7.5,18.0,10.0,8.0,27.75,5,4,5,5.0,45.75,0.0,0.0,False,15,8.75,31,7,3599,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
017c9da9-78b8-481f-9100-ff02f62fd7bb,7d60e171-096d-4d3a-a7ec-ba0050e997b9,1,化簡 $$(-3\sqrt{32}-3\sqrt{6}-2\sqrt{18}) + 2(\sqrt{7} + \sqrt{2})$$,,-16\sqrt{2}-3\sqrt{6}+2\sqrt{7},PASS,,1,6.0,7.5,18.0,10.0,8.0,27.75,5,4,5,5.0,45.75,0.0,0.0,False,15,8.75,29,7,3599,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
207687b0-70ed-42b2-877b-f5fc1961cf15,7d60e171-096d-4d3a-a7ec-ba0050e997b9,2,化簡 $$(-2\sqrt{5}-4\sqrt{50}+5\sqrt{12}+\sqrt{20}) + 4(\sqrt{5} + \sqrt{2})$$,,-16\sqrt{2}+10\sqrt{3}+4\sqrt{5},PASS,,1,6.0,7.5,18.0,10.0,8.0,27.75,5,4,5,5.0,45.75,0.0,0.0,False,15,8.75,31,7,3599,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
364f8c0e-1507-464f-ad3d-71e8b224e488,7d60e171-096d-4d3a-a7ec-ba0050e997b9,3,化簡 $$(3\sqrt{12}+\sqrt{32}+4\sqrt{50}) + 2(\sqrt{7} + \sqrt{2})$$,,26\sqrt{2}+6\sqrt{3}+2\sqrt{7},PASS,,1,6.0,7.5,18.0,10.0,8.0,27.75,5,4,5,5.0,45.75,0.0,0.0,False,15,8.75,26,7,3599,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
3334c9db-be2e-469e-95f7-94544b1acca0,bf457381-bbdc-4724-b2b0-ae395963b33f,1,化簡 $$(5\sqrt{12}+4\sqrt{5}+3\sqrt{5}+2\sqrt{50}) + 2(\sqrt{7} + \sqrt{7})$$,,10\sqrt{2}+10\sqrt{3}+7\sqrt{5}+4\sqrt{7},PASS,,1,6.0,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,33,9,3599,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
63afec4b-504a-422c-9052-7d6703cb661b,bf457381-bbdc-4724-b2b0-ae395963b33f,2,化簡 $$(4\sqrt{3}-5\sqrt{8}-\sqrt{18}) + 5(\sqrt{5} + \sqrt{7})$$,,-13\sqrt{2}+4\sqrt{3}+5\sqrt{5}+5\sqrt{7},PASS,,1,6.0,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,32,9,3599,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
6c2b24c3-8fb7-4c82-8f22-bf73cb13a02e,bf457381-bbdc-4724-b2b0-ae395963b33f,3,化簡 $$(\sqrt{27}+5\sqrt{8}-2\sqrt{3}) + 2(\sqrt{3} + \sqrt{7})$$,,10\sqrt{2}+3\sqrt{3}+2\sqrt{7},PASS,,1,6.0,7.5,18.0,10.0,8.0,27.75,5,4,5,5.0,45.75,0.0,0.0,False,15,8.75,27,7,3599,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
bc0a0c78-d3bc-487b-b1e7-6697236f587e,bfdf49c2-8207-41f4-8bc5-53e7b7b4c818,1,化簡 $$(-3\sqrt{50}+2\sqrt{8}-\sqrt{27}) + 5(\sqrt{2} + \sqrt{7})$$,,-6\sqrt{2}-3\sqrt{3}+5\sqrt{7},PASS,,1,6.0,7.5,18.0,10.0,8.0,27.75,5,4,5,5.0,45.75,0.0,0.0,False,15,8.75,28,7,3599,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
d7b0c1cf-50ee-4fcf-b45b-f73636b2d0a0,bfdf49c2-8207-41f4-8bc5-53e7b7b4c818,2,化簡 $$(-4\sqrt{18}+\sqrt{6}+\sqrt{20}+\sqrt{8}) + 5(\sqrt{7} + \sqrt{2})$$,,-5\sqrt{2}+2\sqrt{5}+\sqrt{6}+5\sqrt{7},PASS,,1,6.0,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,33,8,3599,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
