run_id,treatment_id,task_id,seed,generation_id,observed_status,pipeline_corrected_status,observed_syntax_compile_status,pipeline_corrected_syntax_compile_status,observed_runtime_timeout_status,pipeline_corrected_runtime_timeout_status,observed_output_sha256,pipeline_corrected_output_sha256,protocol_compliant,reasoning_leakage,evaluator_version,evaluator_engine
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/748,11,0eb9607223a484740924cfdae9d6b8a9d0b4de9628d7650ea5eac20e9d7623ed,fail,fail,fail,not_run_extraction_failed,failure,failure,622661ab8e0d9dfa924f9dd3abe3cf967712569f545b5439cf3bb7f776abc25b,,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/748,22,3039b256417fa986c6543bc0ea8725b4764e7f061080ad6b6aa50820d2ed3c1e,fail,fail,fail,not_run_extraction_failed,failure,failure,a741e33c82f3beccf2d30722fa48c076eb37c3ff0418109330b1d1741f130020,,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/748,33,ec0cab77ebb0f2e20c579c0ab18f8f0ef7b7254cd5ea26c7f1d5178c50d265f9,fail,fail,fail,not_run_extraction_failed,failure,failure,cb579d01dbb9d5b547f4ee128c851888f29a8e48dec9deac3b5292504af52644,,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/748,44,f1e359b5ec1aa5ee3a4239ca312c67de9b80b82b191e61b9a01727a33ffed37e,fail,fail,fail,not_run_extraction_failed,failure,failure,63f6664382fb06811498ab11a997dd263bd27f63170a0b90b3a1f50b802d9f66,,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/748,55,874d0d2a64fd17b8e31f1945455cb48b5319808104b155e1abc0138bb854632c,fail,fail,fail,not_run_extraction_failed,failure,failure,5528d3d40fa13eaa03ebb18d3c4f9c2e0820a361e56bde37f17c285d5e5173bb,,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/759,11,1cb6b0eb832dca0a6762e84175a5642eb0bdecac7a173b48bd205683d869211a,fail,fail,fail,pass,failure,failure,0d36ba065af6db9ea8ef3507893f847369bd099fd857ecd79614d0473504f23c,e497372652a5cb45ceffb4e0cd2784980fe6d2de6ff6aab965f0b813821298fc,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/759,22,d86c570e1f899581eea3b7a6d833ae0e28a1b964c92201a31fe5c0359a1e7837,fail,fail,fail,not_run_extraction_failed,failure,failure,92970e534bed59045c0a458ed705816772fea72e35b02ccfeaf8131e463fd8c0,,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/759,33,2752ed7b08ac77720ec1a51787debd46948d80b7fc9829aa2c5d965977f9e0a0,fail,fail,fail,not_run_extraction_failed,failure,failure,491f66a0aa7ade331994e0d178662446cac6938c0dbe968f90d5c693760d3fe9,,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/759,44,72bb9e078ba939a782bb9163c83e8b00cd3aa4f43e44207b8dbceb78b8676f26,fail,fail,fail,not_run_extraction_failed,failure,failure,d0bb05fc42a564c4fefc1612222c1a89582fbaba6091903cbab5f3546a32b117,,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/759,55,0f27e3592755a8db565f8aaaf0ea2f4b4413acd8181d4e10efe5ccc7ce2c42b7,fail,fail,fail,not_run_extraction_failed,failure,failure,4a0970b208b8fca462cabb623e2cac090a986d8bc2e20fb318d4411d3db4f2b2,,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/430,11,1077087f2d7e9a1c5be3eef81da7dd24881dec34b33875a3bbad496267c137bc,fail,fail,fail,fail,failure,failure,0686ecc2e5f3433b6a1b219290aa3aefe75386b6ee62fb4b704a83e01df6929b,0686ecc2e5f3433b6a1b219290aa3aefe75386b6ee62fb4b704a83e01df6929b,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/430,22,38e3d74ab2f050a39bbba4471772fa6b1b5cd46637f9e7fd493049fdf03b9fc8,fail,fail,fail,fail,failure,failure,750d5ac4807af9a626db0e09e6821784d0702d3b17f8cdb0d39e62efe5752eb1,750d5ac4807af9a626db0e09e6821784d0702d3b17f8cdb0d39e62efe5752eb1,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/430,33,4a045c4919de032e5aa09027dc957e09ce3bc284548fe5da16a97e68737a6dad,fail,fail,fail,fail,failure,failure,ab6c5b9b9e5a6886ec1b9c516c6ca64bfe0ecfb8552a1a121d014dd914edff2b,ab6c5b9b9e5a6886ec1b9c516c6ca64bfe0ecfb8552a1a121d014dd914edff2b,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/430,44,acfa75f22e794b6f6da595f375ef83b4af0be11ee2943e0be003d638417dcfe4,fail,fail,fail,fail,failure,failure,2e32ecbff9028f09c2c71174b302e8a3a58cb00075fd998901f473f2b14d9eff,2e32ecbff9028f09c2c71174b302e8a3a58cb00075fd998901f473f2b14d9eff,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/430,55,c1560ab79ec8d40548b67bc784235802b50353c29c56d148c454cbc6b934c8b3,fail,fail,fail,fail,failure,failure,531a0451ad13dfce37016b053573ff07a4b989b9fdd4454c0ce2fcb6f765fe4d,531a0451ad13dfce37016b053573ff07a4b989b9fdd4454c0ce2fcb6f765fe4d,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/67,11,8ac510725bcce5abcb8ff3cb4be6c59dd17484cf6be2358f2ee003e07dc80726,fail,fail,fail,pass,failure,failure,ebecd9d2fbf5afde8499057210fa0a0681cdf352e1b4265839ec25e18d8febd6,94bf4f9ff613e49c50601ce1ca6a3dfbadbde9772eee1d4fd0094cd3a42f3387,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/67,22,6ae47b310c07c3c303bdb70f8688999b45a0ac0cb97f65664a3d5b60eb3deff6,fail,fail,fail,fail,failure,failure,57012633635db7fee331906b4dd589e0e5985c5ae235a3d812e99138cb8d319a,57012633635db7fee331906b4dd589e0e5985c5ae235a3d812e99138cb8d319a,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/67,33,1aad4362b16c91b5748dec998c9ab832bb04f6d40632a2d4c60b92a544610725,fail,fail,fail,fail,failure,failure,d237bc1cb8747c66161a4d54e82913956d2ad01e6f825dec7f2992b7b38ee5df,d237bc1cb8747c66161a4d54e82913956d2ad01e6f825dec7f2992b7b38ee5df,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/67,44,e62468f6f6474794076b4c6b233ad6f050a0df2f065320f630ef2f3e0751f585,fail,fail,fail,fail,failure,failure,ad0ace01e063e11651f5b4c9620c66e33b0fea8401f904bf0bef4a726590bd49,ad0ace01e063e11651f5b4c9620c66e33b0fea8401f904bf0bef4a726590bd49,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/67,55,b7df85825bf5663c88c39b205e32e3e78487e39016fd7ae155d830cc7ba3eca5,fail,fail,fail,not_run_extraction_failed,failure,failure,dec334f6cf41b51de4dfe853f8eb0634cfda4d13f40b926da4b5798650fe55d1,,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/11,11,7e5cd7bf7b8bf68609314fe046b5f54a324202cfae40141eef3f1e5773cf399e,fail,fail,fail,pass,failure,failure,11b5f000132b7dc609f9c127ebcbefea72a83cf5d45a9c375659a1250aefc097,7bd43d99d895ab987dba9fe4f5f2b127637c500e0a2869d1efc87865565efcce,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/11,22,fa78b887b2fb6cc6daa8a16c9950b44b11af6dfa1fff1a06669b90140c8784c3,fail,fail,fail,not_run_extraction_failed,failure,failure,b5f119fae34d3ad5b36fc8555e9738d5cabbb1d162a1d724fe62dd4e904aa28c,,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_p0_exp40_r001,p0_official_prompt_only,Mbpp/11,33,b8f27f7e1a96cfc81b79c1c277454ffbb14977568156ad9e2273f8c191e12884,fail,fail,fail,not_run_extraction_failed,failure,failure,646c278d1862b804a380fa9cbd48d03a8580bc7e9351d9c6854abcde1ece5852,,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
