task_id,seed,p0_generation_id,candidate_generation_id,p0_pipeline_status,candidate_pipeline_status,pipeline_transition,paired_rescue,paired_regression,candidate_protocol_compliant,candidate_reasoning_leakage,regression_disclosure
Mbpp/432,11,1b7f60490789e097043085e2a318e0cc9fbc210e87bc348ea2324d206ae89c1a,3b580361d4df8bef178b7bc5056b747c9a75f10aef70b1eb665b21678ae2decf,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
Mbpp/572,11,8e44229605443cd74b767c97a603476f37c87db47f9426b50651a77a084ce406,ebc852cea523b3a31b1de11333a5ea9dff202cc6c24dd76d3c16253d11d5b01f,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
Mbpp/572,22,4665e744b1837a1f55af50c1e58e0ef1e3d65e67c9b0f33a6dc4f7ea36f8cff1,9cef8778d3ad4c29f52fc92e00f86d75e22dacc84227c0f244784dde603550a0,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
Mbpp/572,44,b58594208a05478980ed93ba71821889a0213cf945e24bca878e069728245d85,9c8dc02366b3c1051a91f72e43f67f9b3a433adc7f5cb40c6fe09ea81237eff5,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
Mbpp/14,11,d6df41c74f2113008e98fb1eb8d1e5237900716fd994ec86ff3ad36510296da1,c054a78d4749394dfebe3fd3dbea71d742d99c88025dd0ee823d2fc6006aeaeb,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
Mbpp/14,22,4204bd306e49e818b32c6f15c724cf17c588f4f2c80643e41e10b0bbe9253eea,847ca4a4187d93f8fe925f3490a17ae696895ea54a39c19268a5ab328d36b1db,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
Mbpp/14,33,e0c9f4de582115d35ce5988f42b646a14cef069f827a56be3b71e2cb9335d47a,592735fc0fb4b7099b34fc31045197b807e804c1bc4011ba60213e7137245688,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
Mbpp/14,44,9b68c781fa9f7678ed940e7355a1d12d5e2943d1aa6adbf821c80befb2552f4c,9cac611f30e8e5de482b0c73a746ed001233570f7626535ff8a45a29f68acc5f,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
Mbpp/722,11,6ce0f7863ad5804e092d60c8b9e38a51d70cd8c810abf8eec1f69f64f4cb40df,97c20e4a4149a3efb2f11d10679f0dcfed9aeb79b444a05ba338d2f4f22e1130,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
Mbpp/607,11,a969ec3cd934fdaff135ee2b54a9408946a21053b4d5f1bd8987e3bab3eca1cf,24b83a25e6b554a5fbe7ebdcba796402e62073e7d1c338ed67ddc4117f773fb1,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
Mbpp/607,22,24993f4ca46d6c712e6520d2ab6b5c20a5c5637ff4b0ce64cc6640980051ff97,c4c70329f26c08770020f113baa25aaf1ca624f60ec4fd22c28b606077dfd45e,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
Mbpp/607,44,d8a219f96a6bcdbf08ce4b2a8a36344150048adb044e3b63cbab878e3be73f10,bce43204d3cfa3825e206a8ca4e1bfd7f0a65c726c398f5c5b2a8efc80f807d9,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
Mbpp/607,55,6957b650ca2193b5c1bcdf2c28c3235942d51296cc8484aed1faa6fca901caeb,d539bf2d3a508283680eaeb0e6435e0287dc4853e54ce94f4fef3986caa3407c,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
Mbpp/786,33,45c74febc3ab090abaa73ad36bb495214537d7fb6eee604354fe2a5dce05d18a,f86af7b999aee00d7c75a2a6b5193114e4dc6fb09eb5b8347029b1f3ac6ccfde,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
Mbpp/786,55,d238e0e2fd743d85023cd86f008d345ee307975e4c2f3ac1840ce1fd844d20c9,b7288c60dd97eae1783b849cd921b7c4ea4682923aff9e2d4fa340ef4e360991,pass,fail,pass_to_fail,false,true,true,false,generic_evaluator_result_only_no_functional_cause_guessed
