task_id,seed,generation_id,raw_generation_sha256,pipeline_output_sha256,pipeline_extracted,observed_status,pipeline_status,failure_stage,exception_type_or_evaluator_outcome,failure_category,classification_basis,format_or_extraction_failure,syntax_failure,entry_point_failure,generation_truncation,protocol_violation,unknown_failure,scaffold_candidate,evaluator_blind_healer_candidate,must_not_auto_repair,semantic_risk,review_status,candidate_label_caveat
Mbpp/748,11,cacf39e6340f334335acda2f859e294c687fec0bbe111237b3cb449ee702cc43,20e2451a476ccce4dd7ee9475a1b163807833908c828adf4aacea50e611075b3,20e2451a476ccce4dd7ee9475a1b163807833908c828adf4aacea50e611075b3,true,fail,fail,syntax_compile,syntax_compile_fail,syntax_failure,saved pipeline_corrected_syntax_compile_status is fail,false,true,false,true,false,false,true,true,false,high,classified_from_saved_diagnostics,candidate_label_not_validated_repair_rule
Mbpp/748,22,4273cdbbedc7f13dfdbc2c81e9b52927ef20f529c946d0202a655ebd66aefb76,f00328582f9cda58fd1c96df51c5c815603d85441517ef8f950d66248bd707d0,f00328582f9cda58fd1c96df51c5c815603d85441517ef8f950d66248bd707d0,true,fail,fail,evalplus_execution_or_assertion,evalplus_failure_unspecified,unknown,"saved artifacts show compile pass, expected entry point present, and generic EvalPlus failure; they do not distinguish import/name error, runtime exception, or functional assertion failure",false,false,false,false,false,true,false,false,true,unknown,manual_review_required,candidate_label_not_validated_repair_rule
Mbpp/748,33,b634a6b07c6fc8596a4c291a9a06a055214d20c8a9b88175ec2b51f50dcbb0af,2f41edc05002c088edc1d57c2db653b7216f85a2af157da3ca1ab8948b94f8a9,2f41edc05002c088edc1d57c2db653b7216f85a2af157da3ca1ab8948b94f8a9,true,fail,fail,evalplus_execution_or_assertion,evalplus_failure_unspecified,unknown,"saved artifacts show compile pass, expected entry point present, and generic EvalPlus failure; they do not distinguish import/name error, runtime exception, or functional assertion failure",false,false,false,false,false,true,false,false,true,unknown,manual_review_required,candidate_label_not_validated_repair_rule
Mbpp/748,44,fb62646c6eb0ae38e91d491bb9e3f02db5ea17b1b13bdc4b03f453859af921d0,3f8bbe97b82863bfbd7f0754270f8fc7ece43aab1a7a9856a11ff739517b8eba,3f8bbe97b82863bfbd7f0754270f8fc7ece43aab1a7a9856a11ff739517b8eba,true,fail,fail,evalplus_execution_or_assertion,evalplus_failure_unspecified,unknown,"saved artifacts show compile pass, expected entry point present, and generic EvalPlus failure; they do not distinguish import/name error, runtime exception, or functional assertion failure",false,false,false,false,false,true,false,false,true,unknown,manual_review_required,candidate_label_not_validated_repair_rule
Mbpp/748,55,6a7a6edb50f56aee133fea27a4726c07a056c8503d2ddb38a00bdbc817ac7203,c497b831022b6dbae69762b8380cacc1ace3bbc1f4e475e50350617331ea2b42,c497b831022b6dbae69762b8380cacc1ace3bbc1f4e475e50350617331ea2b42,true,fail,fail,evalplus_execution_or_assertion,evalplus_failure_unspecified,unknown,"saved artifacts show compile pass, expected entry point present, and generic EvalPlus failure; they do not distinguish import/name error, runtime exception, or functional assertion failure",false,false,false,false,false,true,false,false,true,unknown,manual_review_required,candidate_label_not_validated_repair_rule
Mbpp/759,11,65a312ec23c61afd133b68c9b33ac2b0b2ebaa6ccfd07ee7a409a72036f9382c,ff1cf13eab5317f4a690c0b23cb0a29a24c6f638a388759ff4cd14167807c50c,ff1cf13eab5317f4a690c0b23cb0a29a24c6f638a388759ff4cd14167807c50c,true,fail,fail,evalplus_execution_or_assertion,evalplus_failure_unspecified,unknown,"saved artifacts show compile pass, expected entry point present, and generic EvalPlus failure; they do not distinguish import/name error, runtime exception, or functional assertion failure",false,false,false,false,false,true,false,false,true,unknown,manual_review_required,candidate_label_not_validated_repair_rule
Mbpp/759,22,f2357f80e796f081206af1c8b72642172c05c85223c8d86d5ceec3f858c85e7a,db9ae13f864cd470d564fd7627c5212d11be382f221fdf755c1fe099279b6e20,db9ae13f864cd470d564fd7627c5212d11be382f221fdf755c1fe099279b6e20,true,fail,fail,evalplus_execution_or_assertion,evalplus_failure_unspecified,unknown,"saved artifacts show compile pass, expected entry point present, and generic EvalPlus failure; they do not distinguish import/name error, runtime exception, or functional assertion failure",false,false,false,false,false,true,false,false,true,unknown,manual_review_required,candidate_label_not_validated_repair_rule
Mbpp/759,33,47790fb8aafc074cf559c36dd7599ed7db43950db15987f24940f952e3e9cbe3,19d50da562bf0da05e6b463acb1b4d96b52ea5432c3571cdf781b34eeff72ad8,19d50da562bf0da05e6b463acb1b4d96b52ea5432c3571cdf781b34eeff72ad8,true,fail,fail,evalplus_execution_or_assertion,evalplus_failure_unspecified,unknown,"saved artifacts show compile pass, expected entry point present, and generic EvalPlus failure; they do not distinguish import/name error, runtime exception, or functional assertion failure",false,false,false,false,false,true,false,false,true,unknown,manual_review_required,candidate_label_not_validated_repair_rule
Mbpp/759,44,74040762c9cc969faac0318ec880a90be38761512f455729de3c69fd0e10b901,85bbcc38011634de578b7638b99f0302d3a7b2ba7432cff06e2824ed383a20ea,85bbcc38011634de578b7638b99f0302d3a7b2ba7432cff06e2824ed383a20ea,true,fail,fail,evalplus_execution_or_assertion,evalplus_failure_unspecified,unknown,"saved artifacts show compile pass, expected entry point present, and generic EvalPlus failure; they do not distinguish import/name error, runtime exception, or functional assertion failure",false,false,false,false,false,true,false,false,true,unknown,manual_review_required,candidate_label_not_validated_repair_rule
Mbpp/759,55,deacf9fb8e8b11cb8983dd3ca966ea2f9032f072bf5e1e005fad5450607dde26,31abbe94bc13fbeb4c2afcb7327fc362c3fe3f1ebf3ae2da6428ab627746db4d,31abbe94bc13fbeb4c2afcb7327fc362c3fe3f1ebf3ae2da6428ab627746db4d,true,fail,fail,syntax_compile,syntax_compile_fail,syntax_failure,saved pipeline_corrected_syntax_compile_status is fail,false,true,false,false,false,false,false,true,false,high,classified_from_saved_diagnostics,candidate_label_not_validated_repair_rule
Mbpp/430,11,58dcc3ade88205acc26830362c4285d7afb6fde12618d671bfdc07b8b49dbbf0,9256d04662cd48a99ef03f345674c37beb0ed82294432990564e6036503a4262,9256d04662cd48a99ef03f345674c37beb0ed82294432990564e6036503a4262,true,fail,fail,evalplus_execution_or_assertion,evalplus_failure_unspecified,unknown,"saved artifacts show compile pass, expected entry point present, and generic EvalPlus failure; they do not distinguish import/name error, runtime exception, or functional assertion failure",false,false,false,false,false,true,false,false,true,unknown,manual_review_required,candidate_label_not_validated_repair_rule
Mbpp/430,22,77122be9628081066a79691fb34b93b45b9bd63764203d231afb5ffe5979344c,cf94e64d02cda20bbd9022f1130349398f58b9d206e088e06f5c4a52d10c9fe8,cf94e64d02cda20bbd9022f1130349398f58b9d206e088e06f5c4a52d10c9fe8,true,fail,fail,evalplus_execution_or_assertion,evalplus_failure_unspecified,unknown,"saved artifacts show compile pass, expected entry point present, and generic EvalPlus failure; they do not distinguish import/name error, runtime exception, or functional assertion failure",false,false,false,false,false,true,false,false,true,unknown,manual_review_required,candidate_label_not_validated_repair_rule
Mbpp/430,33,02fb6deccf752f23de0f600cd40eba0980ce10b5b9a256c341667c8872d0fedc,abc344bb2958d727482eb4d8395490e8d29e0b58ab7d81baa08bee269a353f8f,abc344bb2958d727482eb4d8395490e8d29e0b58ab7d81baa08bee269a353f8f,true,fail,fail,syntax_compile,syntax_compile_fail,syntax_failure,saved pipeline_corrected_syntax_compile_status is fail,false,true,false,true,false,false,true,true,false,high,classified_from_saved_diagnostics,candidate_label_not_validated_repair_rule
Mbpp/430,44,ee8b57d48679cf202a7a1487bde8d750919e74a34fa593a88239f62f9fdbd14a,cca5ba4727b23a97b525f324bf3566c7726dfc6e0fb7e66996ced982eb96a0c1,cca5ba4727b23a97b525f324bf3566c7726dfc6e0fb7e66996ced982eb96a0c1,true,fail,fail,syntax_compile,syntax_compile_fail,syntax_failure,saved pipeline_corrected_syntax_compile_status is fail,false,true,false,true,false,false,true,true,false,high,classified_from_saved_diagnostics,candidate_label_not_validated_repair_rule
Mbpp/430,55,a3e6c64fc92820e86204e6c32713e81457f3aa90388e2f698f36b05527cba204,9f8d9ccbb68085c931d5a95bb5c16aaef7fd223b56563a8036b228d9a94fcee6,9f8d9ccbb68085c931d5a95bb5c16aaef7fd223b56563a8036b228d9a94fcee6,true,fail,fail,evalplus_execution_or_assertion,evalplus_failure_unspecified,unknown,"saved artifacts show compile pass, expected entry point present, and generic EvalPlus failure; they do not distinguish import/name error, runtime exception, or functional assertion failure",false,false,false,true,false,true,true,false,true,unknown,manual_review_required,candidate_label_not_validated_repair_rule
Mbpp/67,11,f2824a328dc6362f69e48fc7c41bb21bc24bd2331edc93dbae359691f79c834c,b5fa3a2d9ea7f4138f85f85739db489fc4748b52f9aaedd7e1dd570110455199,b5fa3a2d9ea7f4138f85f85739db489fc4748b52f9aaedd7e1dd570110455199,true,fail,fail,syntax_compile,syntax_compile_fail,syntax_failure,saved pipeline_corrected_syntax_compile_status is fail,false,true,false,true,false,false,true,true,false,high,classified_from_saved_diagnostics,candidate_label_not_validated_repair_rule
Mbpp/67,22,ef4ce941b174958087fed6064537ba440a68f13586afeb0453854cba8056ec44,edb5247c0a34838542620bd742534ea7a883f917733f1faaab379b301202819b,edb5247c0a34838542620bd742534ea7a883f917733f1faaab379b301202819b,true,fail,fail,syntax_compile,syntax_compile_fail,syntax_failure,saved pipeline_corrected_syntax_compile_status is fail,false,true,false,true,false,false,true,true,false,high,classified_from_saved_diagnostics,candidate_label_not_validated_repair_rule
Mbpp/67,33,6792b7dd134c81f05b9d31cce888520f845da6d74a383ab8ed53a5bad0fe4fa1,8e0bab299b0d35483e66317e3f9b1e346361b062d55f379619d423b34631019f,8e0bab299b0d35483e66317e3f9b1e346361b062d55f379619d423b34631019f,true,fail,fail,syntax_compile,syntax_compile_fail,syntax_failure,saved pipeline_corrected_syntax_compile_status is fail,false,true,false,true,false,false,true,true,false,high,classified_from_saved_diagnostics,candidate_label_not_validated_repair_rule
Mbpp/67,44,b63d746f4aa31a9c141a2c0b47334ae8634f02d8d1147ba44f3180ca7f5e599d,7284d40aa019bfb730f949bd4bab7b392b80088adc499698084519d8d1bf241b,7284d40aa019bfb730f949bd4bab7b392b80088adc499698084519d8d1bf241b,true,fail,fail,evalplus_execution_or_assertion,evalplus_failure_unspecified,unknown,"saved artifacts show compile pass, expected entry point present, and generic EvalPlus failure; they do not distinguish import/name error, runtime exception, or functional assertion failure",false,false,false,true,false,true,true,false,true,unknown,manual_review_required,candidate_label_not_validated_repair_rule
Mbpp/67,55,70d127bf58920f59fe1371f0129554c1612066692962a395cfe9f6dd122245cf,089b152ea60e5af535cd52b1445b2c1eb662d9c805161b032a9f1797d52c78ef,089b152ea60e5af535cd52b1445b2c1eb662d9c805161b032a9f1797d52c78ef,true,fail,fail,syntax_compile,syntax_compile_fail,syntax_failure,saved pipeline_corrected_syntax_compile_status is fail,false,true,false,true,false,false,true,true,false,high,classified_from_saved_diagnostics,candidate_label_not_validated_repair_rule
