task_id,seed,paired_identity,p0_generation_id,candidate_generation_id,p0_observed_status,candidate_observed_status,p0_pipeline_status,candidate_pipeline_status,pipeline_transition,p0_raw_sha256,candidate_raw_sha256,candidate_pipeline_sha256,p0_journal_file_sha256,candidate_journal_file_sha256,strict_output_compliance,generation_protocol_compliance,code_fence_marker_count,extra_text,multiple_program_segments,raw_compile_status,raw_compile_diagnostic,pipeline_compile_status,raw_entry_point_status,pipeline_entry_point_status,termination_status,done_reason,extraction_status,extraction_action,reasoning_leakage,functional_correctness,format_violations,transition_evidence_class,causal_interpretation
Mbpp/748,11,Mbpp/748|seed=11,0eb9607223a484740924cfdae9d6b8a9d0b4de9628d7650ea5eac20e9d7623ed,cacf39e6340f334335acda2f859e294c687fec0bbe111237b3cb449ee702cc43,fail,fail,fail,fail,fail_to_fail,622661ab8e0d9dfa924f9dd3abe3cf967712569f545b5439cf3bb7f776abc25b,20e2451a476ccce4dd7ee9475a1b163807833908c828adf4aacea50e611075b3,20e2451a476ccce4dd7ee9475a1b163807833908c828adf4aacea50e611075b3,c5d43c94e4e50f870c2a3dadf9dd1fa3da14c2d73938c6c45c16590e78f87b7e,e3572647e70831d4c23ab40a78100ca649f9ecddd9a8c9371cce4ac30d61e7e0,false,true,0,false,false,fail,SyntaxError:expected an indented block after 'for' statement on line 23:line=27:offset=5,fail,not_assessed_compile_fail,not_assessed_compile_fail,length_terminated,length,extracted,pass_through:plain_text,false,fail,generation_length_termination|raw_not_python_compilable,persistent_pipeline_failure,descriptive_paired_outcome
Mbpp/748,22,Mbpp/748|seed=22,3039b256417fa986c6543bc0ea8725b4764e7f061080ad6b6aa50820d2ed3c1e,4273cdbbedc7f13dfdbc2c81e9b52927ef20f529c946d0202a655ebd66aefb76,fail,fail,fail,fail,fail_to_fail,a741e33c82f3beccf2d30722fa48c076eb37c3ff0418109330b1d1741f130020,f00328582f9cda58fd1c96df51c5c815603d85441517ef8f950d66248bd707d0,f00328582f9cda58fd1c96df51c5c815603d85441517ef8f950d66248bd707d0,013341ba468c6b3b6eb00390916e2cb6e1f3cda5f1a5292f6881342af60dd25f,d75bdd914939a3e1582f5a876dfcaaf028a8877823339d3bd841cf3751800454,true,true,0,false,false,pass,compile_ok,pass,present,present,stop_complete,stop,extracted,pass_through:plain_text,false,fail,none,persistent_pipeline_failure,descriptive_paired_outcome
Mbpp/748,33,Mbpp/748|seed=33,ec0cab77ebb0f2e20c579c0ab18f8f0ef7b7254cd5ea26c7f1d5178c50d265f9,b634a6b07c6fc8596a4c291a9a06a055214d20c8a9b88175ec2b51f50dcbb0af,fail,fail,fail,fail,fail_to_fail,cb579d01dbb9d5b547f4ee128c851888f29a8e48dec9deac3b5292504af52644,2f41edc05002c088edc1d57c2db653b7216f85a2af157da3ca1ab8948b94f8a9,2f41edc05002c088edc1d57c2db653b7216f85a2af157da3ca1ab8948b94f8a9,2324bb1c2793d8ba6b4fa5ef61b0cd55a71f2886142de9882c80930007f63b25,9af3adcb8b016737a91d461d1877aa60ae5c12f4c3f0325b464839c25e356561,true,true,0,false,false,pass,compile_ok,pass,present,present,stop_complete,stop,extracted,pass_through:plain_text,false,fail,none,persistent_pipeline_failure,descriptive_paired_outcome
Mbpp/748,44,Mbpp/748|seed=44,f1e359b5ec1aa5ee3a4239ca312c67de9b80b82b191e61b9a01727a33ffed37e,fb62646c6eb0ae38e91d491bb9e3f02db5ea17b1b13bdc4b03f453859af921d0,fail,fail,fail,fail,fail_to_fail,63f6664382fb06811498ab11a997dd263bd27f63170a0b90b3a1f50b802d9f66,3f8bbe97b82863bfbd7f0754270f8fc7ece43aab1a7a9856a11ff739517b8eba,3f8bbe97b82863bfbd7f0754270f8fc7ece43aab1a7a9856a11ff739517b8eba,5f9c3842fdcbf010141a5da0f86fa2add09f1f7485d75ae1dd3486d0e6d2ee9a,ba7b8a8cba108430f5ffc2821940cacf0d0b749e59d6621d9422e94b68e1e2bd,true,true,0,false,false,pass,compile_ok,pass,present,present,stop_complete,stop,extracted,pass_through:plain_text,false,fail,none,persistent_pipeline_failure,descriptive_paired_outcome
Mbpp/748,55,Mbpp/748|seed=55,874d0d2a64fd17b8e31f1945455cb48b5319808104b155e1abc0138bb854632c,6a7a6edb50f56aee133fea27a4726c07a056c8503d2ddb38a00bdbc817ac7203,fail,fail,fail,fail,fail_to_fail,5528d3d40fa13eaa03ebb18d3c4f9c2e0820a361e56bde37f17c285d5e5173bb,c497b831022b6dbae69762b8380cacc1ace3bbc1f4e475e50350617331ea2b42,c497b831022b6dbae69762b8380cacc1ace3bbc1f4e475e50350617331ea2b42,16ed596c0507bf7b85f7ed8c877bc9dbb35ef3abb663d90a54757980b422a956,5dd2201c622b34f10f3b7a90e91b33143e0423173c45a487c085c99fe913bad3,true,true,0,false,false,pass,compile_ok,pass,present,present,stop_complete,stop,extracted,pass_through:plain_text,false,fail,none,persistent_pipeline_failure,descriptive_paired_outcome
Mbpp/759,11,Mbpp/759|seed=11,1cb6b0eb832dca0a6762e84175a5642eb0bdecac7a173b48bd205683d869211a,65a312ec23c61afd133b68c9b33ac2b0b2ebaa6ccfd07ee7a409a72036f9382c,fail,fail,fail,fail,fail_to_fail,0d36ba065af6db9ea8ef3507893f847369bd099fd857ecd79614d0473504f23c,ff1cf13eab5317f4a690c0b23cb0a29a24c6f638a388759ff4cd14167807c50c,ff1cf13eab5317f4a690c0b23cb0a29a24c6f638a388759ff4cd14167807c50c,876f9fbd7e6684d3c2a8fdf5126ecdc624027d898346c9b90b2222dbf6cc3faa,339d4904c67b7007b1d9326ea62c6a39e2602f8eab78c026f639922f815b10a5,true,true,0,false,false,pass,compile_ok,pass,present,present,stop_complete,stop,extracted,pass_through:plain_text,false,fail,none,persistent_pipeline_failure,descriptive_paired_outcome
Mbpp/759,22,Mbpp/759|seed=22,d86c570e1f899581eea3b7a6d833ae0e28a1b964c92201a31fe5c0359a1e7837,f2357f80e796f081206af1c8b72642172c05c85223c8d86d5ceec3f858c85e7a,fail,fail,fail,fail,fail_to_fail,92970e534bed59045c0a458ed705816772fea72e35b02ccfeaf8131e463fd8c0,db9ae13f864cd470d564fd7627c5212d11be382f221fdf755c1fe099279b6e20,db9ae13f864cd470d564fd7627c5212d11be382f221fdf755c1fe099279b6e20,d7c9227501b39ac79164597d6eb490ab36df648c5382f8e09835ab9783294bae,a080072953524eb6ebc94faccc471ebfa2bc8e9b2a6d3c8651591fa8f13ab6c5,true,true,0,false,false,pass,compile_ok,pass,present,present,stop_complete,stop,extracted,pass_through:plain_text,false,fail,none,persistent_pipeline_failure,descriptive_paired_outcome
Mbpp/759,33,Mbpp/759|seed=33,2752ed7b08ac77720ec1a51787debd46948d80b7fc9829aa2c5d965977f9e0a0,47790fb8aafc074cf559c36dd7599ed7db43950db15987f24940f952e3e9cbe3,fail,fail,fail,fail,fail_to_fail,491f66a0aa7ade331994e0d178662446cac6938c0dbe968f90d5c693760d3fe9,19d50da562bf0da05e6b463acb1b4d96b52ea5432c3571cdf781b34eeff72ad8,19d50da562bf0da05e6b463acb1b4d96b52ea5432c3571cdf781b34eeff72ad8,d8a3c6e5c6b50735a5dca87e326a620ebead38b3e0bd949c9ba1e629066c718c,0d2085526b6b4dd2b49d6b93287fdcd7774aab92de27856536b386b0a345faeb,true,true,0,false,false,pass,compile_ok,pass,present,present,stop_complete,stop,extracted,pass_through:plain_text,false,fail,none,persistent_pipeline_failure,descriptive_paired_outcome
Mbpp/759,44,Mbpp/759|seed=44,72bb9e078ba939a782bb9163c83e8b00cd3aa4f43e44207b8dbceb78b8676f26,74040762c9cc969faac0318ec880a90be38761512f455729de3c69fd0e10b901,fail,fail,fail,fail,fail_to_fail,d0bb05fc42a564c4fefc1612222c1a89582fbaba6091903cbab5f3546a32b117,85bbcc38011634de578b7638b99f0302d3a7b2ba7432cff06e2824ed383a20ea,85bbcc38011634de578b7638b99f0302d3a7b2ba7432cff06e2824ed383a20ea,65ff71d6b1f10243d88063b0458675ce3c2f53410aa9e2df5b300830bd0ea1e2,71a801bd3097823d52ff31687303200fb4d9e7dff76ae9b9623c4ddd9f79168e,true,true,0,false,false,pass,compile_ok,pass,present,present,stop_complete,stop,extracted,pass_through:plain_text,false,fail,none,persistent_pipeline_failure,descriptive_paired_outcome
Mbpp/759,55,Mbpp/759|seed=55,0f27e3592755a8db565f8aaaf0ea2f4b4413acd8181d4e10efe5ccc7ce2c42b7,deacf9fb8e8b11cb8983dd3ca966ea2f9032f072bf5e1e005fad5450607dde26,fail,fail,fail,fail,fail_to_fail,4a0970b208b8fca462cabb623e2cac090a986d8bc2e20fb318d4411d3db4f2b2,31abbe94bc13fbeb4c2afcb7327fc362c3fe3f1ebf3ae2da6428ab627746db4d,31abbe94bc13fbeb4c2afcb7327fc362c3fe3f1ebf3ae2da6428ab627746db4d,7b4e8bf30683a69144a692c62f08e7a15da392eb6e3cbc0ad221a86154aa0fd2,d9cab609c78755c61105b76ed7ebcc3d9a9b54121d8e985974b6336dff6f43ad,false,true,0,false,false,fail,SyntaxError:expected an indented block after 'else' statement on line 70:line=76:offset=4,fail,not_assessed_compile_fail,not_assessed_compile_fail,stop_complete,stop,extracted,pass_through:plain_text,false,fail,raw_not_python_compilable,persistent_pipeline_failure,descriptive_paired_outcome
