task_id,seed_11_transition,seed_22_transition,seed_33_transition,seed_44_transition,seed_55_transition,fail_to_fail,fail_to_pass,pass_to_fail,pass_to_pass,net_rescues,cross_seed_pattern,causal_limit
Mbpp/748,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/759,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/430,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/67,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/11,fail_to_pass,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,4,1,0,0,1,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/162,pass_to_pass,pass_to_pass,pass_to_pass,pass_to_pass,pass_to_pass,0,0,0,5,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/432,pass_to_fail,pass_to_pass,pass_to_pass,fail_to_pass,fail_to_pass,0,2,1,2,1,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/572,pass_to_fail,pass_to_fail,fail_to_fail,pass_to_fail,pass_to_pass,1,0,3,1,-3,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/626,fail_to_fail,fail_to_pass,fail_to_fail,fail_to_pass,fail_to_pass,2,3,0,0,3,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/138,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
