task_id,seed,p0_generation_id,p1_generation_id,p0_observed_status,p1_observed_status,observed_transition,observed_scaffold_rescue,observed_scaffold_regression,p0_pipeline_status,p1_pipeline_status,pipeline_transition,pipeline_scaffold_rescue,pipeline_scaffold_regression,p0_raw_response_sha256,p1_raw_response_sha256,p0_strict_python_only_compliant,p1_strict_python_only_compliant,p0_code_fence_marker_count,p1_code_fence_marker_count,p0_extra_text_outside_fences,p1_extra_text_outside_fences,p0_multiple_program_segments,p1_multiple_program_segments,p0_generation_truncated,p1_generation_truncated,p0_extraction_action,p1_extraction_action,p0_raw_compile_status,p1_raw_compile_status,p0_pipeline_compile_status,p1_pipeline_compile_status,p0_raw_entry_point_status,p1_raw_entry_point_status,p0_pipeline_entry_point_status,p1_pipeline_entry_point_status,p0_reasoning_leakage,p1_reasoning_leakage
Mbpp/633,11,a903e97a7d0ba41c278ae9e525fa2bd6a75f2139614035e9a1fb98bbcab15710,e850f9af7daaedc378f76e240a7d93880788db5279ad415e718f3178f9c3b8b1,fail,fail,fail_to_fail,false,false,pass,fail,pass_to_fail,false,true,f964e1665b9dee3f3bcd102f2c4d680012c89e5dc0bf5fabaa751e7b891f85c8,8b716a53c5155aba69c9c3ee6dcfed0e5ff7cdabbc8dc00d6669469663a5134c,false,true,2,0,true,false,false,false,false,false,extract:fenced_python,pass_through:plain_text,fail,pass,pass,pass,not_assessed_compile_fail,present,present,present,false,false
Mbpp/633,22,22795feac3259ee2fb6bca6c7d304498d1f4dbe2a2cd94658b507c0d8cf9f503,f762d512cd3265ef781752712ea82091e490a1143edef736754234419a30126a,fail,fail,fail_to_fail,false,false,fail,fail,fail_to_fail,false,false,e3943066a3e84ce69b766333180df791d2238f37310132f8333982bc9308f696,fd519df1b69e24edb1e76b75e3c2fbe5bec7daf1d82ddba74e144187302bec0e,false,true,4,0,true,false,true,false,false,false,reject_ambiguous:fenced_python,pass_through:plain_text,fail,pass,not_run_extraction_failed,pass,not_assessed_compile_fail,present,extraction_failed,present,false,false
Mbpp/633,33,3cfa948b8c433cc4342082f22af32df9a48a0809285c67e60d3043ebd7ae7bd0,1140aa2a370032e37cef9f288f53ab5c97280c0ec2f1e9defe258d33602d7001,fail,fail,fail_to_fail,false,false,pass,fail,pass_to_fail,false,true,851851b80e13be64e2668a6ee863bf82587647ce06c71232c7e8d88776f39483,c0762e152176572f12ee51d16c6cfad946e552a7915f2b2cdd6cdaad2b314586,false,true,2,0,true,false,false,false,false,false,extract:fenced_python,pass_through:plain_text,fail,pass,pass,pass,not_assessed_compile_fail,present,present,present,false,false
Mbpp/633,44,a6ef147b860e80780abd4ae35e75c5793a57a3c2a7f6d00261e2054b935a893a,9c6e82f86eb7f9df40b9254e2f337cfc743aea6f3742db971726f23747472bde,fail,fail,fail_to_fail,false,false,fail,fail,fail_to_fail,false,false,54593a4b2a2fdc1d40340af6a686b20635655c717fab8bf3cfe1c7b60637c81a,fd519df1b69e24edb1e76b75e3c2fbe5bec7daf1d82ddba74e144187302bec0e,false,true,2,0,true,false,false,false,false,false,extract:fenced_python,pass_through:plain_text,fail,pass,pass,pass,not_assessed_compile_fail,present,present,present,false,false
Mbpp/633,55,b7f13b1ba2c70c28e3ece359bcedf2468283e7151be4e3adb276df4f2f23ab74,4edef415fbd2c456a14929b72f50afa25515832175783db21e2302ce4cdae85b,fail,fail,fail_to_fail,false,false,fail,fail,fail_to_fail,false,false,f159cd8de396ce98e4f56edce84ef7af9d2d00e5acfbc56e32c6b08923ab532b,0e1996a315a35c1b902ff3b0e6d5207253991d7e3d2c30cacb6316a64b772939,false,true,2,0,true,false,false,false,false,false,extract:fenced_python,pass_through:plain_text,fail,pass,pass,pass,not_assessed_compile_fail,present,present,present,false,false
Mbpp/769,11,0d84456a46e10c8225e58fad1b15ac72bba35b3e1bba016e773a879ace4b7de5,e09154753fd09ee8db4c13c0beaa0341da6d303b8b4e5c21a3c3e5ca131df9eb,fail,fail,fail_to_fail,false,false,fail,fail,fail_to_fail,false,false,75c083d892a67a01e9f9e6203729a44c135d8995ffcdbaa2d3c1e83adb6fcd96,a1c7850c7c2add56792dbeda4eff8fa8d26e2fe81e985013a4473ca9678020a2,false,true,3,0,true,false,false,false,true,false,extract:fenced_python,pass_through:plain_text,fail,pass,pass,pass,not_assessed_compile_fail,present,present,present,false,false
Mbpp/769,22,c072b7828ff0d2c50dd3777dd8b73b7da341dbe4e43852e3a7725a57ee25dcd7,053debd5ae49f323be3ce439ff14a6108921fc8f27380ea8ffca15334b7bc046,fail,fail,fail_to_fail,false,false,fail,fail,fail_to_fail,false,false,7a0be843f2f9cb5a872f7bec37d8acb7bc1bcf7847fd9dbebe7263263b36f0d4,99edaa781a27a5c4c40cd8520ed5adbd88adadc91f08d3b8d56c41652c3a57dc,false,true,4,0,true,false,true,false,false,false,extract:fenced_python,pass_through:plain_text,fail,pass,pass,pass,not_assessed_compile_fail,present,missing,present,false,false
Mbpp/769,33,d526c6246fe84b4597b928b34a14597bd2fe41799c2f97ad34c292b03258cc15,5c5e872f02a490ba107ada9c6974fa7b7be26efd5ec50b770858671592b8080c,fail,fail,fail_to_fail,false,false,fail,fail,fail_to_fail,false,false,1392c18ac4137a32d8d750861f90cde4b7f81d87ec274d2b207a9624673288af,a1c7850c7c2add56792dbeda4eff8fa8d26e2fe81e985013a4473ca9678020a2,false,true,4,0,true,false,true,false,false,false,reject_ambiguous:fenced_python,pass_through:plain_text,fail,pass,not_run_extraction_failed,pass,not_assessed_compile_fail,present,extraction_failed,present,false,false
Mbpp/769,44,3d7511e26f7c0c77d206c6412897c6145396f84c89b1854b07ebeed5292ede90,793eabfab1d082ed4ab082ea9b637613e55e71115892973b3c7e611c3c3b4a3c,fail,fail,fail_to_fail,false,false,fail,fail,fail_to_fail,false,false,bc9d27664a1b411edfd76bfd0104d9802afb90026a286d4f1a941f3d82ebff14,a1c7850c7c2add56792dbeda4eff8fa8d26e2fe81e985013a4473ca9678020a2,false,true,2,0,true,false,false,false,false,false,extract:fenced_python,pass_through:plain_text,fail,pass,pass,pass,not_assessed_compile_fail,present,present,present,false,false
Mbpp/769,55,2d76a6e7e0ae55e890fc3ba14fe7b537e182b8ca06c5d1f2c4e7471e6bf95d89,1c16efd38354152c0b57c3aec190bb3001bdc0dbf26777a48346904aa5dde30e,fail,fail,fail_to_fail,false,false,fail,fail,fail_to_fail,false,false,2d67781a8a293e8fa2c97a97e1beced53c5ff73a99b3fac8cf3f473d51dd7ff4,a1c7850c7c2add56792dbeda4eff8fa8d26e2fe81e985013a4473ca9678020a2,false,true,2,0,true,false,false,false,false,false,extract:fenced_python,pass_through:plain_text,fail,pass,pass,pass,not_assessed_compile_fail,present,missing,present,false,false
Mbpp/453,11,a8c566e01f0b4c6e32de69af94a37d327b9c0e117828152cb3f12c32027885b1,fc1d3be1670ddd0d1734fce751b5edd7efae09c06fb610e4b565e5f805f96352,fail,pass,fail_to_pass,true,false,fail,pass,fail_to_pass,true,false,82bb21cf270c40dad83a779b73dc80694363933f8b64372703bcb5a61002eaff,81cfb8cfaee3770aeb85b6fdac3a4dadfa6819796b9033afd283b6a525f09ad5,false,true,2,0,true,false,false,false,false,false,extract:fenced_python,pass_through:plain_text,fail,pass,pass,pass,not_assessed_compile_fail,present,missing,present,false,false
Mbpp/453,22,87efb6fd4e92de85c8ba80094c3dba690c913a04bfa9adb9d94736b1157bf1e9,fa72f8118c075e239670baafdab120d499c4b9107de62aca1818aca1a658e337,fail,pass,fail_to_pass,true,false,fail,pass,fail_to_pass,true,false,f05d1f2853bd5fa96f4f030c1f0819d3f288e6ac2878b15ce85473b5cf13063d,aea4a727fe09c06fc99b574e8c8330f9bfd917f3befa166f5cae94312f96fad9,false,true,2,0,false,false,false,false,false,false,extract:fenced_python,pass_through:plain_text,fail,pass,pass,pass,not_assessed_compile_fail,present,missing,present,false,false
Mbpp/453,33,a15ee91dd2bbf5de0e4021320cb35abd0a8b57f559e160a99d0f376c750e7e8b,e32f6dfdd253502a6b8f33911085318a6ac46f055e45c7268d5455a4343486d5,fail,pass,fail_to_pass,true,false,fail,pass,fail_to_pass,true,false,1b9edd1f0c2affbddcf0fca66b9a06ba980b202ae64bf32abc0c120747cf76f7,aea4a727fe09c06fc99b574e8c8330f9bfd917f3befa166f5cae94312f96fad9,false,true,2,0,false,false,false,false,false,false,extract:fenced_python,pass_through:plain_text,fail,pass,pass,pass,not_assessed_compile_fail,present,missing,present,false,false
Mbpp/453,44,214a44a0235d28d0f312bf83edaa3950b2023188fe21c5b4d3d6390888552668,376553a892c1008bfff576a5985bc1af166c2ee11a651440acb4a314aaebea0a,fail,pass,fail_to_pass,true,false,fail,pass,fail_to_pass,true,false,6ced8336889db39ae07bb9691fc757559268bf16039a69870a23f4a598ef4f56,0e233b9d167da0837e42f6a1559648ed892079e522f761102b8c11ffac84dc97,false,true,4,0,true,false,true,false,false,false,reject_ambiguous:fenced_python,pass_through:plain_text,fail,pass,not_run_extraction_failed,pass,not_assessed_compile_fail,present,extraction_failed,present,false,false
Mbpp/453,55,5a3c9d8d042c1aa8c6a431f6a70d40cb52b9395ee1760fb431fa6da0f0c39c40,7995f165f931b9f2816af6feae3e7af656aaf2022531a044b66701f7c9aa70b4,fail,pass,fail_to_pass,true,false,fail,pass,fail_to_pass,true,false,d840ba3f1ac6e9685a65635778ead2d1c4aff069535c4a9eb75e3d41fafc0dc0,81cfb8cfaee3770aeb85b6fdac3a4dadfa6819796b9033afd283b6a525f09ad5,false,true,2,0,false,false,false,false,false,false,extract:fenced_python,pass_through:plain_text,fail,pass,pass,pass,not_assessed_compile_fail,present,missing,present,false,false
