evidence_group,task_id,seed,p0_generation_id,p1_generation_id,p0_observed_status,p1_observed_status,p0_pipeline_status,p1_pipeline_status,pipeline_transition,p0_strict_python_only_compliant,p1_strict_python_only_compliant,p0_code_fence_marker_count,p1_code_fence_marker_count,p0_extra_text_outside_fences,p1_extra_text_outside_fences,p0_multiple_program_segments,p1_multiple_program_segments,p0_generation_truncated,p1_generation_truncated,p0_raw_compile_status,p1_raw_compile_status,p0_pipeline_compile_status,p1_pipeline_compile_status,p0_pipeline_entry_point_status,p1_pipeline_entry_point_status,p0_extraction_action,p1_extraction_action,p0_reasoning_leakage,p1_reasoning_leakage,p0_failure_taxonomy,p1_failure_taxonomy,p0_raw_characters,p1_raw_characters,p0_raw_lines,p1_raw_lines,p0_pipeline_top_level_defs,p1_pipeline_top_level_defs,observable_output_structure_difference,cell_adjudication,direct_evidence,confidence,causal_status,remaining_problem_bucket
p1_paired_regression,Mbpp/633,11,a903e97a7d0ba41c278ae9e525fa2bd6a75f2139614035e9a1fb98bbcab15710,e850f9af7daaedc378f76e240a7d93880788db5279ad415e718f3178f9c3b8b1,fail,fail,pass,fail,pass_to_fail,false,true,2,0,true,false,false,false,false,false,fail,pass,pass,pass,present,present,extract:fenced_python,pass_through:plain_text,false,false,pipeline_pass,unknown,4002,452,99,14,pair_xor_Sum,pair_xor_Sum,code_fence_markers:2->0; extra_text:true->false; raw_compile:fail->pass; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:4002->452; raw_lines:99->14,scaffold_plausibly_related,"P0/P1 pipeline compile=pass/pass; entry=present/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; this task has 2/5 regressions and no rescues. Repeated direction is direct paired evidence, but scaffold causality is an inference.",low,inference_not_causal_identification,insufficient_evidence
persistent_failure,Mbpp/633,22,22795feac3259ee2fb6bca6c7d304498d1f4dbe2a2cd94658b507c0d8cf9f503,f762d512cd3265ef781752712ea82091e490a1143edef736754234419a30126a,fail,fail,fail,fail,fail_to_fail,false,true,4,0,true,false,true,false,false,false,fail,pass,not_run_extraction_failed,pass,extraction_failed,present,reject_ambiguous:fenced_python,pass_through:plain_text,false,false,extraction_or_format_failure,unknown,5128,242,138,10,,pair_xor_Sum,code_fence_markers:4->0; extra_text:true->false; multiple_programs:true->false; raw_compile:fail->pass; pipeline_entry:extraction_failed->present; extraction:reject_ambiguous:fenced_python->pass_through:plain_text; raw_chars:5128->242; raw_lines:138->10,not_applicable,P0/P1 pipeline compile=not_run_extraction_failed/pass; entry=extraction_failed/present; extraction=reject_ambiguous:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
p1_paired_regression,Mbpp/633,33,3cfa948b8c433cc4342082f22af32df9a48a0809285c67e60d3043ebd7ae7bd0,1140aa2a370032e37cef9f288f53ab5c97280c0ec2f1e9defe258d33602d7001,fail,fail,pass,fail,pass_to_fail,false,true,2,0,true,false,false,false,false,false,fail,pass,pass,pass,present,present,extract:fenced_python,pass_through:plain_text,false,false,pipeline_pass,unknown,3923,281,81,12,pair_xor_Sum,pair_xor_Sum,code_fence_markers:2->0; extra_text:true->false; raw_compile:fail->pass; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:3923->281; raw_lines:81->12,scaffold_plausibly_related,"P0/P1 pipeline compile=pass/pass; entry=present/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; this task has 2/5 regressions and no rescues. Repeated direction is direct paired evidence, but scaffold causality is an inference.",low,inference_not_causal_identification,insufficient_evidence
persistent_failure,Mbpp/633,44,a6ef147b860e80780abd4ae35e75c5793a57a3c2a7f6d00261e2054b935a893a,9c6e82f86eb7f9df40b9254e2f337cfc743aea6f3742db971726f23747472bde,fail,fail,fail,fail,fail_to_fail,false,true,2,0,true,false,false,false,false,false,fail,pass,pass,pass,present,present,extract:fenced_python,pass_through:plain_text,false,false,unknown,unknown,3653,242,86,10,pair_xor_Sum,pair_xor_Sum,code_fence_markers:2->0; extra_text:true->false; raw_compile:fail->pass; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:3653->242; raw_lines:86->10,not_applicable,P0/P1 pipeline compile=pass/pass; entry=present/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/633,55,b7f13b1ba2c70c28e3ece359bcedf2468283e7151be4e3adb276df4f2f23ab74,4edef415fbd2c456a14929b72f50afa25515832175783db21e2302ce4cdae85b,fail,fail,fail,fail,fail_to_fail,false,true,2,0,true,false,false,false,false,false,fail,pass,pass,pass,present,present,extract:fenced_python,pass_through:plain_text,false,false,unknown,unknown,3216,310,78,12,pair_xor_Sum,pair_xor_Sum,code_fence_markers:2->0; extra_text:true->false; raw_compile:fail->pass; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:3216->310; raw_lines:78->12,not_applicable,P0/P1 pipeline compile=pass/pass; entry=present/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/769,11,0d84456a46e10c8225e58fad1b15ac72bba35b3e1bba016e773a879ace4b7de5,e09154753fd09ee8db4c13c0beaa0341da6d303b8b4e5c21a3c3e5ca131df9eb,fail,fail,fail,fail,fail_to_fail,false,true,3,0,true,false,false,false,true,false,fail,pass,pass,pass,present,present,extract:fenced_python,pass_through:plain_text,false,false,unknown,unknown,6590,150,115,6,Diff|Diff_Sorted,Diff,code_fence_markers:3->0; extra_text:true->false; truncation:true->false; raw_compile:fail->pass; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:6590->150; raw_lines:115->6,not_applicable,P0/P1 pipeline compile=pass/pass; entry=present/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/769,22,c072b7828ff0d2c50dd3777dd8b73b7da341dbe4e43852e3a7725a57ee25dcd7,053debd5ae49f323be3ce439ff14a6108921fc8f27380ea8ffca15334b7bc046,fail,fail,fail,fail,fail_to_fail,false,true,4,0,true,false,true,false,false,false,fail,pass,pass,pass,missing,present,extract:fenced_python,pass_through:plain_text,false,false,missing_or_wrong_entry_point,unknown,1738,80,39,2,diff,Diff,code_fence_markers:4->0; extra_text:true->false; multiple_programs:true->false; raw_compile:fail->pass; pipeline_entry:missing->present; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:1738->80; raw_lines:39->2,not_applicable,P0/P1 pipeline compile=pass/pass; entry=missing/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/769,33,d526c6246fe84b4597b928b34a14597bd2fe41799c2f97ad34c292b03258cc15,5c5e872f02a490ba107ada9c6974fa7b7be26efd5ec50b770858671592b8080c,fail,fail,fail,fail,fail_to_fail,false,true,4,0,true,false,true,false,false,false,fail,pass,not_run_extraction_failed,pass,extraction_failed,present,reject_ambiguous:fenced_python,pass_through:plain_text,false,false,extraction_or_format_failure,unknown,3900,150,61,6,,Diff,code_fence_markers:4->0; extra_text:true->false; multiple_programs:true->false; raw_compile:fail->pass; pipeline_entry:extraction_failed->present; extraction:reject_ambiguous:fenced_python->pass_through:plain_text; raw_chars:3900->150; raw_lines:61->6,not_applicable,P0/P1 pipeline compile=not_run_extraction_failed/pass; entry=extraction_failed/present; extraction=reject_ambiguous:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/769,44,3d7511e26f7c0c77d206c6412897c6145396f84c89b1854b07ebeed5292ede90,793eabfab1d082ed4ab082ea9b637613e55e71115892973b3c7e611c3c3b4a3c,fail,fail,fail,fail,fail_to_fail,false,true,2,0,true,false,false,false,false,false,fail,pass,pass,pass,present,present,extract:fenced_python,pass_through:plain_text,false,false,unknown,unknown,1008,150,19,6,Diff,Diff,code_fence_markers:2->0; extra_text:true->false; raw_compile:fail->pass; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:1008->150; raw_lines:19->6,not_applicable,P0/P1 pipeline compile=pass/pass; entry=present/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/769,55,2d76a6e7e0ae55e890fc3ba14fe7b537e182b8ca06c5d1f2c4e7471e6bf95d89,1c16efd38354152c0b57c3aec190bb3001bdc0dbf26777a48346904aa5dde30e,fail,fail,fail,fail,fail_to_fail,false,true,2,0,true,false,false,false,false,false,fail,pass,pass,pass,missing,present,extract:fenced_python,pass_through:plain_text,false,false,missing_or_wrong_entry_point,unknown,2514,150,58,6,diff,Diff,code_fence_markers:2->0; extra_text:true->false; raw_compile:fail->pass; pipeline_entry:missing->present; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:2514->150; raw_lines:58->6,not_applicable,P0/P1 pipeline compile=pass/pass; entry=missing/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
