run_id,timestamp,model_name,skill_name,ablation_id,sample_index,code_commit_hash,python_version,mcri_version,model_temperature,repetitions_planned,repetitions_completed,fail_count,pass_rate,avg_exec_time,score_l1_total,score_l1_1_syntax,score_l1_2_runtime,score_l2_total,score_l2_1_contract,score_l2_2_purity,avg_l3_total,avg_l3_1_internal,avg_l3_2_external,avg_l4_total,avg_l4_1_numeric,avg_l4_2_visual,avg_l4_3_artifacts,avg_complexity_math_ops,avg_complexity_ast_nodes,avg_complexity_loop_depth,avg_mcri_total,source_code_path,notes,batch_id,golden_prompt_path,prompt_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms,healer_applied,healer_fix_count
e1218051-bfd1-4afe-8e20-d58322acdba8,2026-02-05T14:06:29.472159+00:00,qwen2.5-coder-14b,gh_ApplicationsOfDerivatives,1,1,,3.14.0,4.2.2,0.7,20,20,0,1.0,0.0,20,10,10,20,10,10,30.0,15.0,15.0,27.8,10.0,7.9,9.9,0.0,379.0,1.0,97.8,experiments\results\gh_ApplicationsOfDerivatives\gh_ApplicationsOfDerivatives_qwen2.5-coder-14b_Ab1_run01.py,"L1: AST 解析成功; 無危險函數; Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 25.59s | Tokens: In=646, Out=453 | Fix: [Basic Cleanup Only] | Fixes: Basic=1, Advanced=None | Verify: Internal Logic Check = PASSED",,,,0,0,0,0,0,0
c9a05afa-1c14-4f63-845c-8ae5f7cad223,2026-02-05T14:06:29.492945+00:00,qwen2.5-coder-14b,gh_ApplicationsOfDerivatives,1,2,,3.14.0,4.2.2,0.7,20,20,0,1.0,0.0,20,10,10,20,10,10,30.0,15.0,15.0,27.45,10.0,7.7,9.75,0.0,379.0,1.0,97.45,experiments\results\gh_ApplicationsOfDerivatives\gh_ApplicationsOfDerivatives_qwen2.5-coder-14b_Ab1_run02.py,"L1: AST 解析成功; 無危險函數; Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 26.59s | Tokens: In=646, Out=453 | Fix: [Basic Cleanup Only] | Fixes: Basic=1, Advanced=None | Verify: Internal Logic Check = PASSED",,,,0,0,0,0,0,0
356054a6-cd51-4e94-b1c5-69cf994fab71,2026-02-05T14:06:29.512876+00:00,qwen2.5-coder-14b,gh_ApplicationsOfDerivatives,1,3,,3.14.0,4.2.2,0.7,20,20,0,1.0,0.0,20,10,10,20,10,10,30.0,15.0,15.0,27.6,10.0,7.75,9.85,0.0,355.0,1.0,97.6,experiments\results\gh_ApplicationsOfDerivatives\gh_ApplicationsOfDerivatives_qwen2.5-coder-14b_Ab1_run03.py,"L1: AST 解析成功; 無危險函數; Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 24.76s | Tokens: In=646, Out=427 | Fix: [Basic Cleanup Only] | Fixes: Basic=1, Advanced=None | Verify: Internal Logic Check = PASSED",,,,0,0,0,0,0,0
a5b863bf-86ea-4751-a516-66e2702029ee,2026-02-05T14:06:29.532494+00:00,qwen2.5-coder-14b,gh_ApplicationsOfDerivatives,1,4,,3.14.0,4.2.2,0.7,20,20,0,1.0,0.0,20,10,10,20,10,10,30.0,15.0,15.0,27.5,10.0,7.75,9.75,0.0,379.0,1.0,97.5,experiments\results\gh_ApplicationsOfDerivatives\gh_ApplicationsOfDerivatives_qwen2.5-coder-14b_Ab1_run04.py,"L1: AST 解析成功; 無危險函數; Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 25.59s | Tokens: In=646, Out=453 | Fix: [Basic Cleanup Only] | Fixes: Basic=1, Advanced=None | Verify: Internal Logic Check = PASSED",,,,0,0,0,0,0,0
93ab9742-3e80-4424-9193-a63c3ad22c6a,2026-02-05T14:06:29.552440+00:00,qwen2.5-coder-14b,gh_ApplicationsOfDerivatives,1,5,,3.14.0,4.2.2,0.7,20,20,0,1.0,0.0,20,10,10,20,10,10,30.0,15.0,15.0,27.5,10.0,7.7,9.8,0.0,379.0,1.0,97.5,experiments\results\gh_ApplicationsOfDerivatives\gh_ApplicationsOfDerivatives_qwen2.5-coder-14b_Ab1_run05.py,"L1: AST 解析成功; 無危險函數; Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 25.79s | Tokens: In=646, Out=453 | Fix: [Basic Cleanup Only] | Fixes: Basic=1, Advanced=None | Verify: Internal Logic Check = PASSED",,,,0,0,0,0,0,0
9146d2ce-2455-49fc-addd-320a6b741cb2,2026-02-05T14:06:29.577906+00:00,qwen2.5-coder-14b,gh_ApplicationsOfDerivatives,2,1,,3.14.0,4.2.2,0.7,20,20,0,1.0,0.0,16,6,10,20,10,10,30.0,15.0,15.0,28.0,10.0,8.0,10.0,0.0,3623.0,3.0,94.0,experiments\results\gh_ApplicationsOfDerivatives\gh_ApplicationsOfDerivatives_qwen2.5-coder-14b_Ab2_run01.py,"L1: AST 解析成功; 發現禁用函數: eval; 未授權 import: flask; 全部成功 (平均 0.00s) | Perf: 24.30s | Tokens: In=1592, Out=388 | Fix: [Basic Cleanup Only] | Fixes: Basic=1, Advanced=None | Verify: Internal Logic Check = PASSED",,,,0,0,0,0,0,0
8bb5bf11-e034-4bc8-9da3-35c8c3331196,2026-02-05T14:06:29.719481+00:00,qwen2.5-coder-14b,gh_ApplicationsOfDerivatives,2,2,,3.14.0,4.2.2,0.7,20,20,0,1.0,0.0,16,6,10,20,10,10,30.0,15.0,15.0,28.0,10.0,8.0,10.0,0.0,3623.0,3.0,94.0,experiments\results\gh_ApplicationsOfDerivatives\gh_ApplicationsOfDerivatives_qwen2.5-coder-14b_Ab2_run02.py,"L1: AST 解析成功; 發現禁用函數: eval; 未授權 import: flask; 全部成功 (平均 0.00s) | Perf: 41.52s | Tokens: In=1592, Out=668 | Fix: [Basic Cleanup Only] | Fixes: Basic=1, Advanced=None | Verify: Internal Logic Check = PASSED",,,,0,0,0,0,0,0
6d0457cd-1358-45a8-965e-480dbb1127dc,2026-02-05T14:06:29.875169+00:00,qwen2.5-coder-14b,gh_ApplicationsOfDerivatives,2,3,,3.14.0,4.2.2,0.7,20,20,0,1.0,0.0,16,6,10,20,10,10,30.0,15.0,15.0,27.6,10.0,7.6,10.0,0.0,3628.0,3.0,93.6,experiments\results\gh_ApplicationsOfDerivatives\gh_ApplicationsOfDerivatives_qwen2.5-coder-14b_Ab2_run03.py,"L1: AST 解析成功; 發現禁用函數: eval; 未授權 import: flask; 全部成功 (平均 0.00s) | Perf: 22.85s | Tokens: In=1592, Out=384 | Fix: [Basic Cleanup Only] | Fixes: Basic=1, Advanced=None | Verify: Internal Logic Check = PASSED",,,,0,0,0,0,0,0
61d53690-b696-4f81-8b6e-79bb3be3c70d,2026-02-05T14:06:30.020173+00:00,qwen2.5-coder-14b,gh_ApplicationsOfDerivatives,2,4,,3.14.0,4.2.2,0.7,20,20,0,1.0,0.0,16,6,10,20,10,10,30.0,15.0,15.0,28.0,10.0,8.0,10.0,0.0,3623.0,3.0,94.0,experiments\results\gh_ApplicationsOfDerivatives\gh_ApplicationsOfDerivatives_qwen2.5-coder-14b_Ab2_run04.py,"L1: AST 解析成功; 發現禁用函數: eval; 未授權 import: flask; 全部成功 (平均 0.00s) | Perf: 24.01s | Tokens: In=1592, Out=388 | Fix: [Basic Cleanup Only] | Fixes: Basic=1, Advanced=None | Verify: Internal Logic Check = PASSED",,,,0,0,0,0,0,0
3d409aeb-d542-42aa-afb1-aa32376389bb,2026-02-05T14:06:30.207814+00:00,qwen2.5-coder-14b,gh_ApplicationsOfDerivatives,2,5,,3.14.0,4.2.2,0.7,20,20,0,0.95,0.0,16,6,10,20,10,10,30.0,15.0,15.0,27.58,10.0,7.58,10.0,0.0,3628.0,3.0,93.58,experiments\results\gh_ApplicationsOfDerivatives\gh_ApplicationsOfDerivatives_qwen2.5-coder-14b_Ab2_run05.py,"L1: AST 解析成功; 發現禁用函數: eval; 未授權 import: flask; 全部成功 (平均 0.00s) | Perf: 22.95s | Tokens: In=1592, Out=384 | Fix: [Basic Cleanup Only] | Fixes: Basic=1, Advanced=None | Verify: Internal Logic Check = PASSED",,,,0,0,0,0,0,0
